                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 25065 Thread 1 - main                                                |   578000 |    81000 |    40677596 |   4996460264 |  21055488 |   1024 |     7532412 |      0 |      0 |         0 
 25087 Thread 2 - Reference Handler                                   |     5000 |     1000 |      812105 |     48554843 |         0 |      0 |     1584713 |      0 |      0 |         0 
 25088 Thread 3 - Finalizer                                           |     6000 |        0 |      490921 |     45691957 |      5120 |      0 |     1218309 |      0 |      0 |         0 
 25089 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 25090 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 25100 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27474000 | 29438000 | 16812607091 | 553930107014 | 585967616 | 132096 | 16451732862 | 230241 |      0 |         0 
 25101 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   195000 |    48000 |    71786523 |   2368040159 |   5884928 |   5120 |    17349638 | 282004 |      0 |         0 
 25104 Thread 14 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-0 |  1217000 |   438000 |   484926470 |  16115877977 |     37888 |      0 |  1379397530 |      0 |      0 |         0 
 25105 Thread 15 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-1 |  1283000 |   388000 |   491672259 |  16294883137 |         0 |      0 |  1459888960 |      0 |      0 |         0 
 25106 Thread 16 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-2 |  1284000 |   405000 |   496557798 |  16474574586 |         0 |      0 |  1300930707 |      0 |      0 |         0 
 25107 Thread 17 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-3 |  1200000 |   424000 |   479502181 |  15836396395 |         0 |      0 |  1394706613 |      0 |      0 |         0 
 25108 Thread 18 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-4 |  1213000 |   397000 |   474034454 |  15702937223 |         0 |      0 |  1505254323 |      0 |      0 |         0 
 25109 Thread 19 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-5 |  1240000 |   370000 |   475084486 |  15698051169 |    118784 |      0 |  1464891405 |      0 |      0 |         0 
 25110 Thread 20 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-6 |  1269000 |   379000 |   484578451 |  16072754821 |         0 |      0 |  1522307559 |      0 |      0 |         0 
 25111 Thread 21 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-7 |  1260000 |   403000 |   487832005 |  16218137122 |      2048 |      0 |  1462823692 |      0 |      0 |         0 
 25112 Thread 22 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-8 |  1228000 |   413000 |   480152193 |  16002010684 |         0 |      0 |  1239945774 |      0 |      0 |         0 
 25113 Thread 23 - PartitionProcessorThre...4e4-b872-c4755de035c7-0-9 |  1198000 |   394000 |   467752775 |  15528720489 |         0 |      0 |  1328088499 |      0 |      0 |         0 
 25114 Thread 24 - PartitionProcessorThre...e4-b872-c4755de035c7-0-10 |  1243000 |   439000 |   493983712 |  16405077383 |  10831872 |      0 |  1463982588 |      0 |      0 |         0 
 25115 Thread 25 - PartitionProcessorThre...e4-b872-c4755de035c7-0-11 |  1229000 |   426000 |   485473333 |  16141593422 |         0 |      0 |  1382594249 |      0 |      0 |         0 
 25116 Thread 26 - PartitionProcessorThre...e4-b872-c4755de035c7-0-12 |  1230000 |   406000 |   480835169 |  15958157336 |         0 |      0 |  1175849503 |      0 |      0 |         0 
 25117 Thread 27 - PartitionProcessorThre...e4-b872-c4755de035c7-0-13 |  1196000 |   414000 |   474903306 |  15703921278 |      3072 |      0 |  1247247017 |      0 |      0 |         0 
 25118 Thread 28 - PartitionProcessorThre...e4-b872-c4755de035c7-0-14 |  1280000 |   426000 |   501278486 |  16636288270 |     43008 |      0 |  1414343281 |      0 |      0 |         0 
 25119 Thread 29 - PartitionProcessorThre...e4-b872-c4755de035c7-0-15 |  1209000 |   393000 |   472997357 |  15627443661 |         0 |      0 |  1495576006 |      0 |      0 |         0 
 25120 Thread 30 - PartitionProcessorThre...e4-b872-c4755de035c7-0-16 |  1172000 |   389000 |   458734732 |  15225338731 |         0 |      0 |  1570447451 |      0 |      0 |         0 
 25121 Thread 31 - PartitionProcessorThre...e4-b872-c4755de035c7-0-17 |  1260000 |   374000 |   480228986 |  15938093676 |         0 |      0 |  1332576819 |      0 |      0 |         0 
 25122 Thread 32 - PartitionProcessorThre...e4-b872-c4755de035c7-0-18 |  1304000 |   404000 |   502917036 |  16659792211 |         0 |      0 |  1225493956 |      0 |      0 |         0 
 25123 Thread 33 - PartitionProcessorThre...e4-b872-c4755de035c7-0-19 |  1263000 |   380000 |   481700298 |  16024204016 |         0 |      0 |  1375797651 |      0 |      0 |         0 
 25125 Thread 34 - PartitionProcessorThre...4e4-b872-c4755de035c7-1-0 |  1178000 |   392000 |   467186122 |  15316212161 |         0 |      0 |  1459383714 |      0 |      0 |         0 
 25126 Thread 35 - PartitionProcessorThre...4e4-b872-c4755de035c7-1-1 |  1224000 |   379000 |   477591654 |  15637305165 |         0 |      0 |  1430362939 |      0 |      0 |         0 
 25127 Thread 36 - PartitionProcessorThre...4e4-b872-c4755de035c7-1-2 |  1239000 |   408000 |   490995966 |  16066759098 |         0 |      0 |  1344598610 |      0 |      0 |         0 
 25128 Thread 37 - PartitionProcessorThre...4e4-b872-c4755de035c7-1-3 |  1186000 |   425000 |   480632154 |  15716393665 |         0 |      0 |  1362059961 |      0 |      0 |         0 
 25129 Thread 38 - PartitionProcessorThre...4e4-b872-c4755de035c7-1-4 |  1134000 |   410000 |   458837704 |  15061958094 |         0 |      0 |  1473273653 |      0 |      0 |         0 
 25130 Thread 39 - PartitionProcessorThre...4e4-b872-c4755de035c7-1-5 |  1100000 |   354000 |   434170318 |  14184959083 |         0 |      0 |  1318486806 |      0 |      0 |         0 
 25131 Thread 40 - PartitionProcessorThre...4e4-b872-c4755de035c7-1-6 |  1108000 |   383000 |   444259837 |  14545327454 |         0 |      0 |  1335519122 |      0 |      0 |         0 
 25132 Thread 41 - PartitionProcessorThre...4e4-b872-c4755de035c7-1-7 |  1156000 |   329000 |   442412529 |  14487132723 |         0 |      0 |  1260782342 |      0 |      0 |         0 
