                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 153666 Thread 1 - main                                                |   830000 |   146000 |    64337834 |   7493612577 |  34140160 |   1024 |     8938315 |      0 |      0 |         0 
 153688 Thread 2 - Reference Handler                                   |     6000 |        0 |      531937 |     47505554 |         0 |      0 |      699656 |      0 |      0 |         0 
 153689 Thread 3 - Finalizer                                           |     7000 |        0 |      652152 |     56430949 |      5120 |      0 |     1140031 |      0 |      0 |         0 
 153690 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        1226 |      0 |      0 |         0 
 153691 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        3366 |      0 |      0 |         0 
 153700 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      665179 |     27276285 |      4096 |      0 |       23464 |      0 |      0 |         0 
 153701 Thread 13 - RMI RenewClean-[10.231.182.152:38080]              |        0 |        0 |           0 |            0 |      1024 |      0 |       12940 |      0 |      0 |         0 
 153702 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 153709 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31047000 | 33711000 | 19150935480 | 631154221333 | 622920704 | 138240 | 19753434896 | 212647 |      0 |         0 
 153710 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   242000 |    52000 |    84869347 |   2857804894 |   8018944 |   5120 |    28546656 | 460215 |      0 |         0 
 153714 Thread 17 - PartitionProcessorThre...bbc-ab2b-57309c83b0f6-0-0 |  1327000 |   411000 |   510036847 |  16938925872 |     32768 |      0 |  1599734045 |      0 |      0 |         0 
 153715 Thread 18 - PartitionProcessorThre...bbc-ab2b-57309c83b0f6-0-1 |  1345000 |   450000 |   529982894 |  17505916852 |      2048 |      0 |  1576443876 |      0 |      0 |         0 
 153716 Thread 19 - PartitionProcessorThre...bbc-ab2b-57309c83b0f6-0-2 |  1318000 |   458000 |   524623507 |  17322393653 |    123904 |      0 |  1486711234 |      0 |      0 |         0 
