                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 86257 Thread 1 - main                                                |   584000 |    74000 |    41352201 |   4987303548 |  21203968 |   1024 |     4943367 |      0 |      0 |         0 
 86279 Thread 2 - Reference Handler                                   |     5000 |     1000 |      615242 |     46605468 |         0 |      0 |      243265 |      0 |      0 |         0 
 86280 Thread 3 - Finalizer                                           |     5000 |        0 |      499007 |     38768886 |      5120 |      0 |     1595132 |      0 |      0 |         0 
 86281 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |      741972 |      0 |      0 |         0 
 86282 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       15050 |      0 |      0 |         0 
 86292 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29189000 | 32110000 | 18385063399 | 596953443600 | 638229504 | 124928 | 17608009273 |  86922 |      0 |         0 
 86293 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   176000 |    38000 |    63577093 |   2084120866 |   4724736 |   4096 |    28735153 | 228228 |      0 |         0 
 86296 Thread 14 - PartitionProcessorThre...947-b549-0702bb346d3a-1-0 |  1206000 |   446000 |   493568688 |  16103707914 |     39936 |      0 |  1506881912 |      0 |      0 |         0 
 86297 Thread 15 - PartitionProcessorThre...947-b549-0702bb346d3a-1-1 |  1274000 |   442000 |   515967911 |  16739961867 |         0 |      0 |  1455545969 |      0 |      0 |         0 
 86298 Thread 16 - PartitionProcessorThre...947-b549-0702bb346d3a-1-2 |  1273000 |   461000 |   522739454 |  16917412730 |         0 |      0 |  1484820341 |      0 |      0 |         0 
 86299 Thread 17 - PartitionProcessorThre...947-b549-0702bb346d3a-1-3 |  1300000 |   480000 |   535607258 |  17367923093 |         0 |      0 |  1385430305 |      0 |      0 |         0 
 86300 Thread 18 - PartitionProcessorThre...947-b549-0702bb346d3a-1-4 |  1250000 |   463000 |   515823954 |  16713001449 |         0 |      0 |  1393539976 |      0 |      0 |         0 
 86301 Thread 19 - PartitionProcessorThre...947-b549-0702bb346d3a-1-5 |  1326000 |   450000 |   531211047 |  17325067515 |         0 |      0 |  1533474699 |      0 |      0 |         0 
 86302 Thread 20 - PartitionProcessorThre...947-b549-0702bb346d3a-1-6 |  1321000 |   508000 |   549378668 |  17845709566 |      2048 |      0 |  1237547829 |      0 |      0 |         0 
 86303 Thread 21 - PartitionProcessorThre...947-b549-0702bb346d3a-1-7 |  1374000 |   439000 |   541521653 |  17687584597 |         0 |      0 |  1381614930 |      0 |      0 |         0 
 86304 Thread 22 - PartitionProcessorThre...947-b549-0702bb346d3a-1-8 |  1292000 |   459000 |   520776360 |  17083650144 |      1024 |      0 |  1397753527 |      0 |      0 |         0 
 86305 Thread 23 - PartitionProcessorThre...947-b549-0702bb346d3a-1-9 |  1307000 |   444000 |   522977481 |  17081248722 |      2048 |      0 |  1514471312 |      0 |      0 |         0 
 86306 Thread 24 - PartitionProcessorThre...47-b549-0702bb346d3a-1-10 |  1269000 |   444000 |   511439899 |  16710782175 |    118784 |      0 |  1579632118 |      0 |      0 |         0 
 86307 Thread 25 - PartitionProcessorThre...47-b549-0702bb346d3a-1-11 |  1199000 |   457000 |   495659485 |  16156939160 |         0 |      0 |  1505842164 |      0 |      0 |         0 
