                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 137449 Thread 1 - main                                                |   860000 |   179000 |    70399111 |   7978219830 |  34336768 |   1024 |     5139651 |      0 |      0 |         0 
 137471 Thread 2 - Reference Handler                                   |     5000 |     1000 |      569312 |     48062441 |         0 |      0 |      474858 |      0 |      0 |         0 
 137472 Thread 3 - Finalizer                                           |     7000 |        0 |      551082 |     53746124 |      5120 |      0 |     1924633 |      0 |      0 |         0 
 137473 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        2726 |      0 |      0 |         0 
 137474 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      313503 |      9760757 |         0 |      0 |           0 |      0 |      0 |         0 
 137483 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      616679 |     19515062 |      4096 |      0 |       12833 |      0 |      0 |         0 
 137484 Thread 13 - RMI RenewClean-[10.231.182.152:46489]              |     1000 |        0 |       82648 |      7828250 |      1024 |      0 |           0 |      0 |      0 |         0 
 137485 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |       21040 |      0 |      0 |         0 
 137488 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27650000 | 30606000 | 17780074267 | 567514216415 | 573704192 | 134144 | 20857498883 | 205863 |      0 |         0 
 137490 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   216000 |    50000 |    80067354 |   2584845503 |   6012928 |   5120 |    38860904 | 421257 |      0 |         0 
 137493 Thread 17 - PartitionProcessorThre...426-91ae-e239a200cf56-2-0 |  1394000 |   424000 |   550487078 |  17716624703 |     34816 |      0 |  1952285866 |      0 |      0 |         0 
 137494 Thread 18 - PartitionProcessorThre...426-91ae-e239a200cf56-2-1 |  1374000 |   418000 |   543434851 |  17469534719 |      3072 |      0 |  2068989603 |      0 |      0 |         0 
 137495 Thread 19 - PartitionProcessorThre...426-91ae-e239a200cf56-2-2 |  1367000 |   414000 |   542148558 |  17362568625 |         0 |      0 |  1849670981 |      0 |      0 |         0 
 137496 Thread 20 - PartitionProcessorThre...426-91ae-e239a200cf56-2-3 |  1437000 |   448000 |   570899234 |  18377608527 |         0 |      0 |  1941481825 |      0 |      0 |         0 
 137497 Thread 21 - PartitionProcessorThre...426-91ae-e239a200cf56-2-4 |  1335000 |   418000 |   531498898 |  17092031949 |         0 |      0 |  2033237899 |      0 |      0 |         0 
 137498 Thread 22 - PartitionProcessorThre...426-91ae-e239a200cf56-2-5 |  1404000 |   449000 |   561366402 |  18067124246 |         0 |      0 |  1941655726 |      0 |      0 |         0 
 137499 Thread 23 - PartitionProcessorThre...426-91ae-e239a200cf56-2-6 |  1442000 |   440000 |   570258062 |  18351253523 |         0 |      0 |  1927064357 |      0 |      0 |         0 
 137500 Thread 24 - PartitionProcessorThre...426-91ae-e239a200cf56-2-7 |  1448000 |   446000 |   573864593 |  18464389242 |         0 |      0 |  1928064505 |      0 |      0 |         0 
 137501 Thread 25 - PartitionProcessorThre...426-91ae-e239a200cf56-2-8 |  1438000 |   440000 |   567807281 |  18307004211 |      2048 |      0 |  2145054662 |      0 |      0 |         0 
 137502 Thread 26 - PartitionProcessorThre...426-91ae-e239a200cf56-2-9 |  1411000 |   434000 |   556848210 |  17986646305 |      9216 |      0 |  2005210744 |      0 |      0 |         0 
 137503 Thread 27 - PartitionProcessorThre...26-91ae-e239a200cf56-2-10 |  1438000 |   440000 |   570272589 |  18309612051 |      3072 |      0 |  1970972155 |      0 |      0 |         0 
 137504 Thread 28 - PartitionProcessorThre...26-91ae-e239a200cf56-2-11 |  1433000 |   413000 |   557533738 |  17996912105 |         0 |      0 |  2063775512 |      0 |      0 |         0 
 137505 Thread 29 - PartitionProcessorThre...26-91ae-e239a200cf56-2-12 |  1340000 |   411000 |   532752593 |  17073827457 |         0 |      0 |  1599954745 |      0 |      0 |         0 
 137506 Thread 30 - PartitionProcessorThre...26-91ae-e239a200cf56-2-13 |  1381000 |   416000 |   546151898 |  17522848660 |         0 |      0 |  1885089249 |      0 |      0 |         0 
 137507 Thread 31 - PartitionProcessorThre...26-91ae-e239a200cf56-2-14 |  1372000 |   450000 |   549991457 |  17758671789 |         0 |      0 |  1904109963 |      0 |      0 |         0 
