                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 88980 Thread 1 - main                                                |   561000 |    70000 |    38188963 |   4772190244 |  21055488 |   1024 |     2169208 |       0 |      0 |         0 
 89002 Thread 2 - Reference Handler                                   |     4000 |        0 |      374437 |     30932273 |         0 |      0 |      770603 |       0 |      0 |         0 
 89003 Thread 3 - Finalizer                                           |     6000 |     1000 |      604429 |     53528531 |      5120 |      0 |     2102852 |       0 |      0 |         0 
 89004 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 89005 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 89013 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26718000 | 29524000 | 17167492712 | 547336240980 | 585117696 | 130048 | 17017006091 |   85059 |      0 |         0 
 89014 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   186000 |    41000 |    69735519 |   2209394741 |   6708224 |   4096 |    15728835 |  347965 |      0 |         0 
 89018 Thread 14 - PartitionProcessorThre...cb5-8e58-dc226d2fccba-2-0 |  1237000 |   369000 |   482383212 |  15640661770 |    153600 |      0 |  1541313375 |       0 |      0 |         0 
 89019 Thread 15 - PartitionProcessorThre...cb5-8e58-dc226d2fccba-2-1 |  1183000 |   409000 |   481011356 |  15517736505 |      5120 |      0 |  1647245416 |       0 |      0 |         0 
 89020 Thread 16 - PartitionProcessorThre...cb5-8e58-dc226d2fccba-2-2 |  1196000 |   400000 |   485375192 |  15561249301 |         0 |      0 |  1628493275 |       0 |      0 |         0 
 89021 Thread 17 - PartitionProcessorThre...cb5-8e58-dc226d2fccba-2-3 |  1219000 |   393000 |   488978286 |  15719804547 |         0 |      0 |  1828047495 |       0 |      0 |         0 
 89022 Thread 18 - PartitionProcessorThre...cb5-8e58-dc226d2fccba-2-4 |  1277000 |   401000 |   508726993 |  16364140469 |         0 |      0 |  1519473840 |       0 |      0 |         0 
 89023 Thread 19 - PartitionProcessorThre...cb5-8e58-dc226d2fccba-2-5 |  1217000 |   416000 |   492383071 |  15925746868 |         0 |      0 |  1342529006 |       0 |      0 |         0 
 89024 Thread 20 - PartitionProcessorThre...cb5-8e58-dc226d2fccba-2-6 |  1231000 |   410000 |   497421348 |  16005318239 |         0 |      0 |  1374130279 |       0 |      0 |         0 
 89025 Thread 21 - PartitionProcessorThre...cb5-8e58-dc226d2fccba-2-7 |  1237000 |   417000 |   502640212 |  16133796329 |         0 |      0 |  1548506872 |       0 |      0 |         0 
