                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 129690 Thread 1 - main                                                |  1030000 |   107000 |    75078497 |   7944358854 |  14848000 |   1024 |     8323456 |      0 |      0 |         0 
 129697 Thread 2 - Reference Handler                                   |     1000 |     1000 |      106367 |     13591246 |         0 |      0 |      257742 |      0 |      0 |         0 
 129698 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       40982 |      0 |      0 |         0 
 129699 Thread 4 - Signal Dispatcher                                   |     1000 |        0 |       17925 |      6314855 |         0 |      0 |           0 |      0 |      0 |         0 
 129705 Thread 11 - Common-Cleaner                                     |     1000 |        0 |       89742 |      7443562 |         0 |      0 |      433798 |      0 |      0 |         0 
 129720 Thread 13 - RMI Scheduler(0)                                   |     4000 |        0 |     1041828 |     36576070 |      1024 |      0 |      309519 |      0 |      0 |         0 
 129726 Thread 14 - RMI RenewClean-[10.231.182.152:37495]              |     1000 |        0 |       81593 |      7372507 |         0 |      0 |       51063 |      0 |      0 |         0 
 129727 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 129731 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 25125000 | 35270000 | 19405738689 | 596180444964 | 625358848 | 104448 | 11981292958 | 238641 |      0 |         0 
 129733 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   230000 |    39000 |    85320265 |   2650953311 |   5123072 |   5120 |    24156675 | 695094 |      0 |         0 
 129754 Thread 18 - PartitionProcessorThre...419-ae98-c5ed5fbc332f-1-0 |  1166000 |   411000 |   506868789 |  15591779347 |      4096 |      0 |  1090678094 |      0 |      0 |         0 
 129755 Thread 19 - PartitionProcessorThre...419-ae98-c5ed5fbc332f-1-1 |  1154000 |   363000 |   489110368 |  14993231789 |     29696 |      0 |   985822115 |      0 |      0 |         0 
 129756 Thread 20 - PartitionProcessorThre...419-ae98-c5ed5fbc332f-1-2 |  1198000 |   361000 |   500412852 |  15415305883 |      3072 |      0 |   946537008 |      0 |      0 |         0 
 129757 Thread 21 - PartitionProcessorThre...419-ae98-c5ed5fbc332f-1-3 |  1129000 |   392000 |   488967879 |  15033757125 |         0 |      0 |  1091486110 |      0 |      0 |         0 
 129758 Thread 22 - PartitionProcessorThre...419-ae98-c5ed5fbc332f-1-4 |  1179000 |   378000 |   500752102 |  15393210738 |      8192 |      0 |  1125491930 |      0 |      0 |         0 
 129759 Thread 23 - PartitionProcessorThre...419-ae98-c5ed5fbc332f-1-5 |  1057000 |   369000 |   457041598 |  14097090996 |         0 |      0 |  1044485602 |      0 |      0 |         0 
 129760 Thread 24 - PartitionProcessorThre...419-ae98-c5ed5fbc332f-1-6 |  1110000 |   367000 |   475257661 |  14604050898 |      8192 |      0 |   965803569 |      0 |      0 |         0 
