                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 126739 Thread 1 - main                                                |  1004000 |    95000 |    74658622 |   7765988825 |  14848000 |   1024 |     8341570 |  673848 |      0 |         0 
 126746 Thread 2 - Reference Handler                                   |     1000 |     1000 |      172957 |     14750062 |         0 |      0 |     1099698 |       0 |      0 |         0 
 126747 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |      127860 |       0 |      0 |         0 
 126748 Thread 4 - Signal Dispatcher                                   |     1000 |        0 |      289136 |      9886957 |         0 |      0 |       47419 |       0 |      0 |         0 
 126754 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |      339385 |       0 |      0 |         0 
 126759 Thread 13 - RMI Scheduler(0)                                   |     2000 |     1000 |      886093 |     29660472 |      1024 |      0 |       99232 |       0 |      0 |         0 
 126765 Thread 14 - RMI RenewClean-[10.231.182.152:37510]              |        0 |     1000 |       84519 |      7437511 |         0 |      0 |      396877 |       0 |      0 |         0 
 126766 Thread 15 - RMI GC Daemon                                      |     1000 |        0 |       82707 |      7437511 |         0 |      0 |           0 |       0 |      0 |         0 
 126770 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 23172000 | 31831000 | 15583728631 | 542471592873 | 574268416 | 108544 | 12584065747 |  184469 |      0 |         0 
 126772 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   204000 |    46000 |    69760276 |   2453526249 |   4927488 |   5120 |    17383444 | 1268877 |      0 |         0 
 126776 Thread 18 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-0 |  1136000 |   362000 |   419173641 |  14761098742 |      4096 |      0 |  1101567072 |       0 |      0 |         0 
 126777 Thread 19 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-1 |  1053000 |   380000 |   400725063 |  14121609320 |         0 |      0 |  1155817896 |       0 |      0 |         0 
 126778 Thread 20 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-2 |  1048000 |   349000 |   388940919 |  13763439976 |         0 |      0 |   922708165 |       0 |      0 |         0 
 126779 Thread 21 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-3 |  1049000 |   387000 |   399297677 |  14141439652 |         0 |      0 |  1345337864 |       0 |      0 |         0 
 126780 Thread 22 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-4 |  1086000 |   355000 |   400581755 |  14183579121 |     32768 |      0 |  1308781558 |       0 |      0 |         0 
 126781 Thread 23 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-5 |  1028000 |   388000 |   394196810 |  13944564125 |         0 |      0 |  1359249667 |       0 |      0 |         0 
 126782 Thread 24 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-6 |  1048000 |   337000 |   385834915 |  13646469019 |         0 |      0 |  1178087030 |       0 |      0 |         0 
 126783 Thread 25 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-7 |  1100000 |   362000 |   409769470 |  14412725011 |         0 |      0 |  1092064704 |       0 |      0 |         0 
 126784 Thread 26 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-8 |  1119000 |   356000 |   411822837 |  14538250812 |         0 |      0 |  1119751714 |       0 |      0 |         0 
 126785 Thread 27 - PartitionProcessorThre...93e-bc8f-a532023c10a9-1-9 |  1141000 |   338000 |   414452688 |  14574035027 |         0 |      0 |  1091271453 |       0 |      0 |         0 
 126786 Thread 28 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-10 |  1032000 |   355000 |   386736189 |  13668887730 |         0 |      0 |  1212773165 |       0 |      0 |         0 
 126787 Thread 29 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-11 |   977000 |   353000 |   371151474 |  13104863859 |         0 |      0 |  1169992739 |       0 |      0 |         0 
 126788 Thread 30 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-12 |  1041000 |   333000 |   384761942 |  13541410386 |         0 |      0 |  1171651291 |       0 |      0 |         0 
 126789 Thread 31 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-13 |  1022000 |   326000 |   377023251 |  13282665680 |     14336 |      0 |  1289282485 |       0 |      0 |         0 
 126790 Thread 32 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-14 |  1072000 |   316000 |   389596853 |  13681407285 |         0 |      0 |  1182160764 |       0 |      0 |         0 
 126791 Thread 33 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-15 |   991000 |   371000 |   381457618 |  13421542226 |         0 |      0 |  1256659222 |       0 |      0 |         0 
 126792 Thread 34 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-16 |  1060000 |   333000 |   388670653 |  13719367648 |         0 |      0 |  1173111254 |       0 |      0 |         0 
 126793 Thread 35 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-17 |  1002000 |   338000 |   373914896 |  13205445847 |         0 |      0 |  1196546528 |       0 |      0 |         0 
 126794 Thread 36 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-18 |  1063000 |   337000 |   388852813 |  13788432558 |         0 |      0 |  1150386967 |       0 |      0 |         0 
 126795 Thread 37 - PartitionProcessorThre...3e-bc8f-a532023c10a9-1-19 |  1041000 |   347000 |   389043747 |  13685725531 |         0 |      0 |  1176964617 |       0 |      0 |         0 
 126799 Thread 38 - PartitionProcessorThre...93e-bc8f-a532023c10a9-2-0 |   997000 |   359000 |   384704727 |  13406291570 |         0 |      0 |  1107732072 |       0 |      0 |         0 
 126800 Thread 39 - PartitionProcessorThre...93e-bc8f-a532023c10a9-2-1 |  1053000 |   383000 |   409290024 |  14198240175 |         0 |      0 |   926335313 |       0 |      0 |         0 
 126801 Thread 40 - PartitionProcessorThre...93e-bc8f-a532023c10a9-2-2 |  1082000 |   401000 |   421984266 |  14662023214 |         0 |      0 |  1068613275 |       0 |      0 |         0 
 126802 Thread 41 - PartitionProcessorThre...93e-bc8f-a532023c10a9-2-3 |  1051000 |   358000 |   401021399 |  13930438519 |         0 |      0 |   960133892 |       0 |      0 |         0 
