                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 80865 Thread 1 - main                                                |   591000 |    78000 |    41885998 |   5061956814 |  21203968 |   1024 |     5583208 |      0 |      0 |         0 
 80887 Thread 2 - Reference Handler                                   |     6000 |     1000 |      636656 |     53601582 |         0 |      0 |      256097 |      0 |      0 |         0 
 80888 Thread 3 - Finalizer                                           |     9000 |        0 |      986007 |     71117976 |      5120 |      0 |      392771 |      0 |      0 |         0 
 80889 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        6596 |      0 |      0 |         0 
 80890 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 80900 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28805000 | 32471000 | 19116989702 | 596725849291 | 636359680 | 133120 | 19453574323 |  39628 |      0 |         0 
 80901 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   187000 |    59000 |    75866487 |   2397634936 |   6623232 |   5120 |    26229878 | 355901 |      0 |         0 
 80904 Thread 14 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-0 |  1265000 |   446000 |   534879515 |  16686114316 |     36864 |      0 |  1446178827 |      0 |      0 |         0 
 80905 Thread 15 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-1 |  1163000 |   459000 |   507447684 |  15827641922 |      6144 |      0 |  1353889869 |      0 |      0 |         0 
 80906 Thread 16 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-2 |  1223000 |   409000 |   509879246 |  15925311191 |         0 |      0 |  1386881714 |      0 |      0 |         0 
 80907 Thread 17 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-3 |  1248000 |   452000 |   530338414 |  16588036218 |      1024 |      0 |  1426934807 |      0 |      0 |         0 
 80908 Thread 18 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-4 |  1253000 |   470000 |   538436390 |  16813146312 |         0 |      0 |  1531860327 |      0 |      0 |         0 
 80909 Thread 19 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-5 |  1268000 |   485000 |   547527347 |  17104815492 |         0 |      0 |  1488551476 |      0 |      0 |         0 
 80910 Thread 20 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-6 |  1303000 |   436000 |   542162781 |  16967715374 |         0 |      0 |  1099333302 |      0 |      0 |         0 
 80911 Thread 21 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-7 |  1200000 |   525000 |   540453226 |  16831826148 |         0 |      0 |  1386947426 |      0 |      0 |         0 
 80912 Thread 22 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-8 |  1258000 |   484000 |   539656855 |  16996369761 |         0 |      0 |  1379145903 |      0 |      0 |         0 
 80913 Thread 23 - PartitionProcessorThre...f40-b358-f26bea0903ba-2-9 |  1294000 |   430000 |   536886469 |  16819583031 |    121856 |      0 |  1544170288 |      0 |      0 |         0 
 80914 Thread 24 - PartitionProcessorThre...40-b358-f26bea0903ba-2-10 |  1284000 |   451000 |   541210101 |  16929584464 |         0 |      0 |  1550249644 |      0 |      0 |         0 
 80915 Thread 25 - PartitionProcessorThre...40-b358-f26bea0903ba-2-11 |  1250000 |   478000 |   539294332 |  16861898968 |         0 |      0 |  1365504089 |      0 |      0 |         0 
 80916 Thread 26 - PartitionProcessorThre...40-b358-f26bea0903ba-2-12 |  1247000 |   439000 |   526689348 |  16451779238 |         0 |      0 |  1523533517 |      0 |      0 |         0 
 80917 Thread 27 - PartitionProcessorThre...40-b358-f26bea0903ba-2-13 |  1204000 |   456000 |   516741738 |  16196445570 |         0 |      0 |  1461033355 |      0 |      0 |         0 
 80918 Thread 28 - PartitionProcessorThre...40-b358-f26bea0903ba-2-14 |  1252000 |   472000 |   539551000 |  16821131488 |         0 |      0 |  1401849975 |      0 |      0 |         0 
 80919 Thread 29 - PartitionProcessorThre...40-b358-f26bea0903ba-2-15 |  1299000 |   503000 |   562099582 |  17582780464 |         0 |      0 |  1554875562 |      0 |      0 |         0 
 80920 Thread 30 - PartitionProcessorThre...40-b358-f26bea0903ba-2-16 |  1286000 |   471000 |   548563351 |  17141717585 |     11264 |      0 |  1542593233 |      0 |      0 |         0 
 80921 Thread 31 - PartitionProcessorThre...40-b358-f26bea0903ba-2-17 |  1246000 |   401000 |   513460684 |  16070016031 |         0 |      0 |  1486400689 |      0 |      0 |         0 
 80922 Thread 32 - PartitionProcessorThre...40-b358-f26bea0903ba-2-18 |  1210000 |   495000 |   533309726 |  16638125433 |         0 |      0 |  1531061394 |      0 |      0 |         0 
 80923 Thread 33 - PartitionProcessorThre...40-b358-f26bea0903ba-2-19 |  1240000 |   417000 |   516553457 |  16169038343 |     24576 |      0 |  1419997556 |      0 |      0 |         0 
 80924 Thread 34 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-0 |  1244000 |   467000 |   534405851 |  16696164500 |         0 |      0 |  1337144217 |      0 |      0 |         0 
 80925 Thread 35 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-1 |  1260000 |   486000 |   547685847 |  17038251675 |         0 |      0 |  1469393873 |      0 |      0 |         0 
 80926 Thread 36 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-2 |  1264000 |   417000 |   525524469 |  16403369867 |         0 |      0 |  1424449365 |      0 |      0 |         0 
 80927 Thread 37 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-3 |  1354000 |   494000 |   578998304 |  18033224800 |         0 |      0 |  1611063771 |      0 |      0 |         0 
 80928 Thread 38 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-4 |  1254000 |   464000 |   537357672 |  16764158871 |         0 |      0 |  1488774458 |      0 |      0 |         0 
 80929 Thread 39 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-5 |  1249000 |   516000 |   552169027 |  17223080574 |         0 |      0 |  1416682890 |      0 |      0 |         0 
 80930 Thread 40 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-6 |  1273000 |   456000 |   542190769 |  16871934968 |         0 |      0 |  1534542368 |      0 |      0 |         0 
 80931 Thread 41 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-7 |  1250000 |   429000 |   524391988 |  16383597964 |         0 |      0 |  1526041511 |      0 |      0 |         0 
 80932 Thread 42 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-8 |  1191000 |   435000 |   510157824 |  15867341644 |         0 |      0 |  1342828886 |      0 |      0 |         0 
 80933 Thread 43 - PartitionProcessorThre...f40-b358-f26bea0903ba-0-9 |  1225000 |   439000 |   520085691 |  16237721902 |      4096 |      0 |  1424409903 |      0 |      0 |         0 
 80934 Thread 44 - PartitionProcessorThre...40-b358-f26bea0903ba-0-10 |  1256000 |   478000 |   543163933 |  16920297472 |         0 |      0 |  1382109214 |      0 |      0 |         0 
 80935 Thread 45 - PartitionProcessorThre...40-b358-f26bea0903ba-0-11 |  1287000 |   481000 |   552070078 |  17251957527 |         0 |      0 |  1575561496 |      0 |      0 |         0 
