                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 150664 Thread 1 - main                                                |   905000 |   170000 |    70243037 |   8248020083 |  34331648 |   1024 |    11068807 |      0 |      0 |         0 
 150686 Thread 2 - Reference Handler                                   |     5000 |        0 |      492546 |     40509933 |         0 |      0 |      127924 |      0 |      0 |         0 
 150687 Thread 3 - Finalizer                                           |     7000 |        0 |      596847 |     55259152 |      5120 |      0 |     3721595 |      0 |      0 |         0 
 150688 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       23947 |      0 |      0 |         0 
 150689 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        3826 |      0 |      0 |         0 
 150698 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |     1172566 |     39058816 |      4096 |      0 |       71690 |      0 |      0 |         0 
 150699 Thread 13 - RMI RenewClean-[10.231.182.152:46743]              |     1000 |     1000 |      164296 |     15721496 |      1024 |      0 |           0 |      0 |      0 |         0 
 150700 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 150703 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28751000 | 34524000 | 18272265170 | 616609267018 | 623212544 | 137216 | 21230274700 | 155594 |      0 |         0 
 150707 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   228000 |    55000 |    80271179 |   2754832639 |   7752704 |   5120 |    25184486 | 423662 |      0 |         0 
 150712 Thread 17 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-0 |  1390000 |   460000 |   530578485 |  18018242258 |     41984 |      0 |  1715026812 |      0 |      0 |         0 
 150713 Thread 18 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-1 |  1399000 |   492000 |   545845641 |  18445813700 |         0 |      0 |  1621064142 |      0 |      0 |         0 
 150714 Thread 19 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-2 |  1411000 |   445000 |   534367829 |  18101085051 |         0 |      0 |  1617493405 |      0 |      0 |         0 
 150715 Thread 20 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-3 |  1458000 |   444000 |   547709797 |  18551247293 |         0 |      0 |  1563923038 |      0 |      0 |         0 
 150716 Thread 21 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-4 |  1452000 |   509000 |   563782946 |  19123079242 |      1024 |      0 |  1696268601 |      0 |      0 |         0 
 150717 Thread 22 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-5 |  1354000 |   507000 |   537074520 |  18151041258 |         0 |      0 |  1734632920 |      0 |      0 |         0 
 150718 Thread 23 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-6 |  1400000 |   447000 |   530984302 |  18013507321 |         0 |      0 |  1523083989 |      0 |      0 |         0 
 150719 Thread 24 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-7 |  1316000 |   468000 |   514320540 |  17402958048 |         0 |      0 |  1922581868 |      0 |      0 |         0 
 150720 Thread 25 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-8 |  1375000 |   461000 |   528681669 |  17910870758 |         0 |      0 |  1867219313 |      0 |      0 |         0 
 150721 Thread 26 - PartitionProcessorThre...f63-a0a2-fb5b51afc761-2-9 |  1357000 |   434000 |   516137259 |  17470234739 |         0 |      0 |  1807770457 |      0 |      0 |         0 
 150722 Thread 27 - PartitionProcessorThre...63-a0a2-fb5b51afc761-2-10 |  1437000 |   399000 |   529530977 |  17907367282 |         0 |      0 |  1697276163 |      0 |      0 |         0 
 150723 Thread 28 - PartitionProcessorThre...63-a0a2-fb5b51afc761-2-11 |  1428000 |   461000 |   546186165 |  18428792356 |         0 |      0 |  1944739724 |      0 |      0 |         0 
 150724 Thread 29 - PartitionProcessorThre...63-a0a2-fb5b51afc761-2-12 |  1419000 |   481000 |   548135231 |  18534660016 |         0 |      0 |  1592215848 |      0 |      0 |         0 
 150725 Thread 30 - PartitionProcessorThre...63-a0a2-fb5b51afc761-2-13 |  1388000 |   480000 |   538809024 |  18223162360 |         0 |      0 |  1626012640 |      0 |      0 |         0 
