                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio | d:swap | d:reclaim 
 36316 Thread 1 - main                                                |  1018000 |   105000 |    76141599 |   7854014174 |  14848000 |   1024 |    10851744 |     0 |      0 |         0 
 36323 Thread 2 - Reference Handler                                   |        0 |     1000 |       16886 |      6147683 |         0 |      0 |      729307 |     0 |      0 |         0 
 36324 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       71633 |     0 |      0 |         0 
 36325 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |     0 |      0 |         0 
 36331 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |      267647 |     0 |      0 |         0 
 36335 Thread 13 - RMI Scheduler(0)                                   |     2000 |        0 |      436464 |     16802277 |      1024 |      0 |        9621 |     0 |      0 |         0 
 36341 Thread 14 - RMI RenewClean-[10.231.182.152:41944]              |     2000 |     1000 |      249976 |     22050511 |         0 |      0 |       19331 |     0 |      0 |         0 
 36342 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |     0 |      0 |         0 
 36357 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 25140000 | 35071000 | 21584158371 | 594010741348 | 625487872 |  99328 | 13985233761 | 78079 |      0 |         0 
 36364 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   234000 |    37000 |    95676065 |   2668586397 |   4940800 |   5120 |    17262584 | 68355 |      0 |         0 
 36367 Thread 18 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-0 |  1199000 |   441000 |   580724270 |  16176411038 |     41984 |      0 |  1120007725 |     0 |      0 |         0 
 36368 Thread 19 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-1 |  1241000 |   414000 |   583940504 |  16326637390 |         0 |      0 |  1014695080 |     0 |      0 |         0 
 36369 Thread 20 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-2 |  1141000 |   442000 |   560452575 |  15621868249 |         0 |      0 |  1038595375 |     0 |      0 |         0 
 36370 Thread 21 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-3 |  1213000 |   415000 |   578587289 |  16075388753 |         0 |      0 |  1052330468 |     0 |      0 |         0 
 36371 Thread 22 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-4 |  1182000 |   414000 |   563631160 |  15743455164 |         0 |      0 |  1159548168 |     0 |      0 |         0 
 36372 Thread 23 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-5 |  1186000 |   415000 |   564799360 |  15794716164 |         0 |      0 |  1020701948 |     0 |      0 |         0 
 36373 Thread 24 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-6 |  1212000 |   411000 |   572835153 |  16012053554 |         0 |      0 |  1094001675 |     0 |      0 |         0 
 36374 Thread 25 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-7 |  1202000 |   423000 |   573682207 |  16029884995 |         0 |      0 |  1031851795 |     0 |      0 |         0 
 36375 Thread 26 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-8 |  1217000 |   451000 |   590725301 |  16463090874 |         0 |      0 |  1028934005 |     0 |      0 |         0 
 36376 Thread 27 - PartitionProcessorThre...78f-9979-5a988fa0cce1-2-9 |  1202000 |   433000 |   578155461 |  16137607058 |         0 |      0 |  1218676118 |     0 |      0 |         0 
 36377 Thread 28 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-10 |  1228000 |   448000 |   593456426 |  16540353574 |         0 |      0 |  1058963130 |     0 |      0 |         0 
 36378 Thread 29 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-11 |  1202000 |   408000 |   572316071 |  15889772781 |         0 |      0 |  1011675494 |     0 |      0 |         0 
 36379 Thread 30 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-12 |  1195000 |   411000 |   569324188 |  15854932820 |      1024 |      0 |   985577429 |     0 |      0 |         0 
 36380 Thread 31 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-13 |  1140000 |   406000 |   553314125 |  15264329816 |         0 |      0 |  1146732724 |     0 |      0 |         0 
 36381 Thread 32 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-14 |  1111000 |   426000 |   547583383 |  15174156890 |      1024 |      0 |  1048635650 |     0 |      0 |         0 
 36382 Thread 33 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-15 |  1086000 |   415000 |   534931422 |  14817841859 |      2048 |      0 |  1087752733 |     0 |      0 |         0 
 36383 Thread 34 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-16 |  1070000 |   400000 |   519288004 |  14500737406 |         0 |      0 |   937990042 |     0 |      0 |         0 
 36384 Thread 35 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-17 |  1091000 |   362000 |   513822161 |  14340206515 |         0 |      0 |  1063917493 |     0 |      0 |         0 
 36385 Thread 36 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-18 |  1177000 |   388000 |   557326250 |  15445847242 |      1024 |      0 |   932878316 |     0 |      0 |         0 
 36386 Thread 37 - PartitionProcessorThre...8f-9979-5a988fa0cce1-2-19 |  1131000 |   420000 |   551174633 |  15311043265 |      5120 |      0 |  1071172256 |     0 |      0 |         0 
 36392 Thread 38 - PartitionProcessorThre...78f-9979-5a988fa0cce1-0-0 |  1173000 |   399000 |   564543790 |  15547007449 |         0 |      0 |  1025405619 |     0 |      0 |         0 
