                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 33527 Thread 1 - main                                                |   976000 |    97000 |    71708177 |   7496427221 |  14848000 |   1024 |     6693284 |      0 |      0 |         0 
 33534 Thread 2 - Reference Handler                                   |     1000 |        0 |      135894 |      9078667 |         0 |      0 |      868906 |      0 |      0 |         0 
 33535 Thread 3 - Finalizer                                           |        0 |     1000 |       16886 |      6148687 |      5120 |      0 |       33050 |      0 |      0 |         0 
 33536 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 33542 Thread 11 - Common-Cleaner                                     |     1000 |     2000 |      592039 |     26233820 |         0 |      0 |      111141 |      0 |      0 |         0 
 33548 Thread 13 - RMI Scheduler(0)                                   |     4000 |        0 |     1125246 |     36575925 |      1024 |      0 |       14501 |      0 |      0 |         0 
 33554 Thread 14 - RMI RenewClean-[10.231.182.152:43122]              |     1000 |     1000 |      163007 |     14678003 |         0 |      0 |           0 |      0 |      0 |         0 
 33555 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 33563 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 22398000 | 30882000 | 18363782694 | 525484852291 | 574363648 | 102400 | 11852088111 | 198252 |      0 |         0 
 33566 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   232000 |    46000 |    94320210 |   2734309358 |   4775936 |   4096 |    12510892 | 447870 |      0 |         0 
 33570 Thread 18 - PartitionProcessorThre...238-9241-4e77b80ace77-1-0 |  1077000 |   391000 |   502027141 |  14483768304 |         0 |      0 |   886021140 |      0 |      0 |         0 
 33571 Thread 19 - PartitionProcessorThre...238-9241-4e77b80ace77-1-1 |  1093000 |   366000 |   498446243 |  14392321972 |     33792 |      0 |   990068383 |      0 |      0 |         0 
 33572 Thread 20 - PartitionProcessorThre...238-9241-4e77b80ace77-1-2 |  1043000 |   395000 |   491720063 |  14194633656 |      1024 |      0 |   894485587 |      0 |      0 |         0 
 33573 Thread 21 - PartitionProcessorThre...238-9241-4e77b80ace77-1-3 |  1071000 |   337000 |   478444454 |  13887978820 |      6144 |      0 |   982890473 |      0 |      0 |         0 
 33574 Thread 22 - PartitionProcessorThre...238-9241-4e77b80ace77-1-4 |  1040000 |   366000 |   482340372 |  13872994437 |         0 |      0 |  1027378052 |      0 |      0 |         0 
 33575 Thread 23 - PartitionProcessorThre...238-9241-4e77b80ace77-1-5 |  1039000 |   345000 |   471194220 |  13654642132 |         0 |      0 |  1079670974 |      0 |      0 |         0 
 33576 Thread 24 - PartitionProcessorThre...238-9241-4e77b80ace77-1-6 |   994000 |   364000 |   465000489 |  13399276304 |         0 |      0 |  1113150897 |      0 |      0 |         0 
 33577 Thread 25 - PartitionProcessorThre...238-9241-4e77b80ace77-1-7 |  1059000 |   334000 |   475856837 |  13749928004 |         0 |      0 |  1095142317 |      0 |      0 |         0 
 33578 Thread 26 - PartitionProcessorThre...238-9241-4e77b80ace77-1-8 |  1041000 |   331000 |   468658677 |  13542833324 |         0 |      0 |  1012536296 |      0 |      0 |         0 
 33579 Thread 27 - PartitionProcessorThre...238-9241-4e77b80ace77-1-9 |   993000 |   428000 |   488013888 |  14032576671 |         0 |      0 |  1104454286 |      0 |      0 |         0 
 33580 Thread 28 - PartitionProcessorThre...38-9241-4e77b80ace77-1-10 |  1089000 |   356000 |   494969985 |  14259944449 |         0 |      0 |   921605509 |      0 |      0 |         0 
 33581 Thread 29 - PartitionProcessorThre...38-9241-4e77b80ace77-1-11 |  1041000 |   375000 |   485045517 |  13981127425 |         0 |      0 |  1060714849 |      0 |      0 |         0 
 33582 Thread 30 - PartitionProcessorThre...38-9241-4e77b80ace77-1-12 |  1005000 |   377000 |   471200888 |  13639102066 |         0 |      0 |   980612624 |      0 |      0 |         0 
 33583 Thread 31 - PartitionProcessorThre...38-9241-4e77b80ace77-1-13 |  1029000 |   324000 |   460766700 |  13347373863 |         0 |      0 |  1035891747 |      0 |      0 |         0 
 33584 Thread 32 - PartitionProcessorThre...38-9241-4e77b80ace77-1-14 |  1036000 |   387000 |   484534013 |  14037125445 |         0 |      0 |   968070846 |      0 |      0 |         0 
 33585 Thread 33 - PartitionProcessorThre...38-9241-4e77b80ace77-1-15 |  1099000 |   369000 |   499278282 |  14477945554 |         0 |      0 |   991751950 |      0 |      0 |         0 
 33586 Thread 34 - PartitionProcessorThre...38-9241-4e77b80ace77-1-16 |  1079000 |   373000 |   494123048 |  14326590999 |         0 |      0 |  1009838610 |      0 |      0 |         0 
 33587 Thread 35 - PartitionProcessorThre...38-9241-4e77b80ace77-1-17 |   987000 |   376000 |   464123286 |  13445803504 |      2048 |      0 |  1033848714 |      0 |      0 |         0 
 33588 Thread 36 - PartitionProcessorThre...38-9241-4e77b80ace77-1-18 |  1011000 |   415000 |   489891798 |  14077810843 |      8192 |      0 |  1135974707 |      0 |      0 |         0 
 33589 Thread 37 - PartitionProcessorThre...38-9241-4e77b80ace77-1-19 |  1069000 |   421000 |   510605161 |  14712259183 |         0 |      0 |   963728160 |      0 |      0 |         0 
 33593 Thread 38 - PartitionProcessorThre...238-9241-4e77b80ace77-2-0 |   995000 |   360000 |   466761485 |  13396684058 |         0 |      0 |  1003677192 |      0 |      0 |         0 
 33594 Thread 39 - PartitionProcessorThre...238-9241-4e77b80ace77-2-1 |  1032000 |   342000 |   471297931 |  13584422535 |         0 |      0 |   960527853 |      0 |      0 |         0 
 33595 Thread 40 - PartitionProcessorThre...238-9241-4e77b80ace77-2-2 |  1014000 |   363000 |   475066630 |  13614336609 |         0 |      0 |   919837783 |      0 |      0 |         0 
 33596 Thread 41 - PartitionProcessorThre...238-9241-4e77b80ace77-2-3 |  1031000 |   381000 |   488668575 |  13960452640 |         0 |      0 |  1043058593 |      0 |      0 |         0 
 33597 Thread 42 - PartitionProcessorThre...238-9241-4e77b80ace77-2-4 |  1002000 |   352000 |   463871837 |  13386076043 |         0 |      0 |   951765713 |      0 |      0 |         0 
 33598 Thread 43 - PartitionProcessorThre...238-9241-4e77b80ace77-2-5 |  1015000 |   350000 |   471383458 |  13496185965 |         0 |      0 |   967253236 |      0 |      0 |         0 
 33599 Thread 44 - PartitionProcessorThre...238-9241-4e77b80ace77-2-6 |  1047000 |   390000 |   496178177 |  14207521527 |         0 |      0 |  1008909044 |      0 |      0 |         0 
 33600 Thread 45 - PartitionProcessorThre...238-9241-4e77b80ace77-2-7 |  1043000 |   367000 |   486381602 |  13940895753 |         0 |      0 |  1052123454 |      0 |      0 |         0 
 33601 Thread 46 - PartitionProcessorThre...238-9241-4e77b80ace77-2-8 |  1105000 |   398000 |   520050426 |  14860666144 |         0 |      0 |  1180071565 |      0 |      0 |         0 
 33602 Thread 47 - PartitionProcessorThre...238-9241-4e77b80ace77-2-9 |  1001000 |   391000 |   479150563 |  13763238031 |         0 |      0 |  1172856039 |      0 |      0 |         0 
 33603 Thread 48 - PartitionProcessorThre...38-9241-4e77b80ace77-2-10 |  1032000 |   327000 |   469047817 |  13436871621 |         0 |      0 |   920167825 |      0 |      0 |         0 
 33604 Thread 49 - PartitionProcessorThre...38-9241-4e77b80ace77-2-11 |  1011000 |   354000 |   471792149 |  13496345894 |         0 |      0 |  1042002797 |      0 |      0 |         0 
 33605 Thread 50 - PartitionProcessorThre...38-9241-4e77b80ace77-2-12 |   994000 |   376000 |   473510821 |  13545765507 |         0 |      0 |  1136407868 |      0 |      0 |         0 
 33606 Thread 51 - PartitionProcessorThre...38-9241-4e77b80ace77-2-13 |  1064000 |   347000 |   487159970 |  13951088863 |         0 |      0 |  1098524853 |      0 |      0 |         0 
 33607 Thread 52 - PartitionProcessorThre...38-9241-4e77b80ace77-2-14 |  1041000 |   363000 |   486600204 |  13881973523 |         0 |      0 |   935032518 |      0 |      0 |         0 
 33608 Thread 53 - PartitionProcessorThre...38-9241-4e77b80ace77-2-15 |  1062000 |   343000 |   485722970 |  13891756316 |         0 |      0 |   891834586 |      0 |      0 |         0 
 33609 Thread 54 - PartitionProcessorThre...38-9241-4e77b80ace77-2-16 |  1000000 |   395000 |   484025196 |  13792795718 |         0 |      0 |  1094215565 |      0 |      0 |         0 
 33610 Thread 55 - PartitionProcessorThre...38-9241-4e77b80ace77-2-17 |   983000 |   369000 |   467944634 |  13367460687 |         0 |      0 |  1049991192 |      0 |      0 |         0 
 33611 Thread 56 - PartitionProcessorThre...38-9241-4e77b80ace77-2-18 |   959000 |   352000 |   451245669 |  12962144984 |         0 |      0 |  1017894980 |      0 |      0 |         0 
 33612 Thread 57 - PartitionProcessorThre...38-9241-4e77b80ace77-2-19 |  1042000 |   350000 |   478971602 |  13763043336 |         0 |      0 |   939592549 |      0 |      0 |         0 
 33613 Thread 58 - PartitionProcessorThre...238-9241-4e77b80ace77-0-0 |  1010000 |   337000 |   466188052 |  13318237535 |         0 |      0 |  1162195999 |      0 |      0 |         0 
 33614 Thread 59 - PartitionProcessorThre...238-9241-4e77b80ace77-0-1 |   976000 |   341000 |   454374603 |  13021684340 |         0 |      0 |  1185449570 |      0 |      0 |         0 
 33615 Thread 60 - PartitionProcessorThre...238-9241-4e77b80ace77-0-2 |  1019000 |   336000 |   470604559 |  13397588121 |         0 |      0 |  1109870893 |      0 |      0 |         0 
 33616 Thread 61 - PartitionProcessorThre...238-9241-4e77b80ace77-0-3 |   973000 |   358000 |   461300673 |  13160289281 |         0 |      0 |  1038211346 |      0 |      0 |         0 
 33617 Thread 62 - PartitionProcessorThre...238-9241-4e77b80ace77-0-4 |  1004000 |   329000 |   462398997 |  13179978273 |      8192 |      0 |  1141595521 |      0 |      0 |         0 
 33618 Thread 63 - PartitionProcessorThre...238-9241-4e77b80ace77-0-5 |   981000 |   354000 |   460891227 |  13199726375 |         0 |      0 |   914133028 |      0 |      0 |         0 
 33619 Thread 64 - PartitionProcessorThre...238-9241-4e77b80ace77-0-6 |   973000 |   350000 |   459467239 |  13081267855 |         0 |      0 |   905965329 |      0 |      0 |         0 
 33620 Thread 65 - PartitionProcessorThre...238-9241-4e77b80ace77-0-7 |   992000 |   344000 |   463309864 |  13209768011 |         0 |      0 |   982228870 |      0 |      0 |         0 
 33621 Thread 66 - PartitionProcessorThre...238-9241-4e77b80ace77-0-8 |  1021000 |   373000 |   485089747 |  13783346589 |         0 |      0 |   961346363 |      0 |      0 |         0 
 33622 Thread 67 - PartitionProcessorThre...238-9241-4e77b80ace77-0-9 |  1003000 |   359000 |   473374282 |  13466968218 |         0 |      0 |  1130316847 |      0 |      0 |         0 
 33623 Thread 68 - PartitionProcessorThre...38-9241-4e77b80ace77-0-10 |  1003000 |   355000 |   470176309 |  13427221047 |      1024 |      0 |  1068222752 |      0 |      0 |         0 
 33624 Thread 69 - PartitionProcessorThre...38-9241-4e77b80ace77-0-11 |  1011000 |   362000 |   475100278 |  13575347062 |         0 |      0 |  1127373177 |      0 |      0 |         0 
 33625 Thread 70 - PartitionProcessorThre...38-9241-4e77b80ace77-0-12 |   924000 |   369000 |   448971142 |  12784770316 |         0 |      0 |   924142656 |      0 |      0 |         0 
 33626 Thread 71 - PartitionProcessorThre...38-9241-4e77b80ace77-0-13 |  1030000 |   360000 |   482706962 |  13743680058 |         0 |      0 |   976854075 |      0 |      0 |         0 
 33627 Thread 72 - PartitionProcessorThre...38-9241-4e77b80ace77-0-14 |  1003000 |   352000 |   469405763 |  13397560566 |         0 |      0 |  1104454364 |      0 |      0 |         0 
 33628 Thread 73 - PartitionProcessorThre...38-9241-4e77b80ace77-0-15 |  1026000 |   368000 |   483010927 |  13782974375 |         0 |      0 |  1033005860 |      0 |      0 |         0 
