                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 88624 Thread 1 - main                                                |   801000 |   173000 |    64896068 |   7470300439 |  34339840 |   1024 |     9634337 |      0 |      0 |         0 
 88646 Thread 2 - Reference Handler                                   |     5000 |        0 |      535343 |     41066367 |         0 |      0 |      220260 |      0 |      0 |         0 
 88647 Thread 3 - Finalizer                                           |     3000 |     1000 |      501476 |     32823550 |      5120 |      0 |     4729459 |      0 |      0 |         0 
 88648 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       14935 |      0 |      0 |         0 
 88649 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       26707 |      7228289 |         0 |      0 |           0 |      0 |      0 |         0 
 88659 Thread 12 - RMI Scheduler(0)                                   |     1000 |     1000 |      379246 |     17520792 |      4096 |      0 |        8743 |      0 |      0 |         0 
 88660 Thread 13 - RMI RenewClean-[10.231.182.152:39741]              |        0 |     1000 |      329894 |      9789968 |      1024 |      0 |           0 |      0 |      0 |         0 
 88661 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 88663 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 25678000 | 34521000 | 17713147547 | 586562890753 | 574454784 | 149504 | 18205541712 | 130603 |      0 |         0 
 88664 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   255000 |    38000 |    85797706 |   2851003909 |   5240832 |   6144 |    34799564 | 209555 |      0 |         0 
 88669 Thread 17 - PartitionProcessorThre...d32-be67-655b550609df-2-0 |  1155000 |   436000 |   464342230 |  15505900308 |     37888 |      0 |  1297751798 |      0 |      0 |         0 
 88670 Thread 18 - PartitionProcessorThre...d32-be67-655b550609df-2-1 |  1163000 |   421000 |   466357589 |  15450511507 |         0 |      0 |  1259078738 |      0 |      0 |         0 
 88671 Thread 19 - PartitionProcessorThre...d32-be67-655b550609df-2-2 |  1189000 |   384000 |   461504464 |  15339042312 |         0 |      0 |  1362542129 |      0 |      0 |         0 
 88672 Thread 20 - PartitionProcessorThre...d32-be67-655b550609df-2-3 |  1170000 |   446000 |   474178566 |  15759050921 |      4096 |      0 |  1153222351 |      0 |      0 |         0 
 88673 Thread 21 - PartitionProcessorThre...d32-be67-655b550609df-2-4 |  1136000 |   418000 |   456322296 |  15157374289 |         0 |      0 |  1195243150 |      0 |      0 |         0 
 88674 Thread 22 - PartitionProcessorThre...d32-be67-655b550609df-2-5 |  1158000 |   427000 |   463847874 |  15455872871 |         0 |      0 |  1250374313 |      0 |      0 |         0 
 88675 Thread 23 - PartitionProcessorThre...d32-be67-655b550609df-2-6 |  1129000 |   414000 |   451680793 |  15046279043 |         0 |      0 |  1057202812 |      0 |      0 |         0 
 88676 Thread 24 - PartitionProcessorThre...d32-be67-655b550609df-2-7 |  1175000 |   391000 |   461258788 |  15273158816 |         0 |      0 |  1068669874 |      0 |      0 |         0 
 88677 Thread 25 - PartitionProcessorThre...d32-be67-655b550609df-2-8 |  1105000 |   377000 |   433699949 |  14448792625 |         0 |      0 |  1048251376 |      0 |      0 |         0 
 88678 Thread 26 - PartitionProcessorThre...d32-be67-655b550609df-2-9 |  1218000 |   393000 |   470789273 |  15704810007 |         0 |      0 |  1192898929 |      0 |      0 |         0 
 88679 Thread 27 - PartitionProcessorThre...32-be67-655b550609df-2-10 |  1259000 |   387000 |   482802753 |  16048178265 |         0 |      0 |  1205473311 |      0 |      0 |         0 
 88680 Thread 28 - PartitionProcessorThre...32-be67-655b550609df-2-11 |  1210000 |   415000 |   475726116 |  15846765949 |         0 |      0 |  1165393013 |      0 |      0 |         0 
 88681 Thread 29 - PartitionProcessorThre...32-be67-655b550609df-2-12 |  1170000 |   425000 |   467885245 |  15556837527 |      1024 |      0 |  1400470889 |      0 |      0 |         0 
