                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 73193 Thread 1 - main                                                |   665000 |    82000 |    45731928 |   5670713529 |  21203968 |   1024 |     2507626 |      0 |      0 |         0 
 73215 Thread 2 - Reference Handler                                   |     6000 |        0 |      580726 |     46467460 |         0 |      0 |      441142 |      0 |      0 |         0 
 73216 Thread 3 - Finalizer                                           |     5000 |     1000 |      492808 |     45627996 |      5120 |      0 |      799972 |      0 |      0 |         0 
 73217 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       26286 |      0 |      0 |         0 
 73218 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 73229 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26746000 | 29456000 | 16544932154 | 547032813788 | 585268224 | 134144 | 18056863543 | 581615 |      0 |         0 
 73230 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   166000 |    57000 |    65447800 |   2173781624 |   6404096 |   5120 |    36628231 | 375631 |      0 |         0 
 73233 Thread 14 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-0 |  1264000 |   427000 |   496000504 |  16473959871 |    129024 |      0 |  1446464134 |      0 |      0 |         0 
 73234 Thread 15 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-1 |  1245000 |   453000 |   500688945 |  16556169949 |     36864 |      0 |  1508746085 |      0 |      0 |         0 
 73235 Thread 16 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-2 |  1199000 |   451000 |   487028527 |  16094630258 |      3072 |      0 |  1522360023 |      0 |      0 |         0 
 73236 Thread 17 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-3 |  1136000 |   453000 |   468444145 |  15499155140 |         0 |      0 |  1378963409 |      0 |      0 |         0 
 73237 Thread 18 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-4 |  1203000 |   352000 |   458332613 |  15163723133 |         0 |      0 |  1428627897 |      0 |      0 |         0 
 73238 Thread 19 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-5 |  1235000 |   393000 |   481484922 |  15879503113 |         0 |      0 |  1443648009 |      0 |      0 |         0 
 73239 Thread 20 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-6 |  1252000 |   360000 |   476592387 |  15722473215 |         0 |      0 |  1521163376 |      0 |      0 |         0 
 73240 Thread 21 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-7 |  1088000 |   380000 |   431418051 |  14319270859 |         0 |      0 |  1284829520 |      0 |      0 |         0 
 73241 Thread 22 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-8 |  1114000 |   382000 |   440111739 |  14588607176 |         0 |      0 |  1388543767 |      0 |      0 |         0 
 73242 Thread 23 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-2-9 |  1198000 |   417000 |   475800817 |  15752179902 |         0 |      0 |  1324306753 |      0 |      0 |         0 
 73243 Thread 24 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-10 |  1137000 |   426000 |   461121953 |  15246698129 |         0 |      0 |  1414621010 |      0 |      0 |         0 
 73244 Thread 25 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-11 |  1221000 |   422000 |   483105199 |  16022833636 |         0 |      0 |  1508788499 |      0 |      0 |         0 
 73245 Thread 26 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-12 |  1205000 |   404000 |   473145125 |  15693820804 |         0 |      0 |  1414121784 |      0 |      0 |         0 
 73246 Thread 27 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-13 |  1138000 |   384000 |   449608113 |  14846021754 |         0 |      0 |  1355925179 |      0 |      0 |         0 
 73247 Thread 28 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-14 |  1173000 |   387000 |   458844606 |  15214075883 |         0 |      0 |  1326427345 |      0 |      0 |         0 
 73248 Thread 29 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-15 |  1201000 |   430000 |   480566180 |  15907728043 |         0 |      0 |  1458615890 |      0 |      0 |         0 
 73249 Thread 30 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-16 |  1212000 |   388000 |   471664566 |  15606160738 |     34816 |      0 |  1363775139 |      0 |      0 |         0 
 73250 Thread 31 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-17 |  1187000 |   400000 |   469838563 |  15479910844 |      1024 |      0 |  1351284503 |      0 |      0 |         0 
 73251 Thread 32 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-18 |  1168000 |   434000 |   472689305 |  15626522808 |         0 |      0 |  1301473000 |      0 |      0 |         0 
 73252 Thread 33 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-2-19 |  1235000 |   398000 |   482686828 |  15929823515 |         0 |      0 |  1579113480 |      0 |      0 |         0 
 73253 Thread 34 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-0 |  1201000 |   417000 |   479044992 |  15784126410 |         0 |      0 |  1461369214 |      0 |      0 |         0 
 73254 Thread 35 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-1 |  1133000 |   404000 |   455268625 |  14993945984 |      1024 |      0 |  1287649265 |      0 |      0 |         0 
 73255 Thread 36 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-2 |  1190000 |   425000 |   478812066 |  15754901441 |         0 |      0 |  1504739275 |      0 |      0 |         0 
 73256 Thread 37 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-3 |  1191000 |   420000 |   478209223 |  15715938332 |         0 |      0 |  1421708398 |      0 |      0 |         0 
 73257 Thread 38 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-4 |  1226000 |   407000 |   483920801 |  15930863203 |         0 |      0 |  1421641260 |      0 |      0 |         0 
 73258 Thread 39 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-5 |  1242000 |   440000 |   499217750 |  16408769644 |         0 |      0 |  1588135539 |      0 |      0 |         0 
 73259 Thread 40 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-6 |  1146000 |   408000 |   460433957 |  15159751746 |         0 |      0 |  1488032303 |      0 |      0 |         0 
 73260 Thread 41 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-7 |  1147000 |   405000 |   459628285 |  15140627953 |         0 |      0 |  1266637409 |      0 |      0 |         0 
 73261 Thread 42 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-8 |  1179000 |   425000 |   475799398 |  15648039863 |         0 |      0 |  1277511634 |      0 |      0 |         0 
 73262 Thread 43 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-1-9 |  1164000 |   443000 |   476491520 |  15677045742 |         0 |      0 |  1309408289 |      0 |      0 |         0 
 73263 Thread 44 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-10 |  1125000 |   434000 |   462137223 |  15209065117 |         0 |      0 |  1387889279 |      0 |      0 |         0 
 73264 Thread 45 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-11 |  1132000 |   410000 |   457859246 |  15043055941 |         0 |      0 |  1179623663 |      0 |      0 |         0 
 73265 Thread 46 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-12 |  1198000 |   415000 |   478869746 |  15735551355 |         0 |      0 |  1294517162 |      0 |      0 |         0 
 73266 Thread 47 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-13 |  1176000 |   416000 |   472965645 |  15531142918 |         0 |      0 |  1252155238 |      0 |      0 |         0 
 73267 Thread 48 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-14 |  1181000 |   417000 |   474400246 |  15589517984 |         0 |      0 |  1276614141 |      0 |      0 |         0 
 73268 Thread 49 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-15 |  1199000 |   425000 |   481537176 |  15843049648 |         0 |      0 |  1305075737 |      0 |      0 |         0 
 73269 Thread 50 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-16 |  1175000 |   381000 |   461335340 |  15179279426 |         0 |      0 |  1360763194 |      0 |      0 |         0 
 73270 Thread 51 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-17 |  1135000 |   414000 |   460188059 |  15111501699 |         0 |      0 |  1260498289 |      0 |      0 |         0 
 73271 Thread 52 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-18 |  1201000 |   440000 |   486345918 |  16008698531 |         0 |      0 |  1343760785 |      0 |      0 |         0 
 73272 Thread 53 - PartitionProcessorThre...d7-93ed-d7ec265f2a3f-1-19 |  1204000 |   394000 |   474582824 |  15589214019 |         0 |      0 |  1463325491 |      0 |      0 |         0 
 73273 Thread 54 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-0-0 |  1144000 |   420000 |   464657449 |  15257789664 |         0 |      0 |  1499351348 |      0 |      0 |         0 
 73274 Thread 55 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-0-1 |  1213000 |   388000 |   475173477 |  15618653496 |         0 |      0 |  1396955178 |      0 |      0 |         0 
 73275 Thread 56 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-0-2 |  1213000 |   410000 |   482345184 |  15833316836 |         0 |      0 |  1443908086 |      0 |      0 |         0 
 73276 Thread 57 - PartitionProcessorThre...dd7-93ed-d7ec265f2a3f-0-3 |  1173000 |   429000 |   476227988 |  15628140691 |         0 |      0 |  1447259367 |      0 |      0 |         0 
