                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 91554 Thread 1 - main                                                |   594000 |    72000 |    41544588 |   5052049998 |  21203968 |   1024 |     6587405 |      0 |      0 |         0 
 91576 Thread 2 - Reference Handler                                   |     7000 |     1000 |      999910 |     64196867 |         0 |      0 |     2134106 |      0 |      0 |         0 
 91577 Thread 3 - Finalizer                                           |     5000 |     1000 |      577140 |     46467460 |      5120 |      0 |     1985819 |      0 |      0 |         0 
 91578 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       21540 |      0 |      0 |         0 
 91579 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       30343 |      7292289 |         0 |      0 |           0 |      0 |      0 |         0 
 91588 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28696000 | 32123000 | 18685494755 | 592313868644 | 636637184 | 125952 | 19025466818 | 107526 |      0 |         0 
 91590 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   172000 |    56000 |    68563675 |   2216810237 |   6370304 |   4096 |    49263193 | 295468 |      0 |         0 
 91593 Thread 14 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-0 |  1250000 |   431000 |   516104069 |  16382038968 |    164864 |      0 |  1577223432 |      0 |      0 |         0 
 91594 Thread 15 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-1 |  1290000 |   443000 |   532927913 |  16905806085 |         0 |      0 |  1524295668 |      0 |      0 |         0 
 91595 Thread 16 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-2 |  1136000 |   480000 |   496955617 |  15764389179 |         0 |      0 |  1492558657 |      0 |      0 |         0 
 91596 Thread 17 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-3 |  1315000 |   404000 |   528814577 |  16772144914 |      1024 |      0 |  1373072121 |      0 |      0 |         0 
 91597 Thread 18 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-4 |  1297000 |   423000 |   529150034 |  16777777679 |         0 |      0 |  1534051888 |      0 |      0 |         0 
 91598 Thread 19 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-5 |  1247000 |   468000 |   528594730 |  16733477320 |         0 |      0 |  1348404720 |      0 |      0 |         0 
 91599 Thread 20 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-6 |  1319000 |   482000 |   553583265 |  17571935640 |         0 |      0 |  1527469539 |      0 |      0 |         0 
 91600 Thread 21 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-7 |  1300000 |   442000 |   535837042 |  16996261121 |         0 |      0 |  1226404444 |      0 |      0 |         0 
 91601 Thread 22 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-8 |  1286000 |   514000 |   553626804 |  17560936925 |         0 |      0 |  1383831713 |      0 |      0 |         0 
 91602 Thread 23 - PartitionProcessorThre...9e8-9764-d3dab204530b-1-9 |  1236000 |   475000 |   526926718 |  16694143773 |         0 |      0 |  1270369991 |      0 |      0 |         0 
 91603 Thread 24 - PartitionProcessorThre...e8-9764-d3dab204530b-1-10 |  1297000 |   454000 |   537941792 |  17083868046 |         0 |      0 |  1416815897 |      0 |      0 |         0 
 91604 Thread 25 - PartitionProcessorThre...e8-9764-d3dab204530b-1-11 |  1209000 |   473000 |   517482210 |  16412552867 |         0 |      0 |  1545155493 |      0 |      0 |         0 
 91605 Thread 26 - PartitionProcessorThre...e8-9764-d3dab204530b-1-12 |  1294000 |   420000 |   526871894 |  16723827398 |         0 |      0 |  1505105195 |      0 |      0 |         0 
 91606 Thread 27 - PartitionProcessorThre...e8-9764-d3dab204530b-1-13 |  1185000 |   420000 |   494150214 |  15660053062 |         0 |      0 |  1434119078 |      0 |      0 |         0 
 91607 Thread 28 - PartitionProcessorThre...e8-9764-d3dab204530b-1-14 |  1259000 |   437000 |   521297515 |  16549265019 |         0 |      0 |  1342477823 |      0 |      0 |         0 
 91608 Thread 29 - PartitionProcessorThre...e8-9764-d3dab204530b-1-15 |  1236000 |   432000 |   514440241 |  16274458531 |         0 |      0 |  1359493961 |      0 |      0 |         0 
 91609 Thread 30 - PartitionProcessorThre...e8-9764-d3dab204530b-1-16 |  1254000 |   431000 |   519493452 |  16439982941 |     11264 |      0 |  1176156071 |      0 |      0 |         0 
 91610 Thread 31 - PartitionProcessorThre...e8-9764-d3dab204530b-1-17 |  1255000 |   446000 |   522785800 |  16596214324 |     24576 |      0 |  1398285713 |      0 |      0 |         0 
 91611 Thread 32 - PartitionProcessorThre...e8-9764-d3dab204530b-1-18 |  1313000 |   401000 |   528713683 |  16724077730 |         0 |      0 |  1432739665 |      0 |      0 |         0 
 91612 Thread 33 - PartitionProcessorThre...e8-9764-d3dab204530b-1-19 |  1293000 |   466000 |   542122612 |  17162289480 |         0 |      0 |  1473546164 |      0 |      0 |         0 
 91613 Thread 34 - PartitionProcessorThre...9e8-9764-d3dab204530b-0-0 |  1429000 |   482000 |   589853503 |  18647122624 |         0 |      0 |  1496991806 |      0 |      0 |         0 
 91614 Thread 35 - PartitionProcessorThre...9e8-9764-d3dab204530b-0-1 |  1274000 |   482000 |   541248999 |  17135267308 |         0 |      0 |  1397532906 |      0 |      0 |         0 
