                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 88963 Thread 1 - main                                                |   614000 |    77000 |    42537557 |   5240544259 |  21203968 |   1024 |     4448015 |       0 |      0 |         0 
 88985 Thread 2 - Reference Handler                                   |     7000 |        0 |      911488 |     56498292 |         0 |      0 |     2060965 |       0 |      0 |         0 
 88986 Thread 3 - Finalizer                                           |     8000 |     2000 |      891652 |     76400867 |      5120 |      0 |     2390929 |       0 |      0 |         0 
 88987 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       30023 |      7227285 |         0 |      0 |           0 |       0 |      0 |         0 
 88988 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        8305 |       0 |      0 |         0 
 88996 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27385000 | 29701000 | 16458050598 | 555721316832 | 585443328 | 129024 | 16823180103 |   84205 |      0 |         0 
 88998 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   211000 |    47000 |    73820042 |   2507910854 |   6218752 |   5120 |    25613828 |  283710 |      0 |         0 
 89001 Thread 14 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-0 |  1223000 |   439000 |   478459164 |  16206721386 |     34816 |      0 |  1419502925 |       0 |      0 |         0 
 89002 Thread 15 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-1 |  1240000 |   429000 |   478665258 |  16273158734 |    117760 |      0 |  1404700865 |       0 |      0 |         0 
 89003 Thread 16 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-2 |  1178000 |   419000 |   459288329 |  15564832578 |      6144 |      0 |  1376182793 |       0 |      0 |         0 
 89004 Thread 17 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-3 |  1207000 |   423000 |   469903543 |  15899870164 |         0 |      0 |  1469956173 |       0 |      0 |         0 
 89005 Thread 18 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-4 |  1227000 |   411000 |   470969024 |  15976529551 |         0 |      0 |  1328785729 |       0 |      0 |         0 
 89006 Thread 19 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-5 |  1159000 |   414000 |   453584399 |  15339988910 |         0 |      0 |  1334896200 |       0 |      0 |         0 
 89007 Thread 20 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-6 |  1194000 |   411000 |   462089375 |  15650359531 |         0 |      0 |  1464288908 |       0 |      0 |         0 
 89008 Thread 21 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-7 |  1202000 |   386000 |   456422032 |  15490670551 |         0 |      0 |  1439281454 |       0 |      0 |         0 
 89009 Thread 22 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-8 |  1175000 |   409000 |   455475426 |  15450611359 |         0 |      0 |  1261785007 |       0 |      0 |         0 
 89010 Thread 23 - PartitionProcessorThre...9cc-bf6b-11084eae69c0-1-9 |  1146000 |   432000 |   455190434 |  15392417578 |         0 |      0 |  1483964994 |       0 |      0 |         0 
 89011 Thread 24 - PartitionProcessorThre...cc-bf6b-11084eae69c0-1-10 |  1250000 |   420000 |   481779879 |  16290435558 |         0 |      0 |  1336930671 |       0 |      0 |         0 
 89012 Thread 25 - PartitionProcessorThre...cc-bf6b-11084eae69c0-1-11 |  1166000 |   411000 |   455107165 |  15383836437 |         0 |      0 |  1479049864 |       0 |      0 |         0 
 89013 Thread 26 - PartitionProcessorThre...cc-bf6b-11084eae69c0-1-12 |  1183000 |   388000 |   451276555 |  15324700105 |         0 |      0 |  1488480027 |       0 |      0 |         0 
 89014 Thread 27 - PartitionProcessorThre...cc-bf6b-11084eae69c0-1-13 |  1119000 |   422000 |   443750516 |  15031094801 |         0 |      0 |  1561653114 |       0 |      0 |         0 
