                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 80936 Thread 1 - main                                                |   549000 |    80000 |    37690823 |   4768857342 |  21055488 |   1024 |     2898480 |       0 |      0 |         0 
 80958 Thread 2 - Reference Handler                                   |     6000 |     1000 |      640464 |     53601535 |         0 |      0 |     2511169 |       0 |      0 |         0 
 80959 Thread 3 - Finalizer                                           |     4000 |     1000 |      406335 |     37993390 |      5120 |      0 |     3085380 |       0 |      0 |         0 
 80960 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |       30011 |      7163285 |         0 |      0 |        4766 |       0 |      0 |         0 
 80961 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      304425 |      9755031 |         0 |      0 |           0 |       0 |      0 |         0 
 80971 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29494000 | 32718000 | 18799074705 | 605846885797 | 637158400 | 128000 | 19632881178 | 4922161 |      0 |         0 
 80972 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   158000 |    47000 |    60951730 |   1996366589 |   5997568 |   4096 |    43431129 |  237500 |      0 |         0 
 80976 Thread 14 - PartitionProcessorThre...53c-af36-8563c21ec8ca-2-0 |  1317000 |   477000 |   538363554 |  17481753110 |     33792 |      0 |  1581182017 |       0 |      0 |         0 
 80977 Thread 15 - PartitionProcessorThre...53c-af36-8563c21ec8ca-2-1 |  1337000 |   472000 |   543154472 |  17633982008 |    124928 |      0 |  1555364501 |       0 |      0 |         0 
 80978 Thread 16 - PartitionProcessorThre...53c-af36-8563c21ec8ca-2-2 |  1267000 |   478000 |   527237207 |  17025182149 |         0 |      0 |  1661276201 |       0 |      0 |         0 
 80979 Thread 17 - PartitionProcessorThre...53c-af36-8563c21ec8ca-2-3 |  1346000 |   450000 |   542875191 |  17525370793 |         0 |      0 |  1489436871 |       0 |      0 |         0 
 80980 Thread 18 - PartitionProcessorThre...53c-af36-8563c21ec8ca-2-4 |  1229000 |   463000 |   510344891 |  16509580461 |         0 |      0 |  1368216636 |       0 |      0 |         0 
 80981 Thread 19 - PartitionProcessorThre...53c-af36-8563c21ec8ca-2-5 |  1289000 |   436000 |   520034433 |  16828073899 |         0 |      0 |  1437828582 |       0 |      0 |         0 
 80982 Thread 20 - PartitionProcessorThre...53c-af36-8563c21ec8ca-2-6 |  1233000 |   434000 |   504621676 |  16266509375 |         0 |      0 |  1331841377 |       0 |      0 |         0 
 80983 Thread 21 - PartitionProcessorThre...53c-af36-8563c21ec8ca-2-7 |  1212000 |   434000 |   495971777 |  16060912286 |         0 |      0 |  1534882061 |       0 |      0 |         0 
 80984 Thread 22 - PartitionProcessorThre...53c-af36-8563c21ec8ca-2-8 |  1306000 |   432000 |   525874090 |  16957909102 |         0 |      0 |  1371302715 |       0 |      0 |         0 
