                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 78359 Thread 1 - main                                                |   566000 |    94000 |    39465166 |   4985664607 |  21055488 |   1024 |     3333014 |      0 |      0 |         0 
 78381 Thread 2 - Reference Handler                                   |     7000 |        0 |      839746 |     56220222 |         0 |      0 |      976821 |      0 |      0 |         0 
 78382 Thread 3 - Finalizer                                           |     8000 |        0 |      837085 |     63143332 |      5120 |      0 |      961529 |      0 |      0 |         0 
 78384 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 78385 Thread 5 - Signal Dispatcher                                   |     1000 |     1000 |      367953 |     17013527 |         0 |      0 |           0 |      0 |      0 |         0 
 78393 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26678000 | 29080000 | 17131318176 | 542671565062 | 585877504 | 130048 | 17067495171 | 160356 |      0 |         0 
 78394 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   169000 |    54000 |    67566984 |   2167314351 |   5988352 |   5120 |    21119147 | 429604 |      0 |         0 
 78434 Thread 14 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-0 |  1239000 |   416000 |   506471458 |  16104555059 |    159744 |      0 |  1518394449 |      0 |      0 |         0 
 78435 Thread 15 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-1 |  1175000 |   408000 |   485936204 |  15439013606 |         0 |      0 |  1438083224 |      0 |      0 |         0 
 78436 Thread 16 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-2 |  1199000 |   390000 |   489344841 |  15500209751 |         0 |      0 |  1455883514 |      0 |      0 |         0 
 78437 Thread 17 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-3 |  1227000 |   403000 |   501896012 |  15897335497 |         0 |      0 |  1415473501 |      0 |      0 |         0 
 78441 Thread 18 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-4 |  1195000 |   384000 |   488305770 |  15401414665 |         0 |      0 |  1470391927 |      0 |      0 |         0 
 78442 Thread 19 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-5 |  1200000 |   374000 |   485023915 |  15354426251 |         0 |      0 |  1536752178 |      0 |      0 |         0 
 78448 Thread 20 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-6 |  1256000 |   383000 |   505102282 |  15988203301 |         0 |      0 |  1349657151 |      0 |      0 |         0 
 78450 Thread 21 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-7 |  1190000 |   450000 |   503376036 |  15998560286 |  10831872 |      0 |  1446045952 |      0 |      0 |         0 
 78451 Thread 22 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-8 |  1191000 |   410000 |   492613161 |  15616139110 |         0 |      0 |  1436577999 |      0 |      0 |         0 
 78452 Thread 23 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-1-9 |  1145000 |   406000 |   477507286 |  15130099614 |         0 |      0 |  1391661399 |      0 |      0 |         0 
 78453 Thread 24 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-10 |  1199000 |   392000 |   490231716 |  15519617208 |         0 |      0 |  1324986454 |      0 |      0 |         0 
 78456 Thread 25 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-11 |  1185000 |   406000 |   487747540 |  15519905766 |         0 |      0 |  1416750531 |      0 |      0 |         0 
 78457 Thread 26 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-12 |  1173000 |   427000 |   492682470 |  15607631130 |         0 |      0 |  1265058807 |      0 |      0 |         0 
 78460 Thread 27 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-13 |  1107000 |   361000 |   454717923 |  14319772782 |         0 |      0 |  1424641393 |      0 |      0 |         0 
 78461 Thread 28 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-14 |  1240000 |   428000 |   514029454 |  16270733606 |         0 |      0 |  1423939026 |      0 |      0 |         0 
 78462 Thread 29 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-15 |  1220000 |   387000 |   495175731 |  15671286309 |     43008 |      0 |  1390493984 |      0 |      0 |         0 
 78463 Thread 30 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-16 |  1168000 |   394000 |   481736017 |  15232581774 |         0 |      0 |  1475686385 |      0 |      0 |         0 
 78470 Thread 31 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-17 |  1200000 |   394000 |   492842282 |  15549686411 |         0 |      0 |  1462316247 |      0 |      0 |         0 
 78471 Thread 32 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-18 |  1153000 |   360000 |   466995661 |  14760006669 |         0 |      0 |  1267418679 |      0 |      0 |         0 
 78473 Thread 33 - PartitionProcessorThre...af-bf2f-fd1564331cb3-1-19 |  1184000 |   365000 |   477784884 |  15110589485 |         0 |      0 |  1349125097 |      0 |      0 |         0 
 78486 Thread 34 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-0 |  1203000 |   406000 |   495655962 |  15695814684 |         0 |      0 |  1387689423 |      0 |      0 |         0 
 78487 Thread 35 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-1 |  1151000 |   414000 |   482291786 |  15267016528 |         0 |      0 |  1519097176 |      0 |      0 |         0 
 78488 Thread 36 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-2 |  1190000 |   393000 |   488554036 |  15442580798 |         0 |      0 |  1395926548 |      0 |      0 |         0 
 78489 Thread 37 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-3 |  1276000 |   391000 |   514161899 |  16261677258 |         0 |      0 |  1326039829 |      0 |      0 |         0 
 78490 Thread 38 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-4 |  1163000 |   405000 |   483186017 |  15295774977 |         0 |      0 |  1285946778 |      0 |      0 |         0 
 78491 Thread 39 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-5 |  1208000 |   400000 |   495318040 |  15686499051 |         0 |      0 |  1434551775 |      0 |      0 |         0 
 78492 Thread 40 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-6 |  1100000 |   400000 |   463933478 |  14633343282 |         0 |      0 |  1450669452 |      0 |      0 |         0 
 78498 Thread 41 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-7 |  1158000 |   426000 |   489617177 |  15452642454 |         0 |      0 |  1344715912 |      0 |      0 |         0 
 78499 Thread 42 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-8 |  1256000 |   402000 |   512170821 |  16174341305 |      3072 |      0 |  1464935058 |      0 |      0 |         0 
 78500 Thread 43 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-0-9 |  1217000 |   415000 |   503520036 |  15920677180 |         0 |      0 |  1441142936 |      0 |      0 |         0 
 78502 Thread 44 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-10 |  1271000 |   413000 |   519178290 |  16428093231 |         0 |      0 |  1463284392 |      0 |      0 |         0 
 78503 Thread 45 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-11 |  1289000 |   439000 |   534370899 |  16857582020 |      9216 |      0 |  1664720040 |      0 |      0 |         0 
 78508 Thread 46 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-12 |  1212000 |   405000 |   499798161 |  15774391161 |         0 |      0 |  1562240979 |      0 |      0 |         0 
 78510 Thread 47 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-13 |  1201000 |   385000 |   489111493 |  15471798516 |         0 |      0 |  1286757876 |      0 |      0 |         0 
 78511 Thread 48 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-14 |  1222000 |   402000 |   500386817 |  15842981762 |         0 |      0 |  1364303174 |      0 |      0 |         0 
 78512 Thread 49 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-15 |  1155000 |   416000 |   485795403 |  15325480735 |         0 |      0 |  1285350769 |      0 |      0 |         0 
 78513 Thread 50 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-16 |  1193000 |   432000 |   502272942 |  15852554395 |         0 |      0 |  1276097256 |      0 |      0 |         0 
 78514 Thread 51 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-17 |  1161000 |   406000 |   484873497 |  15286704985 |         0 |      0 |  1285492602 |      0 |      0 |         0 
 78515 Thread 52 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-18 |  1232000 |   413000 |   507444321 |  16047202915 |         0 |      0 |  1305468393 |      0 |      0 |         0 
 78517 Thread 53 - PartitionProcessorThre...af-bf2f-fd1564331cb3-0-19 |  1181000 |   386000 |   483235829 |  15286659798 |         0 |      0 |  1573947973 |      0 |      0 |         0 
 78519 Thread 54 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-0 |  1238000 |   392000 |   505451489 |  15901403567 |         0 |      0 |  1214845608 |      0 |      0 |         0 
 78520 Thread 55 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-1 |  1253000 |   425000 |   518584466 |  16369868344 |         0 |      0 |  1503393140 |      0 |      0 |         0 
 78521 Thread 56 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-2 |  1174000 |   431000 |   497878427 |  15657367415 |         0 |      0 |  1547995562 |      0 |      0 |         0 
 78522 Thread 57 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-3 |  1146000 |   425000 |   485511302 |  15326209051 |         0 |      0 |  1580626870 |      0 |      0 |         0 
 78523 Thread 58 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-4 |  1139000 |   389000 |   472893048 |  14906253153 |         0 |      0 |  1450262511 |      0 |      0 |         0 
 78524 Thread 59 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-5 |  1131000 |   409000 |   475871403 |  15023443930 |         0 |      0 |  1327068583 |      0 |      0 |         0 
 78525 Thread 60 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-6 |  1151000 |   432000 |   491274200 |  15442904090 |         0 |      0 |  1446578062 |      0 |      0 |         0 
 78526 Thread 61 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-7 |  1249000 |   405000 |   510366727 |  16135631723 |         0 |      0 |  1426138753 |      0 |      0 |         0 
 78527 Thread 62 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-8 |  1165000 |   360000 |   472487845 |  14877506915 |         0 |      0 |  1327765952 |      0 |      0 |         0 
 78528 Thread 63 - PartitionProcessorThre...faf-bf2f-fd1564331cb3-2-9 |  1229000 |   383000 |   497273657 |  15725557672 |      1024 |      0 |  1353963340 |      0 |      0 |         0 
 78529 Thread 64 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-10 |  1257000 |   410000 |   516949591 |  16262821458 |         0 |      0 |  1500917440 |      0 |      0 |         0 
 78530 Thread 65 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-11 |  1184000 |   442000 |   502960946 |  15862230555 |         0 |      0 |  1313122138 |      0 |      0 |         0 
 78531 Thread 66 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-12 |  1126000 |   435000 |   483277677 |  15228501079 |         0 |      0 |  1541669765 |      0 |      0 |         0 
 78532 Thread 67 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-13 |  1164000 |   442000 |   496402587 |  15667443981 |         0 |      0 |  1295011752 |      0 |      0 |         0 
 78534 Thread 68 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-14 |  1174000 |   389000 |   483297399 |  15247874723 |         0 |      0 |  1210479258 |      0 |      0 |         0 
 78535 Thread 69 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-15 |  1201000 |   437000 |   506466684 |  15979604157 |         0 |      0 |  1461946872 |      0 |      0 |         0 
 78536 Thread 70 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-16 |  1152000 |   433000 |   490874087 |  15462549923 |         0 |      0 |  1470792025 |      0 |      0 |         0 
 78537 Thread 71 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-17 |  1126000 |   381000 |   467068345 |  14701812153 |         0 |      0 |  1446580139 |      0 |      0 |         0 
 78538 Thread 72 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-18 |  1195000 |   376000 |   487737341 |  15325624360 |         0 |      0 |  1345479626 |      0 |      0 |         0 
 78539 Thread 73 - PartitionProcessorThre...af-bf2f-fd1564331cb3-2-19 |  1198000 |   452000 |   510142454 |  16096598567 |         0 |      0 |  1338583976 |      0 |      0 |         0 
 78856 Thread 74 - process reaper                                     |     3000 |     1000 |     1328253 |     39143226 |      2048 |      0 |       11216 |      0 |      0 |         0 
 78862 Thread 75 - Attach Listener                                    |   364000 |    93000 |   145921112 |   4465930499 |   5304320 | 136192 |     3264384 |      0 |      0 |         0 
