                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 101909 Thread 1 - main                                                |   606000 |    65000 |    41749311 |   5090799353 |  21203968 |   1024 |     4355371 |       0 |      0 |         0 
 101931 Thread 2 - Reference Handler                                   |     5000 |        0 |      522785 |     38906894 |         0 |      0 |      440446 |       0 |      0 |         0 
 101932 Thread 3 - Finalizer                                           |     7000 |        0 |      637902 |     53666585 |      5120 |      0 |      425952 |       0 |      0 |         0 
 101933 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       13492 |       0 |      0 |         0 
 101934 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 101944 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29051000 | 32551000 | 18495442125 | 599910973232 | 636553216 | 120832 | 18132371171 |   91290 |      0 |         0 
 101945 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   181000 |    50000 |    68035706 |   2244237085 |   6457344 |   4096 |    23792149 |  151898 |      0 |         0 
 101948 Thread 14 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-0 |  1277000 |   443000 |   512400051 |  16766311437 |     36864 |      0 |  1647580903 |       0 |      0 |         0 
 101949 Thread 15 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-1 |  1403000 |   464000 |   559350996 |  18214626827 |         0 |      0 |  1708031586 |       0 |      0 |         0 
 101950 Thread 16 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-2 |  1356000 |   455000 |   543208727 |  17663435909 |         0 |      0 |  1621259385 |       0 |      0 |         0 
 101951 Thread 17 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-3 |  1381000 |   463000 |   551626363 |  17982311761 |    121856 |      0 |  1355764303 |       0 |      0 |         0 
 101952 Thread 18 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-4 |  1322000 |   439000 |   526420094 |  17172182015 |      3072 |      0 |  1537662314 |       0 |      0 |         0 
 101953 Thread 19 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-5 |  1325000 |   456000 |   532012340 |  17370937046 |      7168 |      0 |  1602107192 |       0 |      0 |         0 
 101954 Thread 20 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-6 |  1257000 |   446000 |   510710430 |  16614779988 |         0 |      0 |  1493244052 |       0 |      0 |         0 
 101955 Thread 21 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-7 |  1272000 |   411000 |   504736289 |  16421759449 |         0 |      0 |  1356377603 |       0 |      0 |         0 
 101956 Thread 22 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-8 |  1326000 |   462000 |   535693274 |  17443803476 |         0 |      0 |  1351665786 |       0 |      0 |         0 
 101957 Thread 23 - PartitionProcessorThre...d55-ae55-31387d1437b4-0-9 |  1337000 |   444000 |   533593481 |  17373508753 |         0 |      0 |  1531632608 |       0 |      0 |         0 
 101958 Thread 24 - PartitionProcessorThre...55-ae55-31387d1437b4-0-10 |  1347000 |   439000 |   535387699 |  17424099800 |         0 |      0 |  1768325164 |       0 |      0 |         0 
 101959 Thread 25 - PartitionProcessorThre...55-ae55-31387d1437b4-0-11 |  1274000 |   462000 |   519850992 |  16936293105 |         0 |      0 |  1484264271 |       0 |      0 |         0 
 101960 Thread 26 - PartitionProcessorThre...55-ae55-31387d1437b4-0-12 |  1413000 |   429000 |   553739797 |  17973281823 |      1024 |      0 |  1753441211 |       0 |      0 |         0 
 101961 Thread 27 - PartitionProcessorThre...55-ae55-31387d1437b4-0-13 |  1316000 |   442000 |   526341012 |  17151958992 |         0 |      0 |  1671151902 |       0 |      0 |         0 
