                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 99559 Thread 1 - main                                                |   640000 |    83000 |    44853182 |   5472306287 |  21194752 |   1024 |     3977417 |       0 |      0 |         0 
 99582 Thread 2 - Reference Handler                                   |     7000 |        0 |      797632 |     55517816 |         0 |      0 |     1026635 |       0 |      0 |         0 
 99583 Thread 3 - Finalizer                                           |     6000 |        0 |      680304 |     47746238 |     13312 |      0 |     3360959 |       0 |      0 |         0 
 99584 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 99585 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      320046 |      9755039 |         0 |      0 |           0 |       0 |      0 |         0 
 99595 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26002000 | 28809000 | 17155971457 | 533512109037 | 586290176 | 128000 | 16490006556 |   32135 |      0 |         0 
 99596 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   185000 |    45000 |    71132304 |   2234671222 |   5373952 |   4096 |    21650321 |  333234 |      0 |         0 
 99599 Thread 14 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-0 |  1269000 |   430000 |   528171777 |  16554825148 |     33792 |      0 |  1491006453 |       0 |      0 |         0 
 99600 Thread 15 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-1 |  1304000 |   427000 |   538823336 |  16879008980 |    121856 |      0 |  1465287690 |       0 |      0 |         0 
 99601 Thread 16 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-2 |  1171000 |   412000 |   493849903 |  15436088578 |         0 |      0 |  1527726877 |       0 |      0 |         0 
 99602 Thread 17 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-3 |  1174000 |   425000 |   499492856 |  15594449855 |      1024 |      0 |  1352974669 |       0 |      0 |         0 
 99603 Thread 18 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-4 |  1220000 |   369000 |   494596293 |  15498477859 |         0 |      0 |  1664277316 |       0 |      0 |         0 
 99604 Thread 19 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-5 |  1217000 |   405000 |   504205555 |  15819159988 |      3072 |      0 |  1427499344 |       0 |      0 |         0 
 99605 Thread 20 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-6 |  1272000 |   362000 |   508781449 |  15938448945 |         0 |      0 |  1490179547 |       0 |      0 |         0 
 99606 Thread 21 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-7 |  1200000 |   411000 |   504714465 |  15714504000 |         0 |      0 |  1267540872 | 1042423 |      0 |         0 
 99607 Thread 22 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-8 |  1238000 |   394000 |   508091309 |  15913538144 |         0 |      0 |  1393417942 |       0 |      0 |         0 
 99608 Thread 23 - PartitionProcessorThre...55a-a182-3ccbc719c3fc-1-9 |  1194000 |   418000 |   501416836 |  15725783832 |         0 |      0 |  1494024554 |       0 |      0 |         0 
 99609 Thread 24 - PartitionProcessorThre...5a-a182-3ccbc719c3fc-1-10 |  1215000 |   404000 |   506629805 |  15794167922 |         0 |      0 |  1467922342 |       0 |      0 |         0 
 99610 Thread 25 - PartitionProcessorThre...5a-a182-3ccbc719c3fc-1-11 |  1223000 |   392000 |   503372028 |  15755023535 |         0 |      0 |  1296914695 |       0 |      0 |         0 
 99611 Thread 26 - PartitionProcessorThre...5a-a182-3ccbc719c3fc-1-12 |  1178000 |   394000 |   490842004 |  15335661473 |         0 |      0 |  1375735439 |       0 |      0 |         0 
