                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 81844 Thread 1 - main                                                |   565000 |    75000 |    38860936 |   4857275463 |  21054464 |   1024 |     3728428 |      0 |      0 |         0 
 81866 Thread 2 - Reference Handler                                   |     6000 |        0 |      574007 |     46467414 |         0 |      0 |      152338 |      0 |      0 |         0 
 81867 Thread 3 - Finalizer                                           |     6000 |        0 |      515191 |     45829964 |      5120 |      0 |      921722 |      0 |      0 |         0 
 81868 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       16621 |      0 |      0 |         0 
 81869 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       30023 |      7228289 |         0 |      0 |        7464 |      0 |      0 |         0 
 81879 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29056000 | 32761000 | 18885920122 | 601907238271 | 636944384 | 125952 | 19450273162 | 203500 |      0 |         0 
 81881 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   189000 |    47000 |    71583394 |   2298633019 |   6201344 |   4096 |    23347201 | 423206 |      0 |         0 
 81884 Thread 14 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-0 |  1290000 |   492000 |   538969434 |  17369900957 |    156672 |      0 |  1362465325 |      0 |      0 |         0 
 81885 Thread 15 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-1 |  1230000 |   447000 |   512573242 |  16362190043 |         0 |      0 |  1560812206 |      0 |      0 |         0 
 81886 Thread 16 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-2 |  1283000 |   460000 |   532141148 |  17007155266 |         0 |      0 |  1729411019 |      0 |      0 |         0 
 81887 Thread 17 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-3 |  1247000 |   487000 |   530252824 |  16920420739 |         0 |      0 |  1552496858 |      0 |      0 |         0 
 81888 Thread 18 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-4 |  1206000 |   441000 |   502428531 |  16067851352 |     28672 |      0 |  1458040873 |      0 |      0 |         0 
 81889 Thread 19 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-5 |  1192000 |   433000 |   495787473 |  15856360481 |         0 |      0 |  1447779349 |      0 |      0 |         0 
 81890 Thread 20 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-6 |  1307000 |   448000 |   538125906 |  17124827555 |      3072 |      0 |  1546162402 |      0 |      0 |         0 
 81891 Thread 21 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-7 |  1281000 |   497000 |   544068773 |  17347471782 |         0 |      0 |  1464447243 |      0 |      0 |         0 
 81892 Thread 22 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-8 |  1279000 |   449000 |   528227516 |  16860282973 |     12288 |      0 |  1688369225 |      0 |      0 |         0 
 81893 Thread 23 - PartitionProcessorThre...545-aa62-e5389868bcaa-1-9 |  1286000 |   479000 |   541205277 |  17221601840 |      1024 |      0 |  1552076934 |      0 |      0 |         0 
 81894 Thread 24 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-10 |  1276000 |   506000 |   546437484 |  17387410106 |         0 |      0 |  1462918623 |      0 |      0 |         0 
 81895 Thread 25 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-11 |  1213000 |   461000 |   512458500 |  16334822774 |         0 |      0 |  1329279366 |      0 |      0 |         0 
 81896 Thread 26 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-12 |  1285000 |   443000 |   527635004 |  16859591004 |         0 |      0 |  1300395589 |      0 |      0 |         0 
 81897 Thread 27 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-13 |  1249000 |   440000 |   516211606 |  16479277110 |      3072 |      0 |  1311436119 |      0 |      0 |         0 
 81898 Thread 28 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-14 |  1266000 |   447000 |   523112274 |  16714938266 |         0 |      0 |  1190459668 |      0 |      0 |         0 
 81899 Thread 29 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-15 |  1315000 |   461000 |   545250363 |  17328826239 |         0 |      0 |  1489516743 |      0 |      0 |         0 
 81900 Thread 30 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-16 |  1322000 |   465000 |   546615754 |  17437190325 |         0 |      0 |  1531388211 |      0 |      0 |         0 
 81901 Thread 31 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-17 |  1275000 |   491000 |   538937645 |  17232629926 |         0 |      0 |  1396680847 |      0 |      0 |         0 
 81902 Thread 32 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-18 |  1229000 |   449000 |   514461641 |  16373741668 |         0 |      0 |  1437864138 |      0 |      0 |         0 
 81903 Thread 33 - PartitionProcessorThre...45-aa62-e5389868bcaa-1-19 |  1180000 |   424000 |   490806036 |  15650048497 |      1024 |      0 |  1536430244 |      0 |      0 |         0 
 81904 Thread 34 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-0 |  1291000 |   488000 |   544827832 |  17358076700 |         0 |      0 |  1419880940 |      0 |      0 |         0 
 81905 Thread 35 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-1 |  1214000 |   438000 |   505053332 |  16118774219 |         0 |      0 |  1611251069 |      0 |      0 |         0 
 81906 Thread 36 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-2 |  1283000 |   452000 |   531254223 |  16929390989 |         0 |      0 |  1541006944 |      0 |      0 |         0 
 81907 Thread 37 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-3 |  1270000 |   415000 |   514234047 |  16441173715 |         0 |      0 |  1316438297 |      0 |      0 |         0 
 81908 Thread 38 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-4 |  1285000 |   447000 |   530177793 |  16899698371 |         0 |      0 |  1475300007 |      0 |      0 |         0 
 81909 Thread 39 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-5 |  1358000 |   457000 |   555858719 |  17710161387 |         0 |      0 |  1609108417 |      0 |      0 |         0 
 81910 Thread 40 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-6 |  1354000 |   417000 |   542660164 |  17280889950 |         0 |      0 |  1389103406 |      0 |      0 |         0 
 81911 Thread 41 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-7 |  1244000 |   458000 |   522508871 |  16607659707 |         0 |      0 |  1298073974 |      0 |      0 |         0 
 81912 Thread 42 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-8 |  1333000 |   457000 |   547241363 |  17466004860 |         0 |      0 |  1350343908 |      0 |      0 |         0 
 81913 Thread 43 - PartitionProcessorThre...545-aa62-e5389868bcaa-2-9 |  1299000 |   483000 |   545356898 |  17388145594 |         0 |      0 |  1385019426 |      0 |      0 |         0 
 81914 Thread 44 - PartitionProcessorThre...45-aa62-e5389868bcaa-2-10 |  1364000 |   439000 |   551506918 |  17593048883 |         0 |      0 |  1266233509 |      0 |      0 |         0 
 81915 Thread 45 - PartitionProcessorThre...45-aa62-e5389868bcaa-2-11 |  1335000 |   472000 |   554068707 |  17632386789 |         0 |      0 |  1633476319 |      0 |      0 |         0 
 81916 Thread 46 - PartitionProcessorThre...45-aa62-e5389868bcaa-2-12 |  1345000 |   490000 |   564192754 |  17906218067 |         0 |      0 |  1638581001 |      0 |      0 |         0 
 81917 Thread 47 - PartitionProcessorThre...45-aa62-e5389868bcaa-2-13 |  1359000 |   439000 |   551633207 |  17544549000 |         0 |      0 |  1330694157 |      0 |      0 |         0 
 81918 Thread 48 - PartitionProcessorThre...45-aa62-e5389868bcaa-2-14 |  1243000 |   486000 |   530737949 |  16871822153 |         0 |      0 |  1488427517 |      0 |      0 |         0 
 81919 Thread 49 - PartitionProcessorThre...45-aa62-e5389868bcaa-2-15 |  1228000 |   420000 |   506885184 |  16081620473 |         0 |      0 |  1485562295 |      0 |      0 |         0 
 81920 Thread 50 - PartitionProcessorThre...45-aa62-e5389868bcaa-2-16 |  1192000 |   505000 |   521107551 |  16559429844 |         0 |      0 |  1618360056 |      0 |      0 |         0 
 81921 Thread 51 - PartitionProcessorThre...45-aa62-e5389868bcaa-2-17 |  1262000 |   468000 |   532228332 |  16881735567 |         0 |      0 |  1682099985 |      0 |      0 |         0 
 81922 Thread 52 - PartitionProcessorThre...45-aa62-e5389868bcaa-2-18 |  1331000 |   475000 |   554503484 |  17622591535 |         0 |      0 |  1640152575 |      0 |      0 |         0 
