                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 79470 Thread 1 - main                                                |   589000 |    81000 |    41340103 |   5090427791 |  21046272 |   1024 |     7603960 |       0 |      0 |         0 
 79492 Thread 2 - Reference Handler                                   |     7000 |        0 |      865609 |     56358230 |         0 |      0 |      104500 |       0 |      0 |         0 
 79493 Thread 3 - Finalizer                                           |     7000 |     1000 |      652996 |     60727656 |     13312 |      0 |     2928734 |       0 |      0 |         0 
 79494 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 79495 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       16899 |       0 |      0 |         0 
 79505 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26723000 | 29326000 | 17023075685 | 545519867660 | 585211904 | 124928 | 17580202918 |  165273 |      0 |         0 
 79506 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   185000 |    42000 |    69157409 |   2210702644 |   6656000 |   4096 |    39684047 |  933185 |      0 |         0 
 79509 Thread 14 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-0 |  1149000 |   388000 |   462579392 |  14971149591 |      3072 |      0 |  1553392942 |       0 |      0 |         0 
 79510 Thread 15 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-1 |  1195000 |   379000 |   475060103 |  15338106102 |     36864 |      0 |  1548778236 |       0 |      0 |         0 
 79511 Thread 16 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-2 |  1179000 |   394000 |   475794150 |  15337637934 |         0 |      0 |  1476369286 |       0 |      0 |         0 
 79512 Thread 17 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-3 |  1186000 |   449000 |   494915833 |  15941077114 |      4096 |      0 |  1587099391 |       0 |      0 |         0 
 79513 Thread 18 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-4 |  1181000 |   406000 |   480151915 |  15476471415 |      1024 |      0 |  1463082751 | 6055169 |      0 |         0 
 79514 Thread 19 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-5 |  1173000 |   387000 |   472601689 |  15207833942 |    121856 |      0 |  1598140242 |       0 |      0 |         0 
 79515 Thread 20 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-6 |  1217000 |   362000 |   479065454 |  15402323872 |         0 |      0 |  1618530842 |       0 |      0 |         0 
 79516 Thread 21 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-7 |  1169000 |   392000 |   472042849 |  15225731633 |         0 |      0 |  1503517594 |       0 |      0 |         0 
 79517 Thread 22 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-8 |  1232000 |   406000 |   495498384 |  15977689758 |         0 |      0 |  1399362918 |       0 |      0 |         0 
 79518 Thread 23 - PartitionProcessorThre...173-938c-7399c4b25eb4-2-9 |  1157000 |   375000 |   464408974 |  14943619770 |         0 |      0 |  1445766420 |       0 |      0 |         0 
 79519 Thread 24 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-10 |  1153000 |   388000 |   466341423 |  15031199403 |         0 |      0 |  1338730501 |       0 |      0 |         0 
 79520 Thread 25 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-11 |  1155000 |   376000 |   463225622 |  14931925677 |         0 |      0 |  1501763951 |       0 |      0 |         0 
 79521 Thread 26 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-12 |  1188000 |   381000 |   474978939 |  15304951387 |         0 |      0 |  1325497542 |       0 |      0 |         0 
 79522 Thread 27 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-13 |  1150000 |   376000 |   462601568 |  14885502630 |         0 |      0 |  1400310148 |       0 |      0 |         0 
 79523 Thread 28 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-14 |  1230000 |   359000 |   480252298 |  15499967352 |         0 |      0 |  1595650594 |       0 |      0 |         0 
 79524 Thread 29 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-15 |  1198000 |   392000 |   479330544 |  15508050446 |     23552 |      0 |  1617635515 |       0 |      0 |         0 
 79525 Thread 30 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-16 |  1094000 |   405000 |   454473544 |  14621599677 |      3072 |      0 |  1565996679 |       0 |      0 |         0 
 79526 Thread 31 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-17 |  1189000 |   425000 |   487916482 |  15740509243 |      8192 |      0 |  1346220300 |       0 |      0 |         0 
 79527 Thread 32 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-18 |  1208000 |   401000 |   486230825 |  15693865583 |      1024 |      0 |  1505946158 |       0 |      0 |         0 
 79528 Thread 33 - PartitionProcessorThre...73-938c-7399c4b25eb4-2-19 |  1232000 |   396000 |   491572501 |  15880992567 |         0 |      0 |  1573177780 |       0 |      0 |         0 
 79529 Thread 34 - PartitionProcessorThre...173-938c-7399c4b25eb4-0-0 |  1191000 |   392000 |   483369220 |  15442869622 |         0 |      0 |  1464740738 |       0 |      0 |         0 
