                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 20327 Thread 1 - main                                                |   726000 |   109000 |    52117291 |   6389670478 |  22117376 |   1024 |     9110590 |      0 |      0 |         0 
 20349 Thread 2 - Reference Handler                                   |     8000 |        0 |      785910 |     65156292 |         0 |      0 |     2888211 |      0 |      0 |         0 
 20350 Thread 3 - Finalizer                                           |     8000 |        0 |      639148 |     62561054 |      5120 |      0 |      859599 |      0 |      0 |         0 
 20351 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       84200 |      0 |      0 |         0 
 20352 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 20361 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      574257 |     19515039 |      4096 |      0 |       12628 |      0 |      0 |         0 
 20363 Thread 13 - RMI RenewClean-[10.231.182.152:34799]              |     1000 |        0 |       81820 |      7893242 |      1024 |      0 |       11186 |      0 |      0 |         0 
 20364 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 20366 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 32857000 | 34490000 | 19370308643 | 656186823622 | 634976256 | 129024 | 20497724237 | 206906 |      0 |         0 
 20368 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   201000 |    65000 |    76295378 |   2592515979 |   7776256 |   4096 |    65497115 | 297826 |      0 |         0 
 20371 Thread 17 - PartitionProcessorThre...329-844a-0c1a63e26330-2-0 |  1402000 |   414000 |   518682239 |  17709395350 |     32768 |      0 |  1571232235 |      0 |      0 |         0 
 20372 Thread 18 - PartitionProcessorThre...329-844a-0c1a63e26330-2-1 |  1458000 |   484000 |   555365219 |  18950724962 |         0 |      0 |  1812525018 |      0 |      0 |         0 
 20373 Thread 19 - PartitionProcessorThre...329-844a-0c1a63e26330-2-2 |  1418000 |   441000 |   533300606 |  18143905717 |         0 |      0 |  1842494112 |      0 |      0 |         0 
 20374 Thread 20 - PartitionProcessorThre...329-844a-0c1a63e26330-2-3 |  1539000 |   460000 |   572696754 |  19499822037 |      3072 |      0 |  1650618733 |      0 |      0 |         0 
 20375 Thread 21 - PartitionProcessorThre...329-844a-0c1a63e26330-2-4 |  1494000 |   470000 |   560518512 |  19165165384 |    118784 |      0 |  1713578327 |      0 |      0 |         0 
 20376 Thread 22 - PartitionProcessorThre...329-844a-0c1a63e26330-2-5 |  1461000 |   460000 |   551495657 |  18747454412 |         0 |      0 |  1930173239 |      0 |      0 |         0 
