                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 85507 Thread 1 - main                                                |   675000 |   143000 |    49220865 |   6211517374 |  22117376 |      0 |     5438213 |       0 |      0 |         0 
 85529 Thread 2 - Reference Handler                                   |     7000 |     1000 |      756984 |     64332230 |         0 |      0 |     4146358 |       0 |      0 |         0 
 85530 Thread 3 - Finalizer                                           |     5000 |     1000 |      553781 |     47578593 |      5120 |      0 |      779983 |       0 |      0 |         0 
 85531 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 85532 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 85542 Thread 12 - RMI Scheduler(0)                                   |     4000 |        0 |      939187 |     37033808 |      4096 |      0 |       16954 |       0 |      0 |         0 
 85543 Thread 13 - RMI RenewClean-[10.231.182.152:43684]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |       0 |      0 |         0 
 85544 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 85546 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31968000 | 35083000 | 19131998895 | 653263706699 | 635163648 | 121856 | 21578209849 | 2176041 |      0 |         0 
 85548 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   213000 |    54000 |    75240276 |   2602608644 |   7645184 |   4096 |    92308574 |  215222 |      0 |         0 
 85551 Thread 17 - PartitionProcessorThre...981-887c-7a6db88bc8de-0-0 |  1453000 |   442000 |   540131980 |  18487839442 |     32768 |      0 |  1849678079 |       0 |      0 |         0 
 85553 Thread 18 - PartitionProcessorThre...981-887c-7a6db88bc8de-0-1 |  1390000 |   473000 |   530875613 |  18172931965 |    123904 |      0 |  1669874986 |       0 |      0 |         0 
 85554 Thread 19 - PartitionProcessorThre...981-887c-7a6db88bc8de-0-2 |  1437000 |   459000 |   539514621 |  18503902235 |         0 |      0 |  1573208707 |       0 |      0 |         0 
 85555 Thread 20 - PartitionProcessorThre...981-887c-7a6db88bc8de-0-3 |  1455000 |   492000 |   555736011 |  19001773371 |         0 |      0 |  1898308598 |       0 |      0 |         0 
