                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 72479 Thread 1 - main                                                |   805000 |   136000 |    64163990 |   7204091377 |  34338816 |   1024 |     9847037 |      0 |      0 |         0 
 72501 Thread 2 - Reference Handler                                   |     9000 |        0 |     1042585 |     73888246 |         0 |      0 |      496161 |      0 |      0 |         0 
 72502 Thread 3 - Finalizer                                           |    10000 |        0 |     1125773 |     81576359 |      5120 |      0 |      735910 |      0 |      0 |         0 
 72503 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 72504 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        5641 |      0 |      0 |         0 
 72513 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      691480 |     27278332 |      4096 |      0 |      329697 |      0 |      0 |         0 
 72514 Thread 13 - RMI RenewClean-[10.231.182.152:37770]              |        0 |     1000 |       85230 |      7764257 |      1024 |      0 |           0 |      0 |      0 |         0 
 72515 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 72518 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28375000 | 40891000 | 21118773216 | 675210100574 | 624494592 | 137216 | 17410820269 | 113586 |      0 |         0 
 72519 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   257000 |    45000 |    90434882 |   2936480616 |   6432768 |   6144 |    27626197 | 360400 |      0 |         0 
 72523 Thread 17 - PartitionProcessorThre...a80-8615-e16789e855bd-2-0 |  1357000 |   466000 |   555300884 |  17780448007 |     43008 |      0 |  1081337657 |      0 |      0 |         0 
 72524 Thread 18 - PartitionProcessorThre...a80-8615-e16789e855bd-2-1 |  1370000 |   539000 |   582342076 |  18625545643 |         0 |      0 |  1264969192 |      0 |      0 |         0 
 72525 Thread 19 - PartitionProcessorThre...a80-8615-e16789e855bd-2-2 |  1386000 |   504000 |   576745669 |  18441525085 |         0 |      0 |  1171903981 |      0 |      0 |         0 
 72526 Thread 20 - PartitionProcessorThre...a80-8615-e16789e855bd-2-3 |  1360000 |   529000 |   576434501 |  18431585593 |         0 |      0 |  1139523027 |      0 |      0 |         0 
 72527 Thread 21 - PartitionProcessorThre...a80-8615-e16789e855bd-2-4 |  1378000 |   537000 |   584255412 |  18685256815 |         0 |      0 |  1245518726 |      0 |      0 |         0 
 72528 Thread 22 - PartitionProcessorThre...a80-8615-e16789e855bd-2-5 |  1399000 |   482000 |   573839916 |  18353822577 |         0 |      0 |  1105902964 |      0 |      0 |         0 
 72529 Thread 23 - PartitionProcessorThre...a80-8615-e16789e855bd-2-6 |  1344000 |   463000 |   552237154 |  17633174179 |         0 |      0 |  1203742083 |      0 |      0 |         0 
 72530 Thread 24 - PartitionProcessorThre...a80-8615-e16789e855bd-2-7 |  1375000 |   469000 |   563354048 |  17992898433 |         0 |      0 |  1341273892 |      0 |      0 |         0 
 72531 Thread 25 - PartitionProcessorThre...a80-8615-e16789e855bd-2-8 |  1282000 |   556000 |   561409670 |  17934493839 |         0 |      0 |  1126046091 |      0 |      0 |         0 
 72532 Thread 26 - PartitionProcessorThre...a80-8615-e16789e855bd-2-9 |  1309000 |   518000 |   558382564 |  17827493374 |         0 |      0 |  1233627511 |      0 |      0 |         0 
 72533 Thread 27 - PartitionProcessorThre...80-8615-e16789e855bd-2-10 |  1339000 |   483000 |   556310740 |  17778240163 |         0 |      0 |  1065306183 |      0 |      0 |         0 
 72534 Thread 28 - PartitionProcessorThre...80-8615-e16789e855bd-2-11 |  1342000 |   490000 |   559839353 |  17875544077 |         0 |      0 |  1028989119 |      0 |      0 |         0 
 72535 Thread 29 - PartitionProcessorThre...80-8615-e16789e855bd-2-12 |  1467000 |   533000 |   610875154 |  19515358588 |         0 |      0 |  1214157072 |      0 |      0 |         0 
 72536 Thread 30 - PartitionProcessorThre...80-8615-e16789e855bd-2-13 |  1352000 |   514000 |   570401232 |  18208108456 |         0 |      0 |  1212253856 |      0 |      0 |         0 
 72537 Thread 31 - PartitionProcessorThre...80-8615-e16789e855bd-2-14 |  1394000 |   476000 |   569950466 |  18244075655 |         0 |      0 |  1274104244 |      0 |      0 |         0 
 72538 Thread 32 - PartitionProcessorThre...80-8615-e16789e855bd-2-15 |  1406000 |   549000 |   596993880 |  19075228268 |         0 |      0 |  1059890731 |      0 |      0 |         0 
 72539 Thread 33 - PartitionProcessorThre...80-8615-e16789e855bd-2-16 |  1339000 |   499000 |   562942916 |  17935918601 |         0 |      0 |  1013761119 |      0 |      0 |         0 
 72540 Thread 34 - PartitionProcessorThre...80-8615-e16789e855bd-2-17 |  1424000 |   507000 |   590698197 |  18840981253 |         0 |      0 |  1124800468 |      0 |      0 |         0 
 72541 Thread 35 - PartitionProcessorThre...80-8615-e16789e855bd-2-18 |  1354000 |   505000 |   567588380 |  18141066499 |         0 |      0 |  1166823237 |      0 |      0 |         0 
 72542 Thread 36 - PartitionProcessorThre...80-8615-e16789e855bd-2-19 |  1411000 |   491000 |   581947587 |  18560869565 |         0 |      0 |  1213776250 |      0 |      0 |         0 
 72543 Thread 37 - PartitionProcessorThre...a80-8615-e16789e855bd-0-0 |  1342000 |   488000 |   553435337 |  17861317237 |         0 |      0 |  1326761656 |      0 |      0 |         0 
 72544 Thread 38 - PartitionProcessorThre...a80-8615-e16789e855bd-0-1 |  1414000 |   470000 |   571738247 |  18388429468 |         0 |      0 |  1287718176 |      0 |      0 |         0 
 72545 Thread 39 - PartitionProcessorThre...a80-8615-e16789e855bd-0-2 |  1391000 |   488000 |   570517892 |  18340093315 |         0 |      0 |  1244247239 |      0 |      0 |         0 
 72546 Thread 40 - PartitionProcessorThre...a80-8615-e16789e855bd-0-3 |  1469000 |   488000 |   594273771 |  19101393198 |         0 |      0 |  1464342241 |      0 |      0 |         0 
 72547 Thread 41 - PartitionProcessorThre...a80-8615-e16789e855bd-0-4 |  1425000 |   486000 |   578941408 |  18651632280 |         0 |      0 |  1342133794 |      0 |      0 |         0 
 72548 Thread 42 - PartitionProcessorThre...a80-8615-e16789e855bd-0-5 |  1326000 |   537000 |   565637560 |  18183521335 |         0 |      0 |  1330216362 |      0 |      0 |         0 
 72549 Thread 43 - PartitionProcessorThre...a80-8615-e16789e855bd-0-6 |  1439000 |   508000 |   592409302 |  19003863237 |         0 |      0 |  1365401082 |      0 |      0 |         0 
 72550 Thread 44 - PartitionProcessorThre...a80-8615-e16789e855bd-0-7 |  1423000 |   470000 |   573578220 |  18476506429 |         0 |      0 |  1221678669 |      0 |      0 |         0 
 72551 Thread 45 - PartitionProcessorThre...a80-8615-e16789e855bd-0-8 |  1376000 |   511000 |   572841287 |  18417816940 |         0 |      0 |  1019419041 |      0 |      0 |         0 
 72552 Thread 46 - PartitionProcessorThre...a80-8615-e16789e855bd-0-9 |  1395000 |   530000 |   582142482 |  18787794003 |         0 |      0 |  1118080841 |      0 |      0 |         0 
