                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 2418 Thread 1 - main                                                |  1015000 |    88000 |    74494599 |   7768190555 |  14918656 |   1024 |     5836375 |      0 |      0 |         0 
 2425 Thread 2 - Reference Handler                                   |     1000 |        0 |       81714 |      7305496 |         0 |      0 |      136205 |      0 |      0 |         0 
 2426 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       55429 |      0 |      0 |         0 
 2427 Thread 4 - Signal Dispatcher                                   |     1000 |        0 |      350429 |      9887085 |         0 |      0 |       22571 |      0 |      0 |         0 
 2433 Thread 11 - Common-Cleaner                                     |     2000 |        0 |      296144 |     18418359 |         0 |      0 |      475809 |      0 |      0 |         0 
 2439 Thread 13 - RMI Scheduler(0)                                   |     1000 |     1000 |      425671 |     16867410 |      1024 |      0 |       28184 |      0 |      0 |         0 
 2445 Thread 14 - RMI RenewClean-[10.231.182.152:44673]              |     2000 |        0 |      177140 |     14875023 |         0 |      0 |       10823 |      0 |      0 |         0 
 2446 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |      846041 |      0 |      0 |         0 
 2449 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 26243000 | 36375000 | 21692912885 | 618016637107 | 624772096 |  99328 | 15505710581 | 108396 |      0 |         0 
 2453 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   247000 |    27000 |    93272241 |   2697281120 |   5601280 |   4096 |    15193599 | 298509 |      0 |         0 
 2460 Thread 18 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-0 |  1116000 |   442000 |   538769188 |  15366387997 |     36864 |      0 |   936885263 |      0 |      0 |         0 
 2461 Thread 19 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-1 |  1098000 |   433000 |   534347993 |  15134904376 |         0 |      0 |  1076844232 |      0 |      0 |         0 
 2462 Thread 20 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-2 |  1156000 |   441000 |   555546586 |  15778526993 |      1024 |      0 |  1036874982 |      0 |      0 |         0 
 2463 Thread 21 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-3 |  1133000 |   388000 |   529963653 |  15034959540 |         0 |      0 |   952830678 |      0 |      0 |         0 
 2464 Thread 22 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-4 |  1107000 |   402000 |   524638134 |  14912319447 |         0 |      0 |   791450278 |      0 |      0 |         0 
 2465 Thread 23 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-5 |  1159000 |   448000 |   558178040 |  15881042528 |         0 |      0 |   945379006 |      0 |      0 |         0 
 2466 Thread 24 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-6 |  1141000 |   390000 |   534663528 |  15132254025 |         0 |      0 |  1008310344 |      0 |      0 |         0 
 2467 Thread 25 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-7 |  1162000 |   436000 |   554626129 |  15787243989 |         0 |      0 |  1075359865 |      0 |      0 |         0 
 2468 Thread 26 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-8 |  1079000 |   377000 |   506017317 |  14385055712 |         0 |      0 |   707035100 |      0 |      0 |         0 
 2469 Thread 27 - PartitionProcessorThre...606-b899-08f639f5f1b2-0-9 |  1144000 |   390000 |   532966602 |  15160367161 |      8192 |      0 |   898011747 |      0 |      0 |         0 
 2470 Thread 28 - PartitionProcessorThre...06-b899-08f639f5f1b2-0-10 |  1174000 |   431000 |   557007274 |  15862396298 |         0 |      0 |  1042241342 |      0 |      0 |         0 
 2471 Thread 29 - PartitionProcessorThre...06-b899-08f639f5f1b2-0-11 |  1138000 |   472000 |   556608208 |  15910818876 |      3072 |      0 |   998622446 |      0 |      0 |         0 
 2472 Thread 30 - PartitionProcessorThre...06-b899-08f639f5f1b2-0-12 |  1087000 |   401000 |   516424180 |  14708273095 |         0 |      0 |  1157155926 |      0 |      0 |         0 
