                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 163112 Thread 1 - main                                                |  1027000 |   104000 |    77116876 |   7964266329 |  14918656 |   1024 |    11096920 |      0 |      0 |         0 
 163119 Thread 2 - Reference Handler                                   |     1000 |        0 |       81070 |      7305500 |         0 |      0 |      327332 |      0 |      0 |         0 
 163120 Thread 3 - Finalizer                                           |        0 |     1000 |       16882 |      6148687 |      5120 |      0 |       36885 |      0 |      0 |         0 
 163121 Thread 4 - Signal Dispatcher                                   |        0 |     1000 |       17917 |      6378855 |         0 |      0 |       17790 |      0 |      0 |         0 
 163127 Thread 11 - Common-Cleaner                                     |     2000 |     1000 |      513398 |     24164273 |         0 |      0 |      345692 |      0 |      0 |         0 
 163133 Thread 13 - RMI Scheduler(0)                                   |     2000 |        0 |      803718 |     19773648 |      1024 |      0 |      334995 |      0 |      0 |         0 
 163139 Thread 14 - RMI RenewClean-[10.231.182.152:33043]              |     2000 |        0 |      170578 |     14875023 |         0 |      0 |           0 |      0 |      0 |         0 
 163140 Thread 15 - RMI GC Daemon                                      |        0 |     1000 |       81804 |      7437511 |         0 |      0 |      107252 |      0 |      0 |         0 
 163143 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 24216000 | 32165000 | 21763205820 | 556174426366 | 573419520 | 113664 | 13983910347 | 288365 |      0 |         0 
 163147 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   275000 |    51000 |   123603600 |   3206875065 |   5696512 |   5120 |    34435300 | 507249 |      0 |         0 
 163150 Thread 18 - PartitionProcessorThre...4ee-be76-6ac64c08ab08-2-0 |  1038000 |   390000 |   546059149 |  14081321937 |     36864 |      0 |  1315504093 |      0 |      0 |         0 
 163151 Thread 19 - PartitionProcessorThre...4ee-be76-6ac64c08ab08-2-1 |   998000 |   407000 |   542702751 |  13876800492 |         0 |      0 |  1300608074 |      0 |      0 |         0 
 163152 Thread 20 - PartitionProcessorThre...4ee-be76-6ac64c08ab08-2-2 |  1060000 |   389000 |   555040048 |  14302193425 |      8192 |      0 |  1191243165 |      0 |      0 |         0 
 163153 Thread 21 - PartitionProcessorThre...4ee-be76-6ac64c08ab08-2-3 |  1054000 |   384000 |   552699989 |  14199872460 |         0 |      0 |  1234219976 |      0 |      0 |         0 
 163154 Thread 22 - PartitionProcessorThre...4ee-be76-6ac64c08ab08-2-4 |  1079000 |   411000 |   571948602 |  14711996882 |         0 |      0 |  1395435410 |      0 |      0 |         0 
 163155 Thread 23 - PartitionProcessorThre...4ee-be76-6ac64c08ab08-2-5 |   991000 |   402000 |   535713391 |  13751476273 |         0 |      0 |  1076446463 |      0 |      0 |         0 
 163156 Thread 24 - PartitionProcessorThre...4ee-be76-6ac64c08ab08-2-6 |  1068000 |   386000 |   556273173 |  14355121300 |         0 |      0 |  1093965656 |      0 |      0 |         0 
 163157 Thread 25 - PartitionProcessorThre...4ee-be76-6ac64c08ab08-2-7 |  1076000 |   381000 |   557917137 |  14385256148 |         0 |      0 |  1131417784 |      0 |      0 |         0 
 163158 Thread 26 - PartitionProcessorThre...4ee-be76-6ac64c08ab08-2-8 |  1016000 |   413000 |   548192063 |  14111545128 |         0 |      0 |  1202669841 |      0 |      0 |         0 
