                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 128711 Thread 1 - main                                                |   951000 |   176000 |    72843450 |   8590779798 |  34331648 |   1024 |    12974002 |      0 |      0 |         0 
 128733 Thread 2 - Reference Handler                                   |    10000 |        0 |     1263519 |     83398304 |         0 |      0 |      943058 |      0 |      0 |         0 
 128734 Thread 3 - Finalizer                                           |    10000 |        0 |      864230 |     78601749 |     13312 |      0 |     1592284 |      0 |      0 |         0 
 128735 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |      100552 |      0 |      0 |         0 
 128736 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      311570 |      9760765 |         0 |      0 |       92630 |      0 |      0 |         0 
 128750 Thread 12 - RMI Scheduler(0)                                   |     1000 |     1000 |      392667 |     17520792 |      4096 |      0 |       48630 |      0 |      0 |         0 
 128751 Thread 13 - RMI RenewClean-[10.231.182.152:42290]              |     1000 |        0 |       82867 |      7893261 |      1024 |      0 |           0 |      0 |      0 |         0 
 128752 Thread 14 - GC Daemon                                          |        0 |     1000 |       82863 |      7893261 |         0 |      0 |       13359 |      0 |      0 |         0 
 128754 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 25201000 | 34381000 | 18154293816 | 580448387738 | 572530688 | 138240 | 19033338540 | 161136 |      0 |         0 
 128757 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   191000 |    47000 |    70612589 |   2306915565 |   7168000 |   5120 |    49522881 | 366592 |      0 |         0 
 128760 Thread 17 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-0 |  1278000 |   430000 |   515953613 |  16645429581 |     40960 |      0 |  1257440049 |      0 |      0 |         0 
 128761 Thread 18 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-1 |  1263000 |   392000 |   503015577 |  16142694902 |      1024 |      0 |  1136035831 |      0 |      0 |         0 
 128762 Thread 19 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-2 |  1282000 |   382000 |   503418671 |  16226344585 |         0 |      0 |  1452426242 |      0 |      0 |         0 
 128763 Thread 20 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-3 |  1175000 |   430000 |   485546367 |  15648317191 |         0 |      0 |  1168467509 |      0 |      0 |         0 
 128764 Thread 21 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-4 |  1257000 |   401000 |   500700042 |  16166751824 |         0 |      0 |  1120109651 |      0 |      0 |         0 
 128765 Thread 22 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-5 |  1160000 |   433000 |   482167167 |  15536004667 |         0 |      0 |  1108621806 |      0 |      0 |         0 
 128766 Thread 23 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-6 |  1122000 |   428000 |   468535804 |  15116907871 |         0 |      0 |  1229762402 |      0 |      0 |         0 
 128767 Thread 24 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-7 |  1197000 |   402000 |   481223089 |  15589214367 |         0 |      0 |  1198994875 |      0 |      0 |         0 
 128768 Thread 25 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-8 |  1211000 |   380000 |   481957886 |  15514206898 |         0 |      0 |   996576121 |      0 |      0 |         0 
 128769 Thread 26 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-0-9 |  1366000 |   417000 |   540810808 |  17388039085 |         0 |      0 |  1362172640 |      0 |      0 |         0 
 128770 Thread 27 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-10 |  1210000 |   429000 |   495479183 |  15982284120 |         0 |      0 |  1400859044 |      0 |      0 |         0 
 128771 Thread 28 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-11 |  1203000 |   423000 |   493641464 |  15856620890 |         0 |      0 |  1296669198 |      0 |      0 |         0 
 128772 Thread 29 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-12 |  1253000 |   406000 |   498722507 |  16177321261 |         0 |      0 |  1463287516 |      0 |      0 |         0 
 128773 Thread 30 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-13 |  1241000 |   401000 |   495325179 |  16012361550 |         0 |      0 |  1342089748 |      0 |      0 |         0 
 128774 Thread 31 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-14 |  1300000 |   406000 |   513250874 |  16633818030 |         0 |      0 |  1490124698 |      0 |      0 |         0 
 128775 Thread 32 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-15 |  1167000 |   413000 |   475824957 |  15403460402 |         0 |      0 |  1275790756 |      0 |      0 |         0 
 128776 Thread 33 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-16 |  1137000 |   427000 |   473015769 |  15248850449 |         0 |      0 |  1347536244 |      0 |      0 |         0 
 128777 Thread 34 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-17 |  1251000 |   396000 |   500521636 |  16062987831 |         0 |      0 |  1171496151 |      0 |      0 |         0 
 128778 Thread 35 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-18 |  1182000 |   382000 |   474165031 |  15251534261 |         0 |      0 |  1297274431 |      0 |      0 |         0 
 128779 Thread 36 - PartitionProcessorThre...6f-95b9-f5252a2e0a95-0-19 |  1248000 |   414000 |   505466823 |  16210079824 |         0 |      0 |  1308436492 |      0 |      0 |         0 
 128780 Thread 37 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-1-0 |  1190000 |   460000 |   503376019 |  16101077968 |         0 |      0 |  1238519494 |      0 |      0 |         0 
 128781 Thread 38 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-1-1 |  1200000 |   442000 |   502175972 |  16022927550 |         0 |      0 |  1367408846 |      0 |      0 |         0 
 128782 Thread 39 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-1-2 |  1232000 |   409000 |   499132167 |  16013256452 |         0 |      0 |  1419958467 |      0 |      0 |         0 
 128783 Thread 40 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-1-3 |  1223000 |   401000 |   496957226 |  15847044175 |         0 |      0 |  1284451222 |      0 |      0 |         0 
 128784 Thread 41 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-1-4 |  1293000 |   464000 |   538747038 |  17145062605 |         0 |      0 |  1194666503 |      0 |      0 |         0 
 128785 Thread 42 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-1-5 |  1193000 |   429000 |   496921085 |  15827859027 |         0 |      0 |  1289865912 |      0 |      0 |         0 
 128786 Thread 43 - PartitionProcessorThre...36f-95b9-f5252a2e0a95-1-6 |  1217000 |   424000 |   501749640 |  16012985699 |         0 |      0 |  1271941194 |      0 |      0 |         0 
