                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 26724 Thread 1 - main                                                |   813000 |   134000 |    63829935 |   7249264650 |  34526208 |   1024 |     3198002 |      0 |      0 |         0 
 26746 Thread 2 - Reference Handler                                   |     8000 |        0 |      895828 |     66484945 |         0 |      0 |       39572 |      0 |      0 |         0 
 26747 Thread 3 - Finalizer                                           |     7000 |        0 |      727199 |     56725078 |     13312 |      0 |      773300 |      0 |      0 |         0 
 26748 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |      104503 |      7966628 |         0 |      0 |           0 |      0 |      0 |         0 
 26749 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      304023 |      9760089 |         0 |      0 |           0 |      0 |      0 |         0 
 26757 Thread 12 - RMI Scheduler(0)                                   |        0 |     1000 |      299847 |      9759867 |      2048 |      0 |     1416167 |      0 |      0 |         0 
 26758 Thread 13 - RMI RenewClean-[10.231.182.152:38384]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 26759 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |        4518 |      0 |      0 |         0 
 26761 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 24065000 | 34647000 | 17604911970 | 572102064045 | 575227904 | 112640 | 14841546027 | 200926 |      0 |         0 
 26763 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   220000 |    28000 |    74274702 |   2415431327 |   4854784 |   5120 |    24840966 |  57033 |      0 |         0 
 26768 Thread 17 - PartitionProcessorThre...2e9-964a-45e5b4a0a3cd-1-0 |  1099000 |   383000 |   442059864 |  14463568549 |         0 |      0 |   923878556 |      0 |      0 |         0 
 26769 Thread 18 - PartitionProcessorThre...2e9-964a-45e5b4a0a3cd-1-1 |  1141000 |   434000 |   470934817 |  15365026533 |     34816 |      0 |  1069411566 |      0 |      0 |         0 
 26770 Thread 19 - PartitionProcessorThre...2e9-964a-45e5b4a0a3cd-1-2 |  1106000 |   420000 |   456889798 |  14891961065 |         0 |      0 |  1133866600 |      0 |      0 |         0 
 26771 Thread 20 - PartitionProcessorThre...2e9-964a-45e5b4a0a3cd-1-3 |  1131000 |   403000 |   454641270 |  14971300135 |  10831872 |      0 |   884173673 |      0 |      0 |         0 
 26772 Thread 21 - PartitionProcessorThre...2e9-964a-45e5b4a0a3cd-1-4 |  1118000 |   416000 |   459543540 |  14969997783 |         0 |      0 |  1038006916 |      0 |      0 |         0 
 26773 Thread 22 - PartitionProcessorThre...2e9-964a-45e5b4a0a3cd-1-5 |  1193000 |   363000 |   464380180 |  15185644010 |         0 |      0 |   990611080 |      0 |      0 |         0 
 26774 Thread 23 - PartitionProcessorThre...2e9-964a-45e5b4a0a3cd-1-6 |  1136000 |   372000 |   450038516 |  14712572463 |      3072 |      0 |  1155680156 |      0 |      0 |         0 
 26775 Thread 24 - PartitionProcessorThre...2e9-964a-45e5b4a0a3cd-1-7 |  1131000 |   372000 |   447694427 |  14665560463 |         0 |      0 |  1060332703 |      0 |      0 |         0 
 26776 Thread 25 - PartitionProcessorThre...2e9-964a-45e5b4a0a3cd-1-8 |  1186000 |   403000 |   474097407 |  15507969314 |         0 |      0 |  1151482093 |      0 |      0 |         0 
