                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio   | d:swap | d:reclaim 
 75748 Thread 1 - main                                                |   670000 |   142000 |    50812275 |   6186546420 |  21206016 |   2048 |     3284470 |        0 |      0 |         0 
 75770 Thread 2 - Reference Handler                                   |     7000 |        0 |      722886 |     55315839 |         0 |      0 |      605668 |        0 |      0 |         0 
 75771 Thread 3 - Finalizer                                           |     7000 |        0 |      758156 |     55476031 |      5120 |      0 |     3238026 |        0 |      0 |         0 
 75772 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       34991 |        0 |      0 |         0 
 75773 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |        0 |      0 |         0 
 75782 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 32701000 | 34440000 | 19384541161 | 653757225842 | 635193344 | 148480 | 21737597814 |   219317 |      0 |         0 
 75784 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   248000 |    88000 |    96397569 |   3275873749 |   7772160 |   6144 |    40166926 |   360551 |      0 |         0 
 75788 Thread 14 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-0 |  1512000 |   490000 |   576514327 |  19523164946 |     33792 |      0 |  1856227229 |        0 |      0 |         0 
 75789 Thread 15 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-1 |  1418000 |   464000 |   541275702 |  18362003626 |         0 |      0 |  1636608354 |        0 |      0 |         0 
 75790 Thread 16 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-2 |  1466000 |   432000 |   547854835 |  18515589606 |     27648 |      0 |  1654118072 |        0 |      0 |         0 
 75791 Thread 17 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-3 |  1460000 |   427000 |   542073574 |  18409887419 |         0 |      0 |  1657587274 |        0 |      0 |         0 
 75792 Thread 18 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-4 |  1471000 |   446000 |   552583433 |  18704340173 |         0 |      0 |  1820034799 |        0 |      0 |         0 
 75793 Thread 19 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-5 |  1477000 |   443000 |   553870242 |  18731976880 |      1024 |      0 |  1842287876 |        0 |      0 |         0 
 75794 Thread 20 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-6 |  1409000 |   482000 |   543853800 |  18447858610 |      5120 |      0 |  1623703710 |        0 |      0 |         0 
 75795 Thread 21 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-7 |  1420000 |   495000 |   551977394 |  18683771329 |      9216 |      0 |  1734056187 |        0 |      0 |         0 
 75796 Thread 22 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-8 |  1353000 |   515000 |   540494679 |  18225575349 |         0 |      0 |  1617431393 |        0 |      0 |         0 
 75797 Thread 23 - PartitionProcessorThre...5c9-ba8e-d2cd3efee135-1-9 |  1435000 |   476000 |   552157214 |  18644519122 |         0 |      0 |  1784213153 |        0 |      0 |         0 
 75798 Thread 24 - PartitionProcessorThre...c9-ba8e-d2cd3efee135-1-10 |  1455000 |   455000 |   552410765 |  18635839356 |         0 |      0 |  1746473383 |        0 |      0 |         0 
 75799 Thread 25 - PartitionProcessorThre...c9-ba8e-d2cd3efee135-1-11 |  1451000 |   432000 |   544337269 |  18372091915 |         0 |      0 |  1871589665 |        0 |      0 |         0 
 75800 Thread 26 - PartitionProcessorThre...c9-ba8e-d2cd3efee135-1-12 |  1430000 |   454000 |   545036152 |  18383254575 |         0 |      0 |  2047324768 |        0 |      0 |         0 
