                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 73200 Thread 1 - main                                                |   653000 |   172000 |    48806486 |   6265053732 |  21206016 |   1024 |     5594017 |       0 |      0 |         0 
 73222 Thread 2 - Reference Handler                                   |     6000 |        0 |      543515 |     46465492 |         0 |      0 |       48883 |       0 |      0 |         0 
 73223 Thread 3 - Finalizer                                           |     7000 |     1000 |      596457 |     60587726 |      5120 |      0 |     1576060 |       0 |      0 |         0 
 73224 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       54077 |       0 |      0 |         0 
 73225 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |       26703 |      7228289 |         0 |      0 |           0 |       0 |      0 |         0 
 73235 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30017000 | 30872000 | 17284059084 | 592659005572 | 585064448 | 138240 | 18443802052 |  178107 |      0 |         0 
 73236 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   239000 |    59000 |    86078315 |   2904388566 |   6653952 |   5120 |    44498637 |  498724 |      0 |         0 
 73240 Thread 14 - PartitionProcessorThre...f47-8aa0-94b32b81d891-0-0 |  1269000 |   439000 |   482574484 |  16641191056 |     36864 |      0 |  1543837202 |       0 |      0 |         0 
 73241 Thread 15 - PartitionProcessorThre...f47-8aa0-94b32b81d891-0-1 |  1213000 |   500000 |   488326898 |  16707772611 |         0 |      0 |  1623031305 |       0 |      0 |         0 
 73242 Thread 16 - PartitionProcessorThre...f47-8aa0-94b32b81d891-0-2 |  1332000 |   403000 |   490649562 |  16914796618 |    121856 |      0 |  1675204733 |       0 |      0 |         0 
 73243 Thread 17 - PartitionProcessorThre...f47-8aa0-94b32b81d891-0-3 |  1328000 |   447000 |   502351070 |  17308055571 |         0 |      0 |  1587261290 |       0 |      0 |         0 
 73244 Thread 18 - PartitionProcessorThre...f47-8aa0-94b32b81d891-0-4 |  1380000 |   443000 |   516245469 |  17779297200 |         0 |      0 |  1924140606 |       0 |      0 |         0 
 73245 Thread 19 - PartitionProcessorThre...f47-8aa0-94b32b81d891-0-5 |  1288000 |   444000 |   490346406 |  16892899615 |         0 |      0 |  1763622212 |       0 |      0 |         0 
 73246 Thread 20 - PartitionProcessorThre...f47-8aa0-94b32b81d891-0-6 |  1234000 |   406000 |   467382051 |  15997445904 |         0 |      0 |  1915439109 |       0 |      0 |         0 
 73247 Thread 21 - PartitionProcessorThre...f47-8aa0-94b32b81d891-0-7 |  1287000 |   425000 |   487277574 |  16696714943 |         0 |      0 |  1731314406 |       0 |      0 |         0 
 73248 Thread 22 - PartitionProcessorThre...f47-8aa0-94b32b81d891-0-8 |  1320000 |   414000 |   494777648 |  16914400611 |  10832896 |      0 |  1719343132 |       0 |      0 |         0 
