                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 45752 Thread 1 - main                                                |   818000 |   111000 |    59842341 |   7122164478 |  34339840 |      0 |     2967016 |      0 |      0 |         0 
 45774 Thread 2 - Reference Handler                                   |     8000 |        0 |      776816 |     64110628 |         0 |      0 |     1813874 |      0 |      0 |         0 
 45775 Thread 3 - Finalizer                                           |     6000 |        0 |      422773 |     45501683 |      5120 |      0 |     1954099 |      0 |      0 |         0 
 45776 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 45777 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        7080 |      0 |      0 |         0 
 45786 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      686148 |     27311542 |      4096 |      0 |        7898 |      0 |      0 |         0 
 45787 Thread 13 - RMI RenewClean-[10.231.182.152:43551]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 45788 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 45790 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 26182000 | 34298000 | 17486706713 | 589277524299 | 574094336 | 128000 | 16958915661 | 100397 |      0 |         0 
 45791 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   189000 |    49000 |    68731429 |   2319526976 |   5598208 |   4096 |    19618840 | 468571 |      0 |         0 
 45796 Thread 17 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-0 |  1372000 |   396000 |   512179957 |  17248212249 |     12288 |      0 |  1085029278 |      0 |      0 |         0 
 45797 Thread 18 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-1 |  1187000 |   447000 |   472776313 |  15941609699 |         0 |      0 |   943495061 |      0 |      0 |         0 
 45798 Thread 19 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-2 |  1235000 |   388000 |   471943699 |  15835773562 |         0 |      0 |  1223538306 |      0 |      0 |         0 
 45799 Thread 20 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-3 |  1124000 |   416000 |   446079680 |  15024051246 |      1024 |      0 |  1236746068 |      0 |      0 |         0 
 45800 Thread 21 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-4 |  1140000 |   422000 |   451840938 |  15236705113 |         0 |      0 |   894607800 |      0 |      0 |         0 
 45801 Thread 22 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-5 |  1170000 |   440000 |   467013043 |  15707291316 |         0 |      0 |  1043515371 |      0 |      0 |         0 
 45802 Thread 23 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-6 |  1266000 |   454000 |   499447020 |  16780290788 |  10831872 |      0 |   999556527 |      0 |      0 |         0 
 45803 Thread 24 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-7 |  1134000 |   410000 |   448984680 |  15064401316 |         0 |      0 |   834217185 |      0 |      0 |         0 
 45804 Thread 25 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-8 |  1207000 |   401000 |   467676906 |  15688477433 |         0 |      0 |  1218020973 |      0 |      0 |         0 
 45805 Thread 26 - PartitionProcessorThre...6de-ab23-17cfb47edc39-2-9 |  1221000 |   392000 |   467923535 |  15736596339 |         0 |      0 |  1111294796 |      0 |      0 |         0 
 45806 Thread 27 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-10 |  1172000 |   432000 |   466514215 |  15649997863 |         0 |      0 |  1227820629 |      0 |      0 |         0 
 45807 Thread 28 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-11 |  1217000 |   430000 |   478567711 |  16069158261 |         0 |      0 |  1259006833 |      0 |      0 |         0 
 45808 Thread 29 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-12 |  1240000 |   419000 |   482557203 |  16186828152 |         0 |      0 |  1129894682 |      0 |      0 |         0 
 45809 Thread 30 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-13 |  1277000 |   416000 |   492810539 |  16518805144 |         0 |      0 |  1155916341 |      0 |      0 |         0 
 45810 Thread 31 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-14 |  1226000 |   432000 |   481590051 |  16176446956 |         0 |      0 |  1137106086 |      0 |      0 |         0 
 45811 Thread 32 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-15 |  1230000 |   397000 |   471662633 |  15873263335 |         0 |      0 |  1142429803 |      0 |      0 |         0 
 45812 Thread 33 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-16 |  1187000 |   378000 |   452804797 |  15266005617 |     29696 |      0 |  1117355715 |      0 |      0 |         0 
 45813 Thread 34 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-17 |  1233000 |   405000 |   477337477 |  15981766910 |         0 |      0 |  1237773469 |      0 |      0 |         0 
 45814 Thread 35 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-18 |  1154000 |   436000 |   461520684 |  15512577777 |         0 |      0 |  1161395575 |      0 |      0 |         0 
 45815 Thread 36 - PartitionProcessorThre...de-ab23-17cfb47edc39-2-19 |  1293000 |   439000 |   501088098 |  16897134066 |         0 |      0 |  1368830888 |      0 |      0 |         0 
 45816 Thread 37 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-0 |  1220000 |   427000 |   472758808 |  16070960121 |         0 |      0 |  1143741525 |      0 |      0 |         0 
 45817 Thread 38 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-1 |  1201000 |   442000 |   472396238 |  16032026167 |         0 |      0 |  1013433018 |      0 |      0 |         0 
 45818 Thread 39 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-2 |  1312000 |   427000 |   497317211 |  16968390956 |         0 |      0 |  1143735347 |      0 |      0 |         0 
 45819 Thread 40 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-3 |  1249000 |   417000 |   480159414 |  16256523023 |         0 |      0 |  1072888751 |      0 |      0 |         0 
 45820 Thread 41 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-4 |  1299000 |   400000 |   488677148 |  16578686765 |         0 |      0 |  1088070928 |      0 |      0 |         0 
 45821 Thread 42 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-5 |  1210000 |   407000 |   464770348 |  15778304074 |         0 |      0 |  1066814547 |      0 |      0 |         0 
 45822 Thread 43 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-6 |  1124000 |   422000 |   443306297 |  15085731386 |         0 |      0 |   743447491 |      0 |      0 |         0 
 45823 Thread 44 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-7 |  1242000 |   428000 |   484746508 |  16295794972 |         0 |      0 |   911992346 |      0 |      0 |         0 
 45824 Thread 45 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-8 |  1274000 |   463000 |   497959926 |  16949248437 |         0 |      0 |  1113596062 |      0 |      0 |         0 
 45825 Thread 46 - PartitionProcessorThre...6de-ab23-17cfb47edc39-1-9 |  1227000 |   439000 |   480351266 |  16256580261 |         0 |      0 |  1089356197 |      0 |      0 |         0 
