                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 85265 Thread 1 - main                                                |   817000 |   122000 |    63215841 |   7228084013 |  34258944 |   1024 |     4360135 |      0 |      0 |         0 
 85288 Thread 2 - Reference Handler                                   |     6000 |        0 |      799417 |     51161046 |         0 |      0 |     2323792 |      0 |      0 |         0 
 85289 Thread 3 - Finalizer                                           |     4000 |        0 |      348699 |     31646007 |      5120 |      0 |     1349353 |      0 |      0 |         0 
 85290 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |      103378 |      7966281 |         0 |      0 |        2094 |      0 |      0 |         0 
 85291 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 85300 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      886519 |     29272558 |      4096 |      0 |           0 |      0 |      0 |         0 
 85301 Thread 13 - RMI RenewClean-[10.231.182.152:39932]              |     1000 |        0 |       75609 |      7826238 |      1024 |      0 |           0 |      0 |      0 |         0 
 85302 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 85304 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31973000 | 34796000 | 19367681879 | 650803568038 | 623960064 | 140288 | 19563040441 | 132471 |      0 |         0 
 85306 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   258000 |    40000 |    85919694 |   2906493881 |   7032832 |   6144 |    16196139 | 670920 |      0 |         0 
 85310 Thread 17 - PartitionProcessorThre...818-850b-bb5ef8e2cf4f-1-0 |  1373000 |   466000 |   532239313 |  17934412154 |         0 |      0 |  1595854039 |      0 |      0 |         0 
 85311 Thread 18 - PartitionProcessorThre...818-850b-bb5ef8e2cf4f-1-1 |  1387000 |   485000 |   540063575 |  18247006580 |     40960 |      0 |  1640844469 |      0 |      0 |         0 
 85312 Thread 19 - PartitionProcessorThre...818-850b-bb5ef8e2cf4f-1-2 |  1395000 |   435000 |   528665606 |  17847067748 |         0 |      0 |  1538098494 |      0 |      0 |         0 
 85313 Thread 20 - PartitionProcessorThre...818-850b-bb5ef8e2cf4f-1-3 |  1387000 |   474000 |   536409958 |  18146936139 |         0 |      0 |  1481768045 |      0 |      0 |         0 
 85314 Thread 21 - PartitionProcessorThre...818-850b-bb5ef8e2cf4f-1-4 |  1333000 |   490000 |   527365676 |  17785170412 |         0 |      0 |  1598090587 |      0 |      0 |         0 
 85315 Thread 22 - PartitionProcessorThre...818-850b-bb5ef8e2cf4f-1-5 |  1474000 |   475000 |   562511731 |  19012624185 |         0 |      0 |  1478743564 |      0 |      0 |         0 
