                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 26226 Thread 1 - main                                                |  1104000 |   126000 |    82799767 |   8686481087 |  15110144 |   1024 |    13234962 |   97764 |      0 |         0 
 26233 Thread 2 - Reference Handler                                   |     1000 |        0 |       80808 |      7305496 |         0 |      0 |     1231765 |       0 |      0 |         0 
 26234 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |      121754 |       0 |      0 |         0 
 26235 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       12580 |       0 |      0 |         0 
 26241 Thread 11 - Common-Cleaner                                     |     3000 |        0 |      534667 |     25703441 |         0 |      0 |      650418 |       0 |      0 |         0 
 26247 Thread 13 - RMI Scheduler(0)                                   |     2000 |     1000 |      512218 |     23850742 |      1024 |      0 |       50948 |       0 |      0 |         0 
 26253 Thread 14 - RMI RenewClean-[10.231.182.152:34839]              |     2000 |        0 |      170457 |     14808011 |         0 |      0 |           0 |       0 |      0 |         0 
 26254 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |        7327 |       0 |      0 |         0 
 26256 Thread 16 - logging-metrics-publisher                          |   225000 |    24000 |    73993624 |   2462675831 |     17408 | 366592 |   222684991 |       0 |      0 |         0 
 26258 Thread 17 - DecatonSubscriptionThread-decaton-benchmark        | 27424000 | 35179000 | 21845287762 | 617884050896 | 624560128 | 103424 | 18837861409 |  176513 |      0 |         0 
 26260 Thread 18 - kafka-coordinator-hear...hread | decaton-benchmark |   232000 |    33000 |    91004448 |   2612221972 |   5949440 |   5120 |    15149979 |  448151 |      0 |         0 
 26264 Thread 19 - PartitionProcessorThre...cf5-a8dc-d5eca4cf66c4-1-0 |  1959000 |   411000 |   823839034 |  23408561224 |         0 |      0 |  1301166650 |   11200 |      0 |         0 
 26265 Thread 20 - PartitionProcessorThre...cf5-a8dc-d5eca4cf66c4-1-1 |  1950000 |   401000 |   815750222 |  23215351431 |     33792 |      0 |  1187105568 |       0 |      0 |         0 
 26266 Thread 21 - PartitionProcessorThre...cf5-a8dc-d5eca4cf66c4-1-2 |  1967000 |   398000 |   821169316 |  23361899751 |      2048 |      0 |  1497321056 |    7720 |      0 |         0 
 26267 Thread 22 - PartitionProcessorThre...cf5-a8dc-d5eca4cf66c4-1-3 |  1954000 |   430000 |   825672683 |  23545667938 |         0 |      0 |  1458105198 |       0 |      0 |         0 
