                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 23204 Thread 1 - main                                                |  1043000 |   116000 |    79591079 |   8144474576 |  15109120 |   1024 |     7297450 |      0 |      0 |         0 
 23211 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |     2147048 |      0 |      0 |         0 
 23212 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       32708 |      0 |      0 |         0 
 23213 Thread 4 - Signal Dispatcher                                   |        0 |     1000 |       18171 |      6378855 |         0 |      0 |           0 |      0 |      0 |         0 
 23219 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |     2182384 |      0 |      0 |         0 
 23223 Thread 13 - RMI Scheduler(0)                                   |     3000 |        0 |      774046 |     26695109 |      1024 |      0 |      165732 |      0 |      0 |         0 
 23229 Thread 14 - RMI RenewClean-[10.231.182.152:37919]              |     2000 |     1000 |      246140 |     22117523 |         0 |      0 |           0 |      0 |      0 |         0 
 23230 Thread 15 - RMI GC Daemon                                      |     1000 |        0 |       81433 |      7372507 |         0 |      0 |           0 |      0 |      0 |         0 
 23232 Thread 16 - logging-metrics-publisher                          |   251000 |    25000 |    94635350 |   2729769441 |     17408 | 371712 |   202358819 |      0 |      0 |         0 
 23234 Thread 17 - DecatonSubscriptionThread-decaton-benchmark        | 25337000 | 32273000 | 19524789589 | 568440013317 | 572891136 | 113664 | 17390425812 |  91552 |      0 |         0 
 23237 Thread 18 - kafka-coordinator-hear...hread | decaton-benchmark |   252000 |    37000 |    96784554 |   2847683503 |   6278144 |   5120 |    19897258 | 421251 |      0 |         0 
 23242 Thread 19 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-0 |  1918000 |   373000 |   772003706 |  22611028411 |     35840 |      0 |  1370506792 |      0 |      0 |         0 
 23243 Thread 20 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-1 |  1955000 |   379000 |   790252229 |  23067192380 |         0 |      0 |  1311347517 |      0 |      0 |         0 
 23244 Thread 21 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-2 |  1888000 |   356000 |   757638304 |  22165369095 |         0 |      0 |  1576603705 |      0 |      0 |         0 
 23245 Thread 22 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-3 |  1912000 |   374000 |   774058058 |  22583801794 |         0 |      0 |  1391358419 |      0 |      0 |         0 
 23246 Thread 23 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-4 |  1822000 |   342000 |   732045937 |  21381685220 |      3072 |      0 |  1407192317 |      0 |      0 |         0 
 23247 Thread 24 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-5 |  1848000 |   378000 |   755490163 |  21996142853 |         0 |      0 |  1437664356 |      0 |      0 |         0 
 23248 Thread 25 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-6 |  1882000 |   398000 |   771201612 |  22526984794 |      1024 |      0 |  1499569535 |      0 |      0 |         0 
 23249 Thread 26 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-7 |  1862000 |   380000 |   757290234 |  22148458583 |         0 |      0 |  1481030472 |      0 |      0 |         0 
 23250 Thread 27 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-8 |  1799000 |   398000 |   744936191 |  21706839193 |         0 |      0 |  1371599804 |      0 |      0 |         0 
 23251 Thread 28 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-0-9 |  1950000 |   399000 |   796370440 |  23211258146 |      1024 |      0 |  1441573163 |      0 |      0 |         0 
 23252 Thread 29 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-10 |  1879000 |   412000 |   775098523 |  22636305368 |         0 |      0 |  1286383616 |      0 |      0 |         0 
 23254 Thread 30 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-11 |  1833000 |   417000 |   764028249 |  22238021599 |         0 |      0 |  1260753821 |      0 |      0 |         0 
 23255 Thread 31 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-12 |  1789000 |   385000 |   738448222 |  21482737103 |         0 |      0 |  1361623153 |      0 |      0 |         0 
 23256 Thread 32 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-13 |  1842000 |   375000 |   749520468 |  21897132790 |         0 |      0 |  1457584480 |      0 |      0 |         0 
 23257 Thread 33 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-14 |  1824000 |   355000 |   739583956 |  21530187364 |      1024 |      0 |  1364686461 |      0 |      0 |         0 
 23258 Thread 34 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-15 |  1898000 |   363000 |   765061593 |  22342445189 |         0 |      0 |  1522324323 |      0 |      0 |         0 
 23259 Thread 35 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-16 |  1810000 |   379000 |   742764585 |  21633262509 |         0 |      0 |  1416238866 |      0 |      0 |         0 
 23260 Thread 36 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-17 |  1775000 |   364000 |   725335589 |  21136473759 |      1024 |      0 |  1549295606 |      0 |      0 |         0 
 23261 Thread 37 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-18 |  1928000 |   378000 |   781452073 |  22785847626 |         0 |      0 |  1461847134 |      0 |      0 |         0 
 23262 Thread 38 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-0-19 |  1949000 |   375000 |   784929604 |  22965544962 |         0 |      0 |  1467906894 |      0 |      0 |         0 
 23266 Thread 39 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-0 |  1761000 |   367000 |   722512831 |  21043938408 |         0 |      0 |  1493675915 |      0 |      0 |         0 
 23267 Thread 40 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-1 |  1855000 |   366000 |   753347234 |  21963993482 |         0 |      0 |  1548704197 |      0 |      0 |         0 
 23268 Thread 41 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-2 |  1880000 |   353000 |   759198085 |  22083056025 |         0 |      0 |  1452610103 |      0 |      0 |         0 
 23269 Thread 42 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-3 |  1952000 |   379000 |   793255601 |  23052219466 |         0 |      0 |  1520679127 |      0 |      0 |         0 
 23270 Thread 43 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-4 |  1853000 |   410000 |   766752968 |  22380043814 |         0 |      0 |  1441998511 |      0 |      0 |         0 
 23271 Thread 44 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-5 |  1890000 |   324000 |   753251808 |  21896027755 |         0 |      0 |  1284037620 |      0 |      0 |         0 
 23272 Thread 45 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-6 |  1879000 |   380000 |   766847148 |  22340632196 |         0 |      0 |  1482378963 |      0 |      0 |         0 
 23273 Thread 46 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-7 |  1824000 |   401000 |   753886605 |  22004218431 |         0 |      0 |  1463626514 |      0 |      0 |         0 
 23274 Thread 47 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-8 |  1906000 |   400000 |   786018753 |  22805579134 |         0 |      0 |  1510206666 |      0 |      0 |         0 
 23275 Thread 48 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-2-9 |  1865000 |   361000 |   757084519 |  22014643122 |         0 |      0 |  1357258494 |      0 |      0 |         0 
 23276 Thread 49 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-10 |  1852000 |   405000 |   765861101 |  22320885114 |         0 |      0 |  1347060894 |      0 |      0 |         0 
 23277 Thread 50 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-11 |  1916000 |   383000 |   782519644 |  22736291153 |         0 |      0 |  1397154310 |      0 |      0 |         0 
 23278 Thread 51 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-12 |  1878000 |   394000 |   774779624 |  22469347161 |         0 |      0 |  1551975681 |      0 |      0 |         0 
 23279 Thread 52 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-13 |  1896000 |   382000 |   774521155 |  22528455403 |         0 |      0 |  1442448187 |      0 |      0 |         0 
 23280 Thread 53 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-14 |  1862000 |   389000 |   765695843 |  22261195294 |      8192 |      0 |  1454206253 |      0 |      0 |         0 
 23281 Thread 54 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-15 |  1862000 |   390000 |   764352921 |  22271574071 |         0 |      0 |  1358644771 |      0 |      0 |         0 
 23282 Thread 55 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-16 |  1866000 |   355000 |   757011425 |  21965080165 |         0 |      0 |  1460724027 |      0 |      0 |         0 
 23283 Thread 56 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-17 |  1844000 |   369000 |   753025378 |  21885875302 |         0 |      0 |  1379936960 |      0 |      0 |         0 
 23284 Thread 57 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-18 |  1845000 |   308000 |   731844140 |  21292070161 |         0 |      0 |  1654887028 |      0 |      0 |         0 
 23285 Thread 58 - PartitionProcessorThre...f4-a99b-9e40ab78fe1f-2-19 |  1843000 |   371000 |   752476698 |  21894983407 |         0 |      0 |  1484956774 |      0 |      0 |         0 
 23286 Thread 59 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-0 |  1936000 |   385000 |   793259370 |  22954079743 |         0 |      0 |  1381637988 |      0 |      0 |         0 
 23287 Thread 60 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-1 |  1850000 |   355000 |   752678034 |  21807243048 |         0 |      0 |  1341202818 |      0 |      0 |         0 
 23288 Thread 61 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-2 |  1869000 |   367000 |   765582155 |  22113885079 |         0 |      0 |  1353611861 |      0 |      0 |         0 
 23289 Thread 62 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-3 |  1853000 |   351000 |   751007382 |  21796958630 |      8192 |      0 |  1377109267 |      0 |      0 |         0 
 23290 Thread 63 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-4 |  1845000 |   401000 |   767095628 |  22212240349 |         0 |      0 |  1407529759 |      0 |      0 |         0 
 23291 Thread 64 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-5 |  1839000 |   411000 |   768032823 |  22252055857 |         0 |      0 |  1486920003 |      0 |      0 |         0 
 23292 Thread 65 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-6 |  1797000 |   403000 |   752642714 |  21757984107 |         0 |      0 |  1323548911 |      0 |      0 |         0 
 23293 Thread 66 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-7 |  1767000 |   345000 |   720968261 |  20887204251 |         0 |      0 |  1133952115 |      0 |      0 |         0 
 23294 Thread 67 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-8 |  1845000 |   362000 |   753349515 |  21826687150 |         0 |      0 |  1142431985 |      0 |      0 |         0 
 23295 Thread 68 - PartitionProcessorThre...bf4-a99b-9e40ab78fe1f-1-9 |  1832000 |   435000 |   775586534 |  22420083673 |         0 |      0 |  1260661295 |      0 |      0 |         0 
