                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 159751 Thread 1 - main                                                |   586000 |    78000 |    41583143 |   5041805718 |  21218304 |   1024 |     1810964 |       0 |      0 |         0 
 159773 Thread 2 - Reference Handler                                   |     6000 |        0 |      606667 |     46605445 |         0 |      0 |      225717 |       0 |      0 |         0 
 159774 Thread 3 - Finalizer                                           |     8000 |        0 |      722589 |     61365132 |      5120 |      0 |      987796 |       0 |      0 |         0 
 159775 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 159776 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       35725 |       0 |      0 |         0 
 159786 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29435000 | 33028000 | 18689878732 | 608324189572 | 636580864 | 122880 | 20164776174 |  102025 |      0 |         0 
 159787 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   154000 |    43000 |    58683726 |   1922024156 |   6387712 |   4096 |    52022950 |  180503 |      0 |         0 
 159790 Thread 14 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-0 |  1181000 |   446000 |   485171778 |  15868195589 |     33792 |      0 |  1337690818 |       0 |      0 |         0 
 159791 Thread 15 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-1 |  1379000 |   441000 |   544075508 |  17757169148 |         0 |      0 |  1489374119 |       0 |      0 |         0 
 159792 Thread 16 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-2 |  1203000 |   513000 |   512889035 |  16740507124 |      3072 |      0 |  1372876600 |       0 |      0 |         0 
 159793 Thread 17 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-3 |  1266000 |   478000 |   519999731 |  17013193472 |      6144 |      0 |  1411901940 |       0 |      0 |         0 
 159794 Thread 18 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-4 |  1172000 |   484000 |   496327543 |  16155489109 |         0 |      0 |  1335778262 |       0 |      0 |         0 
 159795 Thread 19 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-5 |  1258000 |   434000 |   506949520 |  16508782382 |      1024 |      0 |  1408192785 |       0 |      0 |         0 
 159796 Thread 20 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-6 |  1207000 |   426000 |   487556606 |  15927684011 |      2048 |      0 |  1329643325 |       0 |      0 |         0 
 159797 Thread 21 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-7 |  1342000 |   446000 |   531612238 |  17439544050 |         0 |      0 |  1311664103 |       0 |      0 |         0 
 159798 Thread 22 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-8 |  1264000 |   482000 |   519483852 |  17027812230 |    121856 |      0 |  1205052626 |       0 |      0 |         0 
 159799 Thread 23 - PartitionProcessorThre...1de-904a-918a9f88ff95-1-9 |  1281000 |   436000 |   511543610 |  16749709906 |         0 |      0 |  1372707730 |       0 |      0 |         0 
 159800 Thread 24 - PartitionProcessorThre...de-904a-918a9f88ff95-1-10 |  1252000 |   445000 |   506171535 |  16556000527 |         0 |      0 |  1357449640 |       0 |      0 |         0 
 159801 Thread 25 - PartitionProcessorThre...de-904a-918a9f88ff95-1-11 |  1304000 |   478000 |   532718266 |  17384060898 |         0 |      0 |  1463667217 |       0 |      0 |         0 
 159802 Thread 26 - PartitionProcessorThre...de-904a-918a9f88ff95-1-12 |  1255000 |   481000 |   517091360 |  16937535199 |         0 |      0 |  1544350788 |       0 |      0 |         0 
 159804 Thread 27 - PartitionProcessorThre...de-904a-918a9f88ff95-1-13 |  1319000 |   474000 |   534651399 |  17491088941 |         0 |      0 |  1535680143 |       0 |      0 |         0 
 159805 Thread 28 - PartitionProcessorThre...de-904a-918a9f88ff95-1-14 |  1260000 |   436000 |   504143367 |  16547822628 |         0 |      0 |  1348465532 |       0 |      0 |         0 
 159806 Thread 29 - PartitionProcessorThre...de-904a-918a9f88ff95-1-15 |  1182000 |   427000 |   479150360 |  15697468363 |     35840 |      0 |  1205775603 |       0 |      0 |         0 
 159807 Thread 30 - PartitionProcessorThre...de-904a-918a9f88ff95-1-16 |  1239000 |   410000 |   491232700 |  16089469859 |         0 |      0 |  1182487622 |       0 |      0 |         0 
 159808 Thread 31 - PartitionProcessorThre...de-904a-918a9f88ff95-1-17 |  1207000 |   409000 |   482091954 |  15768044652 |         0 |      0 |  1394505088 |       0 |      0 |         0 
