                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 157159 Thread 1 - main                                                |   608000 |    99000 |    43646139 |   5342103436 |  21210112 |   1024 |     2418333 |      0 |      0 |         0 
 157181 Thread 2 - Reference Handler                                   |     5000 |        0 |      501597 |     38768867 |         0 |      0 |     2554429 |      0 |      0 |         0 
 157182 Thread 3 - Finalizer                                           |     6000 |        0 |      444046 |     45155687 |     13312 |      0 |     1555564 |      0 |      0 |         0 
 157183 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        3419 |      0 |      0 |         0 
 157184 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       32683 |      7228289 |         0 |      0 |           0 |      0 |      0 |         0 
 157194 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27333000 | 29565000 | 16863853787 | 553870157592 | 585852928 | 133120 | 18055654603 | 156872 |      0 |         0 
 157195 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   179000 |    47000 |    66774991 |   2202861328 |   5816320 |   5120 |    29923361 | 377722 |      0 |         0 
 157198 Thread 14 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-0 |  1229000 |   376000 |   478096719 |  15656347609 |      5120 |      0 |  1333070404 |      0 |      0 |         0 
 157199 Thread 15 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-1 |  1244000 |   399000 |   487983066 |  16026678656 |         0 |      0 |  1255676551 |      0 |      0 |         0 
 157200 Thread 16 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-2 |  1224000 |   390000 |   477047227 |  15735519902 |    163840 |      0 |  1373342577 |      0 |      0 |         0 
 157201 Thread 17 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-3 |  1128000 |   406000 |   455496071 |  14956917406 |     32768 |      0 |  1431685667 |      0 |      0 |         0 
 157202 Thread 18 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-4 |  1111000 |   372000 |   442875782 |  14466021191 |         0 |      0 |  1287771620 |      0 |      0 |         0 
 157203 Thread 19 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-5 |  1146000 |   400000 |   460667895 |  15079373019 |         0 |      0 |  1325976983 |      0 |      0 |         0 
 157204 Thread 20 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-6 |  1217000 |   413000 |   486443090 |  15901112839 |         0 |      0 |  1298266345 |      0 |      0 |         0 
 157205 Thread 21 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-7 |  1201000 |   393000 |   474494766 |  15550602503 |  10831872 |      0 |  1347332610 |      0 |      0 |         0 
 157206 Thread 22 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-8 |  1211000 |   427000 |   486175180 |  15974475160 |         0 |      0 |  1486472274 |      0 |      0 |         0 
 157207 Thread 23 - PartitionProcessorThre...bac-932c-ef7054aa5232-1-9 |  1239000 |   416000 |   492037734 |  16143276746 |      1024 |      0 |  1453876612 |      0 |      0 |         0 
 157208 Thread 24 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-10 |  1204000 |   383000 |   472178110 |  15478787499 |         0 |      0 |  1354602929 |      0 |      0 |         0 
 157209 Thread 25 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-11 |  1176000 |   417000 |   473303774 |  15539295351 |      1024 |      0 |  1399407797 |      0 |      0 |         0 
 157210 Thread 26 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-12 |  1158000 |   389000 |   460312196 |  15091693234 |         0 |      0 |  1475351509 |      0 |      0 |         0 
 157211 Thread 27 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-13 |  1150000 |   429000 |   470198293 |  15403825191 |         0 |      0 |  1356891414 |      0 |      0 |         0 
 157212 Thread 28 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-14 |  1156000 |   394000 |   460493469 |  15120278624 |         0 |      0 |  1287079489 |      0 |      0 |         0 
 157213 Thread 29 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-15 |  1204000 |   423000 |   484133754 |  15871880007 |         0 |      0 |  1443546998 |      0 |      0 |         0 
 157214 Thread 30 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-16 |  1186000 |   420000 |   479106543 |  15667372843 |         0 |      0 |  1574143969 |      0 |      0 |         0 
 157215 Thread 31 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-17 |  1182000 |   448000 |   484108445 |  15901164171 |         0 |      0 |  1234628980 |      0 |      0 |         0 
 157216 Thread 32 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-18 |  1179000 |   431000 |   478878469 |  15703932734 |         0 |      0 |  1378241593 |      0 |      0 |         0 
 157217 Thread 33 - PartitionProcessorThre...ac-932c-ef7054aa5232-1-19 |  1212000 |   395000 |   479392559 |  15676033332 |      3072 |      0 |  1370475563 |      0 |      0 |         0 
