                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 130687 Thread 1 - main                                                |   613000 |    63000 |    41856897 |   5118317515 |  21218304 |   1024 |    10046214 |      0 |      0 |         0 
 130709 Thread 2 - Reference Handler                                   |     3000 |     1000 |      318949 |     30230835 |         0 |      0 |      519342 |      0 |      0 |         0 
 130710 Thread 3 - Finalizer                                           |     4000 |        0 |      378550 |     30932289 |      5120 |      0 |     2532008 |      0 |      0 |         0 
 130711 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        6087 |      0 |      0 |         0 
 130712 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      304042 |      9755035 |         0 |      0 |           0 |      0 |      0 |         0 
 130721 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26978000 | 28831000 | 16345924444 | 543218769818 | 585285632 | 131072 | 16645213853 | 165212 |      0 |         0 
 130723 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   183000 |    45000 |    67427417 |   2224734675 |   6412288 |   4096 |    22683178 | 416262 |      0 |         0 
 130726 Thread 14 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-0 |  1144000 |   397000 |   450100504 |  15018330156 |     33792 |      0 |  1478499074 |      0 |      0 |         0 
 130727 Thread 15 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-1 |  1177000 |   376000 |   453262524 |  15145435601 |         0 |      0 |  1419136970 |      0 |      0 |         0 
 130728 Thread 16 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-2 |  1142000 |   374000 |   443250395 |  14786114175 |         0 |      0 |  1413186693 |      0 |      0 |         0 
 130729 Thread 17 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-3 |  1234000 |   383000 |   473615992 |  15772800480 |         0 |      0 |  1496623740 |      0 |      0 |         0 
 130730 Thread 18 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-4 |  1230000 |   385000 |   474128512 |  15752261749 |         0 |      0 |  1498224022 |      0 |      0 |         0 
 130731 Thread 19 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-5 |  1185000 |   422000 |   472126828 |  15676012519 |         0 |      0 |  1511167190 |      0 |      0 |         0 
 130732 Thread 20 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-6 |  1133000 |   368000 |   440449254 |  14641137644 |         0 |      0 |  1523819001 |      0 |      0 |         0 
 130733 Thread 21 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-7 |  1125000 |   409000 |   449452782 |  14964209203 |         0 |      0 |  1402448006 |      0 |      0 |         0 
 130734 Thread 22 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-8 |  1138000 |   462000 |   469289402 |  15606697050 |         0 |      0 |  1516342631 |      0 |      0 |         0 
 130735 Thread 23 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-0-9 |  1159000 |   383000 |   451235996 |  15039792589 |         0 |      0 |  1476251122 |      0 |      0 |         0 
 130736 Thread 24 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-10 |  1093000 |   347000 |   420699336 |  14040552632 |    117760 |      0 |  1447602738 |      0 |      0 |         0 
 130737 Thread 25 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-11 |  1087000 |   373000 |   427211079 |  14237427734 |      4096 |      0 |  1491370536 |      0 |      0 |         0 
 130738 Thread 26 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-12 |  1130000 |   387000 |   444802672 |  14796875011 |      3072 |      0 |  1527734268 |      0 |      0 |         0 
 130739 Thread 27 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-13 |  1079000 |   384000 |   428884887 |  14268974523 |         0 |      0 |  1224558475 |      0 |      0 |         0 
 130740 Thread 28 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-14 |  1198000 |   379000 |   460224164 |  15383049203 |         0 |      0 |  1349462383 |      0 |      0 |         0 
 130741 Thread 29 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-15 |  1200000 |   383000 |   464282668 |  15441560812 |         0 |      0 |  1481330338 |      0 |      0 |         0 
 130742 Thread 30 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-16 |  1119000 |   441000 |   457092633 |  15216198171 |         0 |      0 |  1374277404 |      0 |      0 |         0 
 130743 Thread 31 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-17 |  1210000 |   440000 |   483228953 |  16096822761 |         0 |      0 |  1402237109 |      0 |      0 |         0 
 130744 Thread 32 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-18 |  1180000 |   393000 |   461154446 |  15342399156 |     41984 |      0 |  1497142846 |      0 |      0 |         0 
 130745 Thread 33 - PartitionProcessorThre...0f-8390-ab799d9dfeeb-0-19 |  1148000 |   384000 |   449817336 |  14944296382 |         0 |      0 |  1448025766 | 735934 |      0 |         0 
 130746 Thread 34 - PartitionProcessorThre...70f-8390-ab799d9dfeeb-2-0 |  1196000 |   390000 |   466368500 |  15472171460 |         0 |      0 |  1429831288 |      0 |      0 |         0 
