                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 24249 Thread 1 - main                                                |   966000 |   124000 |    72621978 |   7650027028 |  14848000 |   1024 |    12052673 |      0 |      0 |         0 
 24256 Thread 2 - Reference Handler                                   |     1000 |     1000 |      108023 |     13591246 |         0 |      0 |     2062540 |      0 |      0 |         0 
 24257 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       59210 |      0 |      0 |         0 
 24258 Thread 4 - Signal Dispatcher                                   |        0 |     1000 |      349890 |      9886957 |         0 |      0 |       17760 |      0 |      0 |         0 
 24265 Thread 11 - Common-Cleaner                                     |     2000 |     1000 |      254191 |     23162109 |         0 |      0 |      128978 |      0 |      0 |         0 
 24271 Thread 13 - RMI Scheduler(0)                                   |     2000 |        0 |      426949 |     16802277 |      1024 |      0 |      253498 |      0 |      0 |         0 
 24277 Thread 14 - RMI RenewClean-[10.231.182.152:33629]              |     2000 |        0 |      167046 |     14745015 |         0 |      0 |        2670 |      0 |      0 |         0 
 24278 Thread 15 - RMI GC Daemon                                      |        0 |     1000 |       83050 |      7372507 |         0 |      0 |           0 |      0 |      0 |         0 
 24281 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 24864000 | 35090000 | 20714275492 | 591533914666 | 625655808 | 100352 | 13625872644 | 144366 |      0 |         0 
 24285 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   222000 |    28000 |    85766202 |   2465240393 |   4762624 |   5120 |    26432282 | 413624 |      0 |         0 
 24289 Thread 18 - PartitionProcessorThre...e29-83eb-71845f52d420-0-0 |  1121000 |   433000 |   529318879 |  15344857284 |         0 |      0 |  1049141553 |      0 |      0 |         0 
 24290 Thread 19 - PartitionProcessorThre...e29-83eb-71845f52d420-0-1 |  1172000 |   387000 |   530402598 |  15382363906 |      4096 |      0 |  1108510286 |      0 |      0 |         0 
 24291 Thread 20 - PartitionProcessorThre...e29-83eb-71845f52d420-0-2 |  1102000 |   419000 |   521015934 |  15022761730 |         0 |      0 |   930832076 |      0 |      0 |         0 
 24292 Thread 21 - PartitionProcessorThre...e29-83eb-71845f52d420-0-3 |  1124000 |   395000 |   519940434 |  15002046085 |         0 |      0 |   882454127 |      0 |      0 |         0 
 24293 Thread 22 - PartitionProcessorThre...e29-83eb-71845f52d420-0-4 |  1119000 |   391000 |   515743269 |  14909503699 |         0 |      0 |   887274701 |      0 |      0 |         0 
 24294 Thread 23 - PartitionProcessorThre...e29-83eb-71845f52d420-0-5 |  1081000 |   404000 |   506544902 |  14659094699 |      6144 |      0 |   920358121 |      0 |      0 |         0 
 24295 Thread 24 - PartitionProcessorThre...e29-83eb-71845f52d420-0-6 |  1115000 |   422000 |   524326965 |  15168391070 |         0 |      0 |   796753601 |      0 |      0 |         0 
 24296 Thread 25 - PartitionProcessorThre...e29-83eb-71845f52d420-0-7 |  1194000 |   395000 |   541751750 |  15685982230 |         0 |      0 |  1045548668 |      0 |      0 |         0 
 24297 Thread 26 - PartitionProcessorThre...e29-83eb-71845f52d420-0-8 |  1146000 |   387000 |   523180664 |  15131048972 |         0 |      0 |  1055442439 |      0 |      0 |         0 
 24298 Thread 27 - PartitionProcessorThre...e29-83eb-71845f52d420-0-9 |  1119000 |   386000 |   513351516 |  14852201531 |         0 |      0 |   935674890 |      0 |      0 |         0 
 24299 Thread 28 - PartitionProcessorThre...29-83eb-71845f52d420-0-10 |  1190000 |   364000 |   530838355 |  15338306073 |         0 |      0 |   887775100 |      0 |      0 |         0 
 24300 Thread 29 - PartitionProcessorThre...29-83eb-71845f52d420-0-11 |  1112000 |   410000 |   516710379 |  15015766038 |      1024 |      0 |  1185038119 |      0 |      0 |         0 
 24301 Thread 30 - PartitionProcessorThre...29-83eb-71845f52d420-0-12 |  1139000 |   385000 |   520028856 |  15042922753 |     29696 |      0 |   941844273 |      0 |      0 |         0 
 24302 Thread 31 - PartitionProcessorThre...29-83eb-71845f52d420-0-13 |  1181000 |   431000 |   549825840 |  15913860620 |         0 |      0 |  1113061232 |      0 |      0 |         0 
 24303 Thread 32 - PartitionProcessorThre...29-83eb-71845f52d420-0-14 |  1118000 |   405000 |   521154223 |  15036106824 |         0 |      0 |  1019708702 |      0 |      0 |         0 
 24304 Thread 33 - PartitionProcessorThre...29-83eb-71845f52d420-0-15 |  1166000 |   427000 |   545874160 |  15727701273 |         0 |      0 |   965490587 |      0 |      0 |         0 
 24305 Thread 34 - PartitionProcessorThre...29-83eb-71845f52d420-0-16 |  1157000 |   440000 |   545526863 |  15765211761 |         0 |      0 |   982899426 |      0 |      0 |         0 
 24306 Thread 35 - PartitionProcessorThre...29-83eb-71845f52d420-0-17 |  1118000 |   423000 |   525168859 |  15220013363 |         0 |      0 |   983883703 |      0 |      0 |         0 
 24307 Thread 36 - PartitionProcessorThre...29-83eb-71845f52d420-0-18 |  1151000 |   419000 |   535504969 |  15503296093 |      3072 |      0 |  1061220163 |      0 |      0 |         0 
 24308 Thread 37 - PartitionProcessorThre...29-83eb-71845f52d420-0-19 |  1161000 |   426000 |   542967488 |  15670397593 |         0 |      0 |  1089730294 |      0 |      0 |         0 
 24313 Thread 38 - PartitionProcessorThre...e29-83eb-71845f52d420-2-0 |  1057000 |   415000 |   512038520 |  14557669003 |         0 |      0 |   892557703 |      0 |      0 |         0 
