                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 41685 Thread 1 - main                                                |   583000 |    87000 |    40955744 |   5064687810 |  21047296 |   1024 |     5413054 |      0 |      0 |         0 
 41707 Thread 2 - Reference Handler                                   |     6000 |        0 |      611273 |     46605421 |         0 |      0 |     2989737 |      0 |      0 |         0 
 41708 Thread 3 - Finalizer                                           |     7000 |        0 |      640484 |     53666539 |     13312 |      0 |     2854432 |      0 |      0 |         0 
 41709 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 41710 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      297386 |      9755031 |         0 |      0 |        2817 |      0 |      0 |         0 
 41720 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26898000 | 29311000 | 16433751491 | 547087430269 | 586385408 | 128000 | 16621538835 | 105104 |      0 |         0 
 41721 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   190000 |    44000 |    68388558 |   2281431593 |   5448704 |   5120 |    30926013 | 231180 |      0 |         0 
 41724 Thread 14 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-0 |  1167000 |   362000 |   446223668 |  14891047227 |    156672 |      0 |  1269355281 |      0 |      0 |         0 
 41725 Thread 15 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-1 |  1150000 |   395000 |   452812817 |  15057944466 |      3072 |      0 |  1281616810 |      0 |      0 |         0 
 41726 Thread 16 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-2 |  1211000 |   412000 |   475959895 |  15827106856 |  10831872 |      0 |  1434149609 |      0 |      0 |         0 
 41727 Thread 17 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-3 |  1229000 |   398000 |   477684141 |  15869906879 |         0 |      0 |  1354688837 |      0 |      0 |         0 
 41728 Thread 18 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-4 |  1198000 |   391000 |   465585883 |  15498651700 |         0 |      0 |  1349508622 |      0 |      0 |         0 
 41729 Thread 19 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-5 |  1207000 |   401000 |   471086414 |  15685561118 |         0 |      0 |  1254475159 |      0 |      0 |         0 
 41730 Thread 20 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-6 |  1164000 |   392000 |   456313969 |  15178787200 |         0 |      0 |  1444388232 |      0 |      0 |         0 
 41731 Thread 21 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-7 |  1173000 |   364000 |   448324871 |  14990186821 |         0 |      0 |  1291376351 |      0 |      0 |         0 
 41732 Thread 22 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-8 |  1153000 |   390000 |   450538176 |  15051465419 |         0 |      0 |  1412541305 |      0 |      0 |         0 
 41733 Thread 23 - PartitionProcessorThre...f09-b561-5688a5302c7f-0-9 |  1217000 |   406000 |   474343082 |  15833208356 |      3072 |      0 |  1495360306 |      0 |      0 |         0 
 41734 Thread 24 - PartitionProcessorThre...09-b561-5688a5302c7f-0-10 |  1152000 |   436000 |   464802797 |  15491118364 |         0 |      0 |  1210953302 |      0 |      0 |         0 
 41735 Thread 25 - PartitionProcessorThre...09-b561-5688a5302c7f-0-11 |  1162000 |   431000 |   467404442 |  15538696684 |         0 |      0 |  1467363651 |      0 |      0 |         0 
 41736 Thread 26 - PartitionProcessorThre...09-b561-5688a5302c7f-0-12 |  1198000 |   407000 |   470867875 |  15654835930 |         0 |      0 |  1442471135 |      0 |      0 |         0 
 41737 Thread 27 - PartitionProcessorThre...09-b561-5688a5302c7f-0-13 |  1112000 |   378000 |   436033856 |  14533883864 |         0 |      0 |  1300679820 |      0 |      0 |         0 
 41738 Thread 28 - PartitionProcessorThre...09-b561-5688a5302c7f-0-14 |  1126000 |   415000 |   451818438 |  15031008091 |         0 |      0 |  1490277856 |      0 |      0 |         0 
 41739 Thread 29 - PartitionProcessorThre...09-b561-5688a5302c7f-0-15 |  1217000 |   411000 |   478014871 |  15879735669 |         0 |      0 |  1442719462 |      0 |      0 |         0 
 41740 Thread 30 - PartitionProcessorThre...09-b561-5688a5302c7f-0-16 |  1272000 |   369000 |   481312774 |  16005801504 |     43008 |      0 |  1359030899 |      0 |      0 |         0 
 41741 Thread 31 - PartitionProcessorThre...09-b561-5688a5302c7f-0-17 |  1133000 |   408000 |   452009141 |  15030802844 |      1024 |      0 |  1575208786 |      0 |      0 |         0 
 41742 Thread 32 - PartitionProcessorThre...09-b561-5688a5302c7f-0-18 |  1161000 |   391000 |   454312438 |  15139351489 |         0 |      0 |  1502596339 |      0 |      0 |         0 
 41743 Thread 33 - PartitionProcessorThre...09-b561-5688a5302c7f-0-19 |  1166000 |   426000 |   467098465 |  15528194297 |         0 |      0 |  1443957414 |      0 |      0 |         0 
 41745 Thread 34 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-0 |  1186000 |   435000 |   476222250 |  15813440610 |         0 |      0 |  1371560209 |      0 |      0 |         0 
 41746 Thread 35 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-1 |  1207000 |   435000 |   482444449 |  16017946372 |         0 |      0 |  1188919552 |      0 |      0 |         0 
 41747 Thread 36 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-2 |  1172000 |   425000 |   470081578 |  15579860680 |         0 |      0 |  1223748882 |      0 |      0 |         0 
 41748 Thread 37 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-3 |  1116000 |   426000 |   453033153 |  15042574458 |         0 |      0 |  1281852667 |      0 |      0 |         0 
 41749 Thread 38 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-4 |  1174000 |   421000 |   469317379 |  15559641532 |         0 |      0 |  1305965295 |      0 |      0 |         0 
 41750 Thread 39 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-5 |  1186000 |   409000 |   470141735 |  15559856993 |         0 |      0 |  1262461433 |      0 |      0 |         0 
 41751 Thread 40 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-6 |  1252000 |   430000 |   494422887 |  16408256692 |         0 |      0 |  1345771112 |      0 |      0 |         0 
 41752 Thread 41 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-7 |  1297000 |   421000 |   506249945 |  16759881102 |      1024 |      0 |  1434149128 |      0 |      0 |         0 
 41753 Thread 42 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-8 |  1116000 |   420000 |   452959750 |  14984471891 |         0 |      0 |  1101257246 |      0 |      0 |         0 
 41754 Thread 43 - PartitionProcessorThre...f09-b561-5688a5302c7f-2-9 |  1196000 |   450000 |   485048160 |  16057465723 |         0 |      0 |  1340972433 |      0 |      0 |         0 
 41755 Thread 44 - PartitionProcessorThre...09-b561-5688a5302c7f-2-10 |  1176000 |   406000 |   465403426 |  15433492036 |         0 |      0 |  1286335437 |      0 |      0 |         0 
 41756 Thread 45 - PartitionProcessorThre...09-b561-5688a5302c7f-2-11 |  1234000 |   467000 |   501650453 |  16593985196 |         0 |      0 |  1452860581 |      0 |      0 |         0 
 41757 Thread 46 - PartitionProcessorThre...09-b561-5688a5302c7f-2-12 |  1219000 |   429000 |   485818981 |  16077053684 |         0 |      0 |  1471974478 |      0 |      0 |         0 
 41758 Thread 47 - PartitionProcessorThre...09-b561-5688a5302c7f-2-13 |  1192000 |   398000 |   468931176 |  15511140032 |         0 |      0 |  1414294053 |      0 |      0 |         0 
 41759 Thread 48 - PartitionProcessorThre...09-b561-5688a5302c7f-2-14 |  1188000 |   441000 |   480228118 |  15891768696 |         0 |      0 |  1399347242 |      0 |      0 |         0 
 41760 Thread 49 - PartitionProcessorThre...09-b561-5688a5302c7f-2-15 |  1248000 |   423000 |   490972871 |  16301331008 |         0 |      0 |  1325446853 |      0 |      0 |         0 
 41761 Thread 50 - PartitionProcessorThre...09-b561-5688a5302c7f-2-16 |  1215000 |   413000 |   479416328 |  15881811801 |         0 |      0 |  1461893126 |      0 |      0 |         0 
 41762 Thread 51 - PartitionProcessorThre...09-b561-5688a5302c7f-2-17 |  1258000 |   443000 |   501637172 |  16594410711 |         0 |      0 |  1284257795 |      0 |      0 |         0 
 41763 Thread 52 - PartitionProcessorThre...09-b561-5688a5302c7f-2-18 |  1155000 |   409000 |   459296504 |  15257449887 |         0 |      0 |  1375534302 |      0 |      0 |         0 
 41764 Thread 53 - PartitionProcessorThre...09-b561-5688a5302c7f-2-19 |  1177000 |   368000 |   454599168 |  15071952368 |         0 |      0 |  1424568228 |      0 |      0 |         0 
 41765 Thread 54 - PartitionProcessorThre...f09-b561-5688a5302c7f-1-0 |  1152000 |   388000 |   454613079 |  15023427856 |         0 |      0 |  1476860769 |      0 |      0 |         0 
 41766 Thread 55 - PartitionProcessorThre...f09-b561-5688a5302c7f-1-1 |  1170000 |   393000 |   461616836 |  15247793391 |         0 |      0 |  1192717126 |      0 |      0 |         0 
 41767 Thread 56 - PartitionProcessorThre...f09-b561-5688a5302c7f-1-2 |  1162000 |   382000 |   455991129 |  15062570778 |         0 |      0 |  1314547641 |      0 |      0 |         0 
 41768 Thread 57 - PartitionProcessorThre...f09-b561-5688a5302c7f-1-3 |  1186000 |   385000 |   464272028 |  15326198071 |         0 |      0 |  1286801570 |      0 |      0 |         0 
 41769 Thread 58 - PartitionProcessorThre...f09-b561-5688a5302c7f-1-4 |  1084000 |   374000 |   430119911 |  14223557677 |         0 |      0 |  1408106704 |      0 |      0 |         0 
 41770 Thread 59 - PartitionProcessorThre...f09-b561-5688a5302c7f-1-5 |  1143000 |   392000 |   453869883 |  14974573149 |         0 |      0 |  1090847312 |      0 |      0 |         0 
