                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 89531 Thread 1 - main                                                |   576000 |    87000 |    41592432 |   5023687678 |  21203968 |   1024 |     8584136 |       0 |      0 |         0 
 89553 Thread 2 - Reference Handler                                   |     5000 |        0 |      527324 |     38905253 |         0 |      0 |     3048104 |       0 |      0 |         0 
 89554 Thread 3 - Finalizer                                           |     5000 |        0 |      493609 |     38767246 |      5120 |      0 |      472566 |       0 |      0 |         0 
 89555 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       29786 |       0 |      0 |         0 
 89556 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       19204 |       0 |      0 |         0 
 89564 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29491000 | 32865000 | 18979688794 | 607246011051 | 636625920 | 129024 | 19945403495 | 4100054 |      0 |         0 
 89566 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   196000 |    40000 |    70246210 |   2291011702 |   6336512 |   5120 |    21301120 |  300657 |      0 |         0 
 89569 Thread 14 - PartitionProcessorThre...337-ab0d-47af969766b1-0-0 |  1376000 |   493000 |   567571464 |  18224239923 |     33792 |      0 |  1505997280 |       0 |      0 |         0 
 89570 Thread 15 - PartitionProcessorThre...337-ab0d-47af969766b1-0-1 |  1445000 |   486000 |   585055967 |  18830847755 |    124928 |      0 |  1466293981 |       0 |      0 |         0 
 89571 Thread 16 - PartitionProcessorThre...337-ab0d-47af969766b1-0-2 |  1318000 |   478000 |   545473694 |  17512802782 |      6144 |      0 |  1320994851 |       0 |      0 |         0 
 89572 Thread 17 - PartitionProcessorThre...337-ab0d-47af969766b1-0-3 |  1376000 |   512000 |   572532315 |  18421027423 |         0 |      0 |  1447991206 |       0 |      0 |         0 
 89573 Thread 18 - PartitionProcessorThre...337-ab0d-47af969766b1-0-4 |  1406000 |   485000 |   574982050 |  18447891915 |         0 |      0 |  1471975053 |       0 |      0 |         0 
 89574 Thread 19 - PartitionProcessorThre...337-ab0d-47af969766b1-0-5 |  1339000 |   440000 |   540539425 |  17354229837 |         0 |      0 |  1357431766 |       0 |      0 |         0 
 89575 Thread 20 - PartitionProcessorThre...337-ab0d-47af969766b1-0-6 |  1331000 |   454000 |   541667796 |  17415556771 |      1024 |      0 |  1502724870 |       0 |      0 |         0 
 89576 Thread 21 - PartitionProcessorThre...337-ab0d-47af969766b1-0-7 |  1427000 |   450000 |   569638424 |  18310458134 |         0 |      0 |  1483496064 |       0 |      0 |         0 
 89577 Thread 22 - PartitionProcessorThre...337-ab0d-47af969766b1-0-8 |  1372000 |   436000 |   548876389 |  17641038138 |         0 |      0 |  1562164632 |       0 |      0 |         0 
 89578 Thread 23 - PartitionProcessorThre...337-ab0d-47af969766b1-0-9 |  1243000 |   410000 |   502742765 |  16128412587 |         0 |      0 |  1479121416 |       0 |      0 |         0 
 89579 Thread 24 - PartitionProcessorThre...37-ab0d-47af969766b1-0-10 |  1303000 |   453000 |   535599975 |  17132779568 |         0 |      0 |  1437827939 |       0 |      0 |         0 
 89580 Thread 25 - PartitionProcessorThre...37-ab0d-47af969766b1-0-11 |  1294000 |   454000 |   532041671 |  17055793517 |         0 |      0 |  1291779504 |       0 |      0 |         0 
 89581 Thread 26 - PartitionProcessorThre...37-ab0d-47af969766b1-0-12 |  1265000 |   454000 |   520993593 |  16771310728 |      1024 |      0 |  1631023756 |       0 |      0 |         0 
 89582 Thread 27 - PartitionProcessorThre...37-ab0d-47af969766b1-0-13 |  1249000 |   440000 |   513743222 |  16478594017 |         0 |      0 |  1538995597 |       0 |      0 |         0 
 89583 Thread 28 - PartitionProcessorThre...37-ab0d-47af969766b1-0-14 |  1375000 |   448000 |   554032139 |  17787413653 |         0 |      0 |  1468706574 |       0 |      0 |         0 
 89584 Thread 29 - PartitionProcessorThre...37-ab0d-47af969766b1-0-15 |  1345000 |   487000 |   558049159 |  17875231087 |         0 |      0 |  1532078289 |       0 |      0 |         0 
 89585 Thread 30 - PartitionProcessorThre...37-ab0d-47af969766b1-0-16 |  1418000 |   477000 |   574186241 |  18485367747 |     24576 |      0 |  1503406888 |       0 |      0 |         0 
 89586 Thread 31 - PartitionProcessorThre...37-ab0d-47af969766b1-0-17 |  1337000 |   463000 |   547476018 |  17563031622 |      3072 |      0 |  1541389517 |       0 |      0 |         0 
 89587 Thread 32 - PartitionProcessorThre...37-ab0d-47af969766b1-0-18 |  1334000 |   480000 |   549340733 |  17697759446 |     11264 |      0 |  1271146195 |       0 |      0 |         0 
 89588 Thread 33 - PartitionProcessorThre...37-ab0d-47af969766b1-0-19 |  1314000 |   475000 |   542837022 |  17454572310 |         0 |      0 |  1661460226 |       0 |      0 |         0 
 89589 Thread 34 - PartitionProcessorThre...337-ab0d-47af969766b1-2-0 |  1328000 |   447000 |   544715327 |  17320321591 |         0 |      0 |  1433708279 |       0 |      0 |         0 
 89590 Thread 35 - PartitionProcessorThre...337-ab0d-47af969766b1-2-1 |  1327000 |   504000 |   562120046 |  17865818068 |         0 |      0 |  1591603076 |       0 |      0 |         0 
 89591 Thread 36 - PartitionProcessorThre...337-ab0d-47af969766b1-2-2 |  1359000 |   461000 |   558991057 |  17758984216 |         0 |      0 |  1403686950 |       0 |      0 |         0 
 89592 Thread 37 - PartitionProcessorThre...337-ab0d-47af969766b1-2-3 |  1267000 |   439000 |   524806804 |  16647113673 |         0 |      0 |  1469474497 |       0 |      0 |         0 
 89593 Thread 38 - PartitionProcessorThre...337-ab0d-47af969766b1-2-4 |  1252000 |   421000 |   512933905 |  16324636470 |         0 |      0 |  1567674200 |       0 |      0 |         0 
 89594 Thread 39 - PartitionProcessorThre...337-ab0d-47af969766b1-2-5 |  1302000 |   442000 |   534458253 |  17017645665 |         0 |      0 |  1423368602 |       0 |      0 |         0 
 89595 Thread 40 - PartitionProcessorThre...337-ab0d-47af969766b1-2-6 |  1304000 |   458000 |   540531030 |  17193457583 |         0 |      0 |  1529151368 |       0 |      0 |         0 
 89596 Thread 41 - PartitionProcessorThre...337-ab0d-47af969766b1-2-7 |  1337000 |   457000 |   550047034 |  17505611443 |         0 |      0 |  1451441074 |       0 |      0 |         0 
 89597 Thread 42 - PartitionProcessorThre...337-ab0d-47af969766b1-2-8 |  1248000 |   467000 |   526307308 |  16734436462 |         0 |      0 |  1384337329 |       0 |      0 |         0 
 89598 Thread 43 - PartitionProcessorThre...337-ab0d-47af969766b1-2-9 |  1299000 |   445000 |   535473331 |  17017678091 |         0 |      0 |  1544145865 |       0 |      0 |         0 
