                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 87090 Thread 1 - main                                                |   590000 |    75000 |    40906705 |   5042748565 |  21195776 |   1024 |     5522192 |      0 |      0 |         0 
 87112 Thread 2 - Reference Handler                                   |     8000 |     1000 |     1022734 |     71752480 |         0 |      0 |     1326901 |      0 |      0 |         0 
 87113 Thread 3 - Finalizer                                           |     9000 |     1000 |     1282707 |     80903027 |     13312 |      0 |     1634614 |      0 |      0 |         0 
 87114 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 87115 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      294566 |      9755714 |         0 |      0 |       97484 |      0 |      0 |         0 
 87124 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 25874000 | 29259000 | 15945676898 | 536538449361 | 585531392 | 132096 | 17772080123 | 125949 |      0 |         0 
 87126 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   199000 |    42000 |    69987136 |   2347923714 |   6164480 |   5120 |    24914629 | 253879 |      0 |         0 
 87129 Thread 14 - PartitionProcessorThre...aa5-8d98-2f3e4866fff7-1-0 |  1195000 |   431000 |   469724990 |  15844264783 |     34816 |      0 |  1470721461 |      0 |      0 |         0 
 87130 Thread 15 - PartitionProcessorThre...aa5-8d98-2f3e4866fff7-1-1 |  1236000 |   390000 |   470149889 |  15849160525 |    120832 |      0 |  1498832195 |      0 |      0 |         0 
 87131 Thread 16 - PartitionProcessorThre...aa5-8d98-2f3e4866fff7-1-2 |  1168000 |   433000 |   463087721 |  15608727915 |         0 |      0 |  1467616596 |      0 |      0 |         0 
 87132 Thread 17 - PartitionProcessorThre...aa5-8d98-2f3e4866fff7-1-3 |  1231000 |   384000 |   467294404 |  15748314259 |      3072 |      0 |  1507980010 |      0 |      0 |         0 
 87133 Thread 18 - PartitionProcessorThre...aa5-8d98-2f3e4866fff7-1-4 |  1254000 |   465000 |   498094662 |  16767539560 |         0 |      0 |  1511235602 |      0 |      0 |         0 
