                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 6984 Thread 1 - main                                                |   641000 |   167000 |    47437338 |   6104846717 |  21206016 |   1024 |    11728786 |       0 |      0 |         0 
 7006 Thread 2 - Reference Handler                                   |     8000 |        0 |      884499 |     64054234 |         0 |      0 |      498071 |       0 |      0 |         0 
 7007 Thread 3 - Finalizer                                           |     7000 |     1000 |      647402 |     61288855 |      5120 |      0 |      542387 |       0 |      0 |         0 
 7008 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       70212 |       0 |      0 |         0 
 7009 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        8320 |       0 |      0 |         0 
 7018 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 33522000 | 34380000 | 20756109979 | 661262485337 | 636478464 | 125952 | 19758337305 |  128293 |      0 |         0 
 7020 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   227000 |    58000 |    85896444 |   2772201144 |   6500352 |   5120 |    21876597 |  588316 |      0 |         0 
 7024 Thread 14 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-0 |  1339000 |   475000 |   550388953 |  17679648860 |     39936 |      0 |  1645074329 |       0 |      0 |         0 
 7025 Thread 15 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-1 |  1341000 |   448000 |   544200520 |  17451927493 |         0 |      0 |  1694120676 |       0 |      0 |         0 
 7026 Thread 16 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-2 |  1419000 |   470000 |   573743270 |  18428298462 |         0 |      0 |  1568757290 |       0 |      0 |         0 
 7027 Thread 17 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-3 |  1321000 |   481000 |   549099000 |  17580778353 |         0 |      0 |  1795054414 |       0 |      0 |         0 
 7028 Thread 18 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-4 |  1341000 |   439000 |   542372305 |  17365652818 |         0 |      0 |  1780503496 |       0 |      0 |         0 
 7029 Thread 19 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-5 |  1379000 |   507000 |   574376059 |  18394695985 |    117760 |      0 |  1664351457 |       0 |      0 |         0 
 7030 Thread 20 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-6 |  1314000 |   498000 |   549422492 |  17676590216 |         0 |      0 |  1650361198 |       0 |      0 |         0 
 7031 Thread 21 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-7 |  1291000 |   509000 |   546693176 |  17558365818 |         0 |      0 |  1526959430 |       0 |      0 |         0 
 7032 Thread 22 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-8 |  1375000 |   450000 |   554153496 |  17802527439 |      1024 |      0 |  1626159401 |       0 |      0 |         0 
 7033 Thread 23 - PartitionProcessorThre...6b7-aa59-01d2212c501a-0-9 |  1330000 |   448000 |   542242028 |  17347010204 |         0 |      0 |  1681926867 |       0 |      0 |         0 
 7034 Thread 24 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-10 |  1369000 |   434000 |   548868317 |  17590643759 |         0 |      0 |  1714243205 |       0 |      0 |         0 
 7035 Thread 25 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-11 |  1339000 |   518000 |   564805848 |  18117691767 |         0 |      0 |  1530558237 |       0 |      0 |         0 
 7036 Thread 26 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-12 |  1351000 |   468000 |   554038989 |  17747941357 |      1024 |      0 |  1680898454 |       0 |      0 |         0 
 7037 Thread 27 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-13 |  1346000 |   485000 |   559265789 |  17863516204 |         0 |      0 |  1721070550 |       0 |      0 |         0 
 7038 Thread 28 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-14 |  1510000 |   511000 |   617234273 |  19719453852 |         0 |      0 |  1799344629 |       0 |      0 |         0 
 7039 Thread 29 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-15 |  1377000 |   477000 |   562675301 |  18082935165 |     44032 |      0 |  1753233441 |       0 |      0 |         0 
 7040 Thread 30 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-16 |  1324000 |   513000 |   560925883 |  17922424235 |         0 |      0 |  1684967064 |       0 |      0 |         0 
 7041 Thread 31 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-17 |  1338000 |   446000 |   545558555 |  17407132728 |         0 |      0 |  1484582651 | 3870343 |      0 |         0 
 7042 Thread 32 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-18 |  1389000 |   473000 |   568448262 |  18167718528 |         0 |      0 |  1753544392 |       0 |      0 |         0 
 7043 Thread 33 - PartitionProcessorThre...b7-aa59-01d2212c501a-0-19 |  1371000 |   442000 |   554313278 |  17690831216 |         0 |      0 |  1627929081 |       0 |      0 |         0 
 7044 Thread 34 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-0 |  1418000 |   467000 |   579254457 |  18392674939 |         0 |      0 |  1810425398 |       0 |      0 |         0 
 7045 Thread 35 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-1 |  1332000 |   447000 |   547334071 |  17358295966 |         0 |      0 |  1818379473 |       0 |      0 |         0 
 7046 Thread 36 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-2 |  1346000 |   435000 |   547105098 |  17377802005 |         0 |      0 |  1721786382 |       0 |      0 |         0 
 7047 Thread 37 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-3 |  1391000 |   462000 |   569273516 |  18079844532 |         0 |      0 |  1741227195 |       0 |      0 |         0 
 7048 Thread 38 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-4 |  1327000 |   504000 |   564088981 |  17865758841 |         0 |      0 |  1833277678 |       0 |      0 |         0 
 7049 Thread 39 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-5 |  1375000 |   453000 |   560706500 |  17836779970 |         0 |      0 |  1517303142 |       0 |      0 |         0 
 7050 Thread 40 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-6 |  1331000 |   433000 |   542400973 |  17212181755 |         0 |      0 |  1703663362 |       0 |      0 |         0 
 7051 Thread 41 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-7 |  1377000 |   475000 |   569382918 |  18071470181 |         0 |      0 |  1592597702 |       0 |      0 |         0 
 7052 Thread 42 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-8 |  1295000 |   452000 |   535455461 |  17046852118 |         0 |      0 |  1439839665 |       0 |      0 |         0 
 7053 Thread 43 - PartitionProcessorThre...6b7-aa59-01d2212c501a-1-9 |  1297000 |   465000 |   539920977 |  17192709728 |         0 |      0 |  1771495162 |       0 |      0 |         0 
 7054 Thread 44 - PartitionProcessorThre...b7-aa59-01d2212c501a-1-10 |  1314000 |   493000 |   554852782 |  17631469669 |         0 |      0 |  1634522340 |       0 |      0 |         0 
 7055 Thread 45 - PartitionProcessorThre...b7-aa59-01d2212c501a-1-11 |  1327000 |   465000 |   551422680 |  17486397650 |         0 |      0 |  1681350510 |       0 |      0 |         0 
 7056 Thread 46 - PartitionProcessorThre...b7-aa59-01d2212c501a-1-12 |  1480000 |   449000 |   592858289 |  18822360286 |         0 |      0 |  1646138096 |       0 |      0 |         0 
 7057 Thread 47 - PartitionProcessorThre...b7-aa59-01d2212c501a-1-13 |  1374000 |   458000 |   561830012 |  17875786747 |         0 |      0 |  1514865208 |       0 |      0 |         0 
 7058 Thread 48 - PartitionProcessorThre...b7-aa59-01d2212c501a-1-14 |  1378000 |   436000 |   556926031 |  17699826470 |      3072 |      0 |  1671324054 |       0 |      0 |         0 
