                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 4132 Thread 1 - main                                                |   622000 |   144000 |    44286916 |   5775820100 |  21206016 |   1024 |     6961940 |      0 |      0 |         0 
 4154 Thread 2 - Reference Handler                                   |     6000 |        0 |      953738 |     50607164 |         0 |      0 |      488656 |      0 |      0 |         0 
 4155 Thread 3 - Finalizer                                           |     5000 |     1000 |      486332 |     45828363 |      5120 |      0 |     1444074 |      0 |      0 |         0 
 4156 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |      108976 |      7836253 |         0 |      0 |           0 |      0 |      0 |         0 
 4157 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       26714 |      7292289 |         0 |      0 |           0 |      0 |      0 |         0 
 4166 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28809000 | 31072000 | 17879275233 | 582861136784 | 585511936 | 141312 | 19425685235 | 172168 |      0 |         0 
 4168 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   207000 |    46000 |    75294433 |   2462525343 |   6205440 |   5120 |    41422446 | 545841 |      0 |         0 
 4172 Thread 14 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-0 |  1285000 |   454000 |   516784339 |  16963061247 |         0 |      0 |  1825428679 |      0 |      0 |         0 
 4173 Thread 15 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-1 |  1257000 |   420000 |   496003042 |  16336738638 |     37888 |      0 |  1819613045 |      0 |      0 |         0 
 4174 Thread 16 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-2 |  1324000 |   418000 |   515754675 |  16989717173 |         0 |      0 |  1894719619 |      0 |      0 |         0 
 4175 Thread 17 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-3 |  1353000 |   436000 |   530728140 |  17446612177 |      3072 |      0 |  1767727124 |      0 |      0 |         0 
 4176 Thread 18 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-4 |  1293000 |   451000 |   518930878 |  17008089568 |         0 |      0 |  1935485565 |      0 |      0 |         0 
 4177 Thread 19 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-5 |  1328000 |   406000 |   515126886 |  16908253697 |    117760 |      0 |  1597696145 |      0 |      0 |         0 
 4178 Thread 20 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-6 |  1306000 |   392000 |   503572734 |  16559540466 |         0 |      0 |  1618660622 |      0 |      0 |         0 
 4179 Thread 21 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-7 |  1332000 |   405000 |   515445491 |  16941828759 |         0 |      0 |  1783555682 |      0 |      0 |         0 
 4180 Thread 22 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-8 |  1291000 |   433000 |   514387964 |  16814488458 |         0 |      0 |  1578755949 |      0 |      0 |         0 
 4181 Thread 23 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-1-9 |  1357000 |   385000 |   519108784 |  16989223990 |         0 |      0 |  1779354842 |      0 |      0 |         0 
 4182 Thread 24 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-10 |  1321000 |   431000 |   518719995 |  17086723419 |      5120 |      0 |  2111877480 |      0 |      0 |         0 
 4183 Thread 25 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-11 |  1376000 |   390000 |   522910015 |  17224023736 |         0 |      0 |  1869616459 |      0 |      0 |         0 
 4184 Thread 26 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-12 |  1395000 |   439000 |   545484370 |  17889887743 |  10831872 |      0 |  1831456141 |      0 |      0 |         0 
 4185 Thread 27 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-13 |  1248000 |   421000 |   498788038 |  16278290888 |         0 |      0 |  1633293420 |      0 |      0 |         0 
 4186 Thread 28 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-14 |  1306000 |   436000 |   516704894 |  16990682579 |         0 |      0 |  1596355554 |      0 |      0 |         0 
 4187 Thread 29 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-15 |  1352000 |   435000 |   531681991 |  17430912200 |         0 |      0 |  2081663701 |      0 |      0 |         0 
 4188 Thread 30 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-16 |  1329000 |   395000 |   513945464 |  16816090490 |         0 |      0 |  1673831244 |      0 |      0 |         0 
 4189 Thread 31 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-17 |  1265000 |   442000 |   506705452 |  16650855224 |         0 |      0 |  2052169899 |      0 |      0 |         0 
 4190 Thread 32 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-18 |  1292000 |   426000 |   510169835 |  16754987013 |     36864 |      0 |  1600899575 |      0 |      0 |         0 
 4191 Thread 33 - PartitionProcessorThre...4b-a8b2-553c34f97b5c-1-19 |  1239000 |   394000 |   482421410 |  15926119576 |         0 |      0 |  1685179908 |      0 |      0 |         0 
 4192 Thread 34 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-2-0 |  1260000 |   405000 |   498373089 |  16242474759 |         0 |      0 |  1735020567 |      0 |      0 |         0 
 4193 Thread 35 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-2-1 |  1273000 |   419000 |   506890097 |  16504872681 |         0 |      0 |  1771867909 |      0 |      0 |         0 
 4194 Thread 36 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-2-2 |  1280000 |   438000 |   516254452 |  16758629798 |         0 |      0 |  1706269530 |      0 |      0 |         0 
 4195 Thread 37 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-2-3 |  1285000 |   421000 |   512337097 |  16642309372 |         0 |      0 |  1644734269 |      0 |      0 |         0 
 4196 Thread 38 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-2-4 |  1223000 |   386000 |   482195621 |  15696153400 |         0 |      0 |  1700368517 |      0 |      0 |         0 
 4197 Thread 39 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-2-5 |  1280000 |   372000 |   494299734 |  16115461673 |         0 |      0 |  1672032542 |      0 |      0 |         0 
 4198 Thread 40 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-2-6 |  1188000 |   384000 |   472688621 |  15335405998 |         0 |      0 |  1404004489 |      0 |      0 |         0 
 4199 Thread 41 - PartitionProcessorThre...94b-a8b2-553c34f97b5c-2-7 |  1340000 |   419000 |   527030620 |  17159594325 |         0 |      0 |  1649539616 |      0 |      0 |         0 
