                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 155467 Thread 1 - main                                                |   568000 |    79000 |    38795947 |   4882504912 |  21055488 |   1024 |     4808955 |      0 |      0 |         0 
 155489 Thread 2 - Reference Handler                                   |     5000 |        0 |      641624 |     40685082 |         0 |      0 |        9301 |      0 |      0 |         0 
 155490 Thread 3 - Finalizer                                           |     6000 |        0 |      490078 |     45691957 |      5120 |      0 |     3075104 |      0 |      0 |         0 
 155491 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 155492 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       16354 |      0 |      0 |         0 
 155502 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29432000 | 32231000 | 18151498417 | 600447292345 | 637508608 | 131072 | 18567168305 | 103499 |      0 |         0 
 155503 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   184000 |    50000 |    68489753 |   2279219448 |   5609472 |   5120 |    18097566 | 187311 |      0 |         0 
 155507 Thread 14 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-0 |  1227000 |   461000 |   497342047 |  16470559247 |         0 |      0 |  1503200338 |      0 |      0 |         0 
 155508 Thread 15 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-1 |  1245000 |   447000 |   498710836 |  16508079504 |         0 |      0 |  1343473927 |      0 |      0 |         0 
 155509 Thread 16 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-2 |  1203000 |   404000 |   474097957 |  15674469852 |     33792 |      0 |  1426731545 |      0 |      0 |         0 
 155510 Thread 17 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-3 |  1224000 |   481000 |   501889805 |  16632683446 |         0 |      0 |  1295234626 |      0 |      0 |         0 
 155511 Thread 18 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-4 |  1216000 |   448000 |   490627981 |  16234607973 |         0 |      0 |  1416432730 |      0 |      0 |         0 
 155512 Thread 19 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-5 |  1252000 |   445000 |   500466313 |  16558370719 |         0 |      0 |  1338075069 |      0 |      0 |         0 
 155513 Thread 20 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-6 |  1369000 |   457000 |   536230633 |  17810107457 |         0 |      0 |  1425174658 |      0 |      0 |         0 
 155514 Thread 21 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-7 |  1335000 |   430000 |   520166203 |  17222096450 |         0 |      0 |  1383163286 |      0 |      0 |         0 
 155515 Thread 22 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-8 |  1326000 |   464000 |   526754754 |  17465907817 |         0 |      0 |  1355528660 |      0 |      0 |         0 
 155516 Thread 23 - PartitionProcessorThre...30b-98aa-c9326bab7178-0-9 |  1289000 |   431000 |   508141914 |  16781398364 |      1024 |      0 |  1455738710 |      0 |      0 |         0 
 155517 Thread 24 - PartitionProcessorThre...0b-98aa-c9326bab7178-0-10 |  1249000 |   414000 |   490943020 |  16224653157 |         0 |      0 |  1209441237 |      0 |      0 |         0 
 155518 Thread 25 - PartitionProcessorThre...0b-98aa-c9326bab7178-0-11 |  1228000 |   440000 |   492598477 |  16273320575 |      6144 |      0 |  1362968879 |      0 |      0 |         0 
 155519 Thread 26 - PartitionProcessorThre...0b-98aa-c9326bab7178-0-12 |  1196000 |   430000 |   480277852 |  15864122137 |     35840 |      0 |  1470683068 |      0 |      0 |         0 
 155520 Thread 27 - PartitionProcessorThre...0b-98aa-c9326bab7178-0-13 |  1216000 |   475000 |   499361403 |  16498890086 |      1024 |      0 |  1388913699 |      0 |      0 |         0 
 155521 Thread 28 - PartitionProcessorThre...0b-98aa-c9326bab7178-0-14 |  1285000 |   436000 |   507899781 |  16792550672 |         0 |      0 |  1393330365 |      0 |      0 |         0 
 155522 Thread 29 - PartitionProcessorThre...0b-98aa-c9326bab7178-0-15 |  1276000 |   402000 |   495682356 |  16373051645 |         0 |      0 |  1238733214 |      0 |      0 |         0 
