                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 152910 Thread 1 - main                                                |   580000 |    69000 |    38473705 |   4908623017 |  21055488 |   1024 |     2454523 |       0 |      0 |         0 
 152932 Thread 2 - Reference Handler                                   |     7000 |        0 |      611613 |     53399527 |         0 |      0 |     3227903 |       0 |      0 |         0 
 152933 Thread 3 - Finalizer                                           |     4000 |        0 |      347085 |     30794265 |      5120 |      0 |     1775326 |       0 |      0 |         0 
 152934 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       38560 |       0 |      0 |         0 
 152935 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      299500 |      9755031 |         0 |      0 |       35446 |       0 |      0 |         0 
 152943 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26516000 | 29534000 | 16526441224 | 545489856062 | 586143744 | 131072 | 17742075131 |  179486 |      0 |         0 
 152944 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   183000 |    45000 |    67045136 |   2220096265 |   5729280 |   5120 |    27664305 | 2725938 |      0 |         0 
 152947 Thread 14 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-0 |  1214000 |   393000 |   475357707 |  15664464047 |      3072 |      0 |  1587900436 |       0 |      0 |         0 
 152948 Thread 15 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-1 |  1248000 |   370000 |   476695140 |  15758526626 |     36864 |      0 |  1341664039 |       0 |      0 |         0 
 152949 Thread 16 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-2 |  1204000 |   388000 |   470852285 |  15523302774 |         0 |      0 |  1527630263 |       0 |      0 |         0 
 152950 Thread 17 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-3 |  1198000 |   412000 |   473079555 |  15688772653 |         0 |      0 |  1415461274 |       0 |      0 |         0 
 152951 Thread 18 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-4 |  1209000 |   367000 |   464452934 |  15363391747 |     65536 |      0 |  1479917655 |       0 |      0 |         0 
 152953 Thread 19 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-5 |  1261000 |   425000 |   496255781 |  16442607407 |         0 |      0 |  1320952515 |       0 |      0 |         0 
 152954 Thread 20 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-6 |  1188000 |   459000 |   485412855 |  16060002778 |     53248 |      0 |  1326209973 |       0 |      0 |         0 
 152955 Thread 21 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-7 |  1212000 |   429000 |   485120168 |  16005209094 |      3072 |      0 |  1430718853 |       0 |      0 |         0 
 152956 Thread 22 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-8 |  1188000 |   365000 |   457774645 |  15148159391 |         0 |      0 |  1441369537 |       0 |      0 |         0 
 152957 Thread 23 - PartitionProcessorThre...451-bd65-183c9eea3bcb-1-9 |  1204000 |   406000 |   474801801 |  15703926833 |         0 |      0 |  1418881888 |       0 |      0 |         0 
 152958 Thread 24 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-10 |  1210000 |   404000 |   477349289 |  15744369637 |         0 |      0 |  1416903775 |       0 |      0 |         0 
 152959 Thread 25 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-11 |  1232000 |   425000 |   487984906 |  16162796001 |         0 |      0 |  1320909138 |       0 |      0 |         0 
 152960 Thread 26 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-12 |  1170000 |   421000 |   470333758 |  15518872856 |         0 |      0 |  1342521873 |       0 |      0 |         0 
 152961 Thread 27 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-13 |  1260000 |   409000 |   493391176 |  16280023641 |         0 |      0 |  1296423589 |       0 |      0 |         0 
 152962 Thread 28 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-14 |  1168000 |   446000 |   475471973 |  15737765501 |     43008 |      0 |  1320608782 |       0 |      0 |         0 
 152963 Thread 29 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-15 |  1192000 |   397000 |   469525625 |  15500514352 |         0 |      0 |  1496711198 |       0 |      0 |         0 
 152964 Thread 30 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-16 |  1189000 |   408000 |   471984883 |  15576607536 |         0 |      0 |  1343085787 |       0 |      0 |         0 
 152965 Thread 31 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-17 |  1163000 |   432000 |   471911125 |  15558901864 |         0 |      0 |  1402758197 |       0 |      0 |         0 
 152966 Thread 32 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-18 |  1161000 |   401000 |   461876840 |  15234752024 |         0 |      0 |  1468956404 |       0 |      0 |         0 
 152967 Thread 33 - PartitionProcessorThre...51-bd65-183c9eea3bcb-1-19 |  1131000 |   374000 |   444975316 |  14679838341 |         0 |      0 |  1460358385 |       0 |      0 |         0 
 152968 Thread 34 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-0 |  1201000 |   441000 |   487159715 |  16018208797 |         0 |      0 |  1352535571 |       0 |      0 |         0 
 152969 Thread 35 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-1 |  1214000 |   391000 |   476234598 |  15656902184 |         0 |      0 |  1419029224 |       0 |      0 |         0 
 152970 Thread 36 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-2 |  1259000 |   394000 |   491698219 |  16125576293 |         0 |      0 |  1408912207 |       0 |      0 |         0 
 152971 Thread 37 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-3 |  1240000 |   413000 |   491805621 |  16125208872 |         0 |      0 |  1421846684 |       0 |      0 |         0 
 152972 Thread 38 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-4 |  1205000 |   422000 |   483050605 |  15871815926 |         0 |      0 |  1565825891 |       0 |      0 |         0 
 152973 Thread 39 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-5 |  1260000 |   385000 |   488408258 |  16047960376 |         0 |      0 |  1441939455 |       0 |      0 |         0 
 152974 Thread 40 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-6 |  1266000 |   384000 |   490884836 |  16096567848 |         0 |      0 |  1337041195 |       0 |      0 |         0 
 152975 Thread 41 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-7 |  1208000 |   389000 |   474733887 |  15579567751 |         0 |      0 |  1207607619 |       0 |      0 |         0 
 152976 Thread 42 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-8 |  1135000 |   381000 |   450070649 |  14789462966 |         0 |      0 |  1334909264 |       0 |      0 |         0 
 152977 Thread 43 - PartitionProcessorThre...451-bd65-183c9eea3bcb-2-9 |  1221000 |   417000 |   486397066 |  15979124106 |         0 |      0 |  1566282914 |       0 |      0 |         0 
 152978 Thread 44 - PartitionProcessorThre...51-bd65-183c9eea3bcb-2-10 |  1258000 |   405000 |   494463414 |  16223582446 |         0 |      0 |  1363700113 |       0 |      0 |         0 
