                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 39506 Thread 1 - main                                                |  1048000 |   119000 |    78416072 |   8239074075 |  15109120 |   1024 |    14590043 |      0 |      0 |         0 
 39513 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |      368418 |      0 |      0 |         0 
 39514 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       37172 |      0 |      0 |         0 
 39515 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 39521 Thread 11 - Common-Cleaner                                     |     1000 |        0 |      347839 |      9920894 |         0 |      0 |      850250 |      0 |      0 |         0 
 39526 Thread 13 - RMI Scheduler(0)                                   |     1000 |     2000 |      742992 |     26756113 |      1024 |      0 |       14735 |      0 |      0 |         0 
 39532 Thread 14 - RMI RenewClean-[10.231.182.152:42018]              |     1000 |        0 |       85027 |      7437511 |         0 |      0 |        9939 |      0 |      0 |         0 
 39533 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |       16581 |      0 |      0 |         0 
 39535 Thread 16 - logging-metrics-publisher                          |   228000 |    19000 |    76689542 |   2396993394 |     17408 | 338944 |    68444346 |      0 |      0 |         0 
 39537 Thread 17 - DecatonSubscriptionThread-decaton-benchmark        | 27855000 | 36064000 | 20833700803 | 630800973812 | 624259072 | 108544 | 18291592363 | 115145 |      0 |         0 
 39543 Thread 18 - kafka-coordinator-hear...hread | decaton-benchmark |   263000 |    34000 |    96335136 |   2933124546 |   6218752 |   5120 |    16582176 | 256571 |      0 |         0 
 39547 Thread 19 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-0 |  2043000 |   413000 |   792121678 |  24233767164 |     43008 |      0 |  1457912662 |      0 |      0 |         0 
 39548 Thread 20 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-1 |  2061000 |   427000 |   807119924 |  24565490106 |         0 |      0 |  1642226156 |      0 |      0 |         0 
 39549 Thread 21 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-2 |  2005000 |   419000 |   787330764 |  23943228207 |         0 |      0 |  1145497983 |      0 |      0 |         0 
 39550 Thread 22 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-3 |  2002000 |   438000 |   789893366 |  24089513805 |      8192 |      0 |  1368890931 |      0 |      0 |         0 
 39551 Thread 23 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-4 |  1998000 |   368000 |   765889542 |  23354886758 |         0 |      0 |  1350355318 |      0 |      0 |         0 
 39552 Thread 24 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-5 |  2093000 |   401000 |   810056623 |  24632856110 |      2048 |      0 |  1487462756 |      0 |      0 |         0 
 39553 Thread 25 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-6 |  2017000 |   468000 |   805711678 |  24541488606 |         0 |      0 |  1633326889 |      0 |      0 |         0 
 39554 Thread 26 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-7 |  2017000 |   394000 |   781571651 |  23806617762 |         0 |      0 |  1651370885 |      0 |      0 |         0 
 39555 Thread 27 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-8 |  2001000 |   410000 |   781719569 |  23808715996 |         0 |      0 |  1514462923 |      0 |      0 |         0 
 39556 Thread 28 - PartitionProcessorThre...6e5-b39f-16778af97d23-1-9 |  2017000 |   437000 |   794492288 |  24236519879 |         0 |      0 |  1356462374 |      0 |      0 |         0 
 39557 Thread 29 - PartitionProcessorThre...e5-b39f-16778af97d23-1-10 |  2010000 |   444000 |   797083791 |  24238151407 |         0 |      0 |  1630621255 |      0 |      0 |         0 
 39558 Thread 30 - PartitionProcessorThre...e5-b39f-16778af97d23-1-11 |  2027000 |   380000 |   778578264 |  23770421914 |         0 |      0 |  1242017391 |      0 |      0 |         0 
 39559 Thread 31 - PartitionProcessorThre...e5-b39f-16778af97d23-1-12 |  2025000 |   420000 |   789921151 |  24140247793 |         0 |      0 |  1481706995 |      0 |      0 |         0 
 39560 Thread 32 - PartitionProcessorThre...e5-b39f-16778af97d23-1-13 |  2010000 |   418000 |   785049612 |  23969970196 |         0 |      0 |  1372045462 |      0 |      0 |         0 
 39561 Thread 33 - PartitionProcessorThre...e5-b39f-16778af97d23-1-14 |  2060000 |   454000 |   813763229 |  24821392637 |         0 |      0 |  1637834780 |      0 |      0 |         0 
