                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 122154 Thread 1 - main                                                |   743000 |   113000 |    53631439 |   6539095315 |  22118400 |   1024 |     5526772 |      0 |      0 |         0 
 122176 Thread 2 - Reference Handler                                   |     6000 |     1000 |      682464 |     56438984 |         0 |      0 |     2535410 |      0 |      0 |         0 
 122177 Thread 3 - Finalizer                                           |     6000 |        0 |      498601 |     46746464 |      5120 |      0 |      209881 |      0 |      0 |         0 
 122178 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 122179 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        8101 |      0 |      0 |         0 
 122189 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      854925 |     29272570 |      4096 |      0 |      116268 |      0 |      0 |         0 
 122190 Thread 13 - RMI RenewClean-[10.231.182.152:43409]              |        0 |        0 |           0 |            0 |      1024 |      0 |       20545 |      0 |      0 |         0 
 122191 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 122193 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 32000000 | 34636000 | 19083608727 | 649285805543 | 635114496 | 128000 | 21319215976 | 119749 |      0 |         0 
 122194 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   241000 |    57000 |    84933608 |   2903760577 |   7663616 |   4096 |    48338769 | 289095 |      0 |         0 
 122198 Thread 17 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-0 |  1490000 |   413000 |   542978383 |  18567881946 |      4096 |      0 |  1839123749 |      0 |      0 |         0 
 122199 Thread 18 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-1 |  1494000 |   479000 |   559424766 |  19233252078 |    155648 |      0 |  1574318735 |      0 |      0 |         0 
 122200 Thread 19 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-2 |  1431000 |   432000 |   532182125 |  18182734149 |         0 |      0 |  1855726023 |      0 |      0 |         0 
 122201 Thread 20 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-3 |  1423000 |   502000 |   547983992 |  18783291637 |         0 |      0 |  1683616303 |      0 |      0 |         0 
 122202 Thread 21 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-4 |  1433000 |   453000 |   537703867 |  18406504000 |         0 |      0 |  1688611022 |      0 |      0 |         0 
 122203 Thread 22 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-5 |  1387000 |   493000 |   535098051 |  18348147469 |         0 |      0 |  1793516019 |      0 |      0 |         0 
 122204 Thread 23 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-6 |  1501000 |   460000 |   560890570 |  19138288164 |         0 |      0 |  1721653673 |      0 |      0 |         0 
 122205 Thread 24 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-7 |  1471000 |   534000 |   572372141 |  19567182016 |         0 |      0 |  1639386940 |      0 |      0 |         0 
 122206 Thread 25 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-8 |  1311000 |   448000 |   502692457 |  17167673168 |         0 |      0 |  1805105423 |      0 |      0 |         0 
 122207 Thread 26 - PartitionProcessorThre...bcc-90da-da1a000da5f4-2-9 |  1439000 |   483000 |   546229285 |  18758717680 |         0 |      0 |  1562021667 |      0 |      0 |         0 
 122208 Thread 27 - PartitionProcessorThre...cc-90da-da1a000da5f4-2-10 |  1367000 |   507000 |   532677895 |  18290100473 |         0 |      0 |  1714600768 |      0 |      0 |         0 
 122210 Thread 28 - PartitionProcessorThre...cc-90da-da1a000da5f4-2-11 |  1434000 |   464000 |   542157742 |  18524611559 |         0 |      0 |  1844213406 |      0 |      0 |         0 
 122211 Thread 29 - PartitionProcessorThre...cc-90da-da1a000da5f4-2-12 |  1496000 |   502000 |   571158820 |  19499302277 |         0 |      0 |  1826742553 |      0 |      0 |         0 
 122212 Thread 30 - PartitionProcessorThre...cc-90da-da1a000da5f4-2-13 |  1421000 |   451000 |   534035797 |  18268849723 |         0 |      0 |  1778014299 |      0 |      0 |         0 
 122213 Thread 31 - PartitionProcessorThre...cc-90da-da1a000da5f4-2-14 |  1402000 |   441000 |   524904328 |  17989233036 |         0 |      0 |  1686603566 |      0 |      0 |         0 
 122214 Thread 32 - PartitionProcessorThre...cc-90da-da1a000da5f4-2-15 |  1414000 |   449000 |   530522914 |  18182062660 |         0 |      0 |  1564797182 |      0 |      0 |         0 
