                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio   | d:swap | d:reclaim 
 52978 Thread 1 - main                                                |   842000 |   133000 |    63798232 |   7490252717 |  34258944 |   1024 |     8183088 |        0 |      0 |         0 
 53000 Thread 2 - Reference Handler                                   |     9000 |        0 |     1057285 |     74120964 |         0 |      0 |      115865 |        0 |      0 |         0 
 53001 Thread 3 - Finalizer                                           |     5000 |     1000 |      552988 |     47578593 |      5120 |      0 |     1143265 |        0 |      0 |         0 
 53002 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |      102656 |      7966285 |         0 |      0 |       11346 |        0 |      0 |         0 
 53003 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        4109 |        0 |      0 |         0 
 53012 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      581972 |     19515046 |      4096 |      0 |       97276 |        0 |      0 |         0 
 53013 Thread 13 - RMI RenewClean-[10.231.182.152:41435]              |     1000 |        0 |       81589 |      7893246 |      1024 |      0 |           0 |        0 |      0 |         0 
 53014 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |        0 |      0 |         0 
 53016 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 30800000 | 34030000 | 18713391955 | 631839043710 | 624647168 | 128000 | 19886940469 |   122051 |      0 |         0 
 53018 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   214000 |    37000 |    71170776 |   2441815421 |   6319104 |   4096 |    22628624 |   198520 |      0 |         0 
 53024 Thread 17 - PartitionProcessorThre...1b9-a652-d87819d1be53-0-0 |  1496000 |   433000 |   555439098 |  18806171578 |     34816 |      0 |  1502889494 |        0 |      0 |         0 
 53025 Thread 18 - PartitionProcessorThre...1b9-a652-d87819d1be53-0-1 |  1419000 |   527000 |   562761269 |  18986781547 |      6144 |      0 |  1677564273 |        0 |      0 |         0 
 53027 Thread 19 - PartitionProcessorThre...1b9-a652-d87819d1be53-0-2 |  1388000 |   448000 |   529128289 |  17905159243 |         0 |      0 |  1477862971 |        0 |      0 |         0 
 53028 Thread 20 - PartitionProcessorThre...1b9-a652-d87819d1be53-0-3 |  1425000 |   450000 |   539682320 |  18288801078 |         0 |      0 |  1592678796 |        0 |      0 |         0 
