                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 50218 Thread 1 - main                                                |   819000 |   187000 |    65928908 |   7687447674 |  34258944 |   1024 |    15018565 |      0 |      0 |         0 
 50240 Thread 2 - Reference Handler                                   |     5000 |        0 |      529226 |     41403546 |         0 |      0 |     1855790 |      0 |      0 |         0 
 50241 Thread 3 - Finalizer                                           |     6000 |        0 |      553644 |     48464664 |      5120 |      0 |     1257467 |      0 |      0 |         0 
 50242 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 50243 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 50253 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      929937 |     29272570 |      4096 |      0 |      500638 |      0 |      0 |         0 
 50254 Thread 13 - RMI RenewClean-[10.231.182.152:38941]              |     1000 |        0 |       82308 |      7893246 |      1024 |      0 |           0 |      0 |      0 |         0 
 50255 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 50257 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28298000 | 30513000 | 18031254965 | 572889193180 | 572980224 | 135168 | 18138065700 | 109717 |      0 |         0 
 50259 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   228000 |    59000 |    86594948 |   2789142276 |   6747136 |   5120 |    20210848 | 678707 |      0 |         0 
 50262 Thread 17 - PartitionProcessorThre...a78-ac55-ca7d6abfce22-0-0 |  1293000 |   461000 |   533049868 |  17092372161 |      1024 |      0 |  1606001350 |      0 |      0 |         0 
 50263 Thread 18 - PartitionProcessorThre...a78-ac55-ca7d6abfce22-0-1 |  1403000 |   458000 |   565648012 |  18125809958 |     33792 |      0 |  1781897135 |      0 |      0 |         0 
 50264 Thread 19 - PartitionProcessorThre...a78-ac55-ca7d6abfce22-0-2 |  1338000 |   371000 |   520809813 |  16652737571 |      6144 |      0 |  1475147942 |      0 |      0 |         0 
