                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 160412 Thread 1 - main                                                |   799000 |   133000 |    60746635 |   7157989267 |  34258944 |   1024 |    11980431 |      0 |      0 |         0 
 160434 Thread 2 - Reference Handler                                   |     9000 |        0 |     1118398 |     75015558 |         0 |      0 |     1362519 |      0 |      0 |         0 
 160435 Thread 3 - Finalizer                                           |     8000 |     1000 |      840027 |     72290449 |      5120 |      0 |      257844 |      0 |      0 |         0 
 160436 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       56183 |      0 |      0 |         0 
 160437 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       85874 |      0 |      0 |         0 
 160446 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      648031 |     27276273 |      4096 |      0 |      160652 |      0 |      0 |         0 
 160447 Thread 13 - RMI RenewClean-[10.231.182.152:42073]              |        0 |        0 |           0 |            0 |      1024 |      0 |       36559 |      0 |      0 |         0 
 160448 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |       39393 |      0 |      0 |         0 
 160450 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 25409000 | 31298000 | 16076198755 | 552389350348 | 574016512 | 129024 | 18483609377 | 196890 |      0 |         0 
 160452 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   206000 |    45000 |    70393022 |   2443493413 |   5681152 |   5120 |    43251350 | 827665 |      0 |         0 
 160456 Thread 17 - PartitionProcessorThre...589-8e20-d5b8636fbdaf-0-0 |  1325000 |   415000 |   489724914 |  16951847865 |     33792 |      0 |  1736290743 |      0 |      0 |         0 
 160457 Thread 18 - PartitionProcessorThre...589-8e20-d5b8636fbdaf-0-1 |  1288000 |   450000 |   489213445 |  16938654181 |      1024 |      0 |  1463166969 |      0 |      0 |         0 
 160458 Thread 19 - PartitionProcessorThre...589-8e20-d5b8636fbdaf-0-2 |  1276000 |   436000 |   483891839 |  16689827533 |         0 |      0 |  1709622614 |      0 |      0 |         0 
 160459 Thread 20 - PartitionProcessorThre...589-8e20-d5b8636fbdaf-0-3 |  1274000 |   418000 |   474481383 |  16487774822 |      3072 |      0 |  1716837902 |      0 |      0 |         0 
 160460 Thread 21 - PartitionProcessorThre...589-8e20-d5b8636fbdaf-0-4 |  1204000 |   420000 |   458073922 |  15822138920 |         0 |      0 |  1619264731 |      0 |      0 |         0 
