                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 11390 Thread 1 - main                                                |   828000 |   113000 |    64409537 |   7202084670 |  34338816 |   1024 |     4533235 |      0 |      0 |         0 
 11412 Thread 2 - Reference Handler                                   |    11000 |        0 |     1343484 |     89376246 |         0 |      0 |      624130 |      0 |      0 |         0 
 11413 Thread 3 - Finalizer                                           |    10000 |     1000 |     1010925 |     86598593 |      5120 |      0 |      464391 |      0 |      0 |         0 
 11414 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        8497 |      0 |      0 |         0 
 11415 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       31203 |      7228289 |         0 |      0 |       13245 |      0 |      0 |         0 
 11425 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |     1047320 |     37035871 |      4096 |      0 |      561159 |      0 |      0 |         0 
 11426 Thread 13 - RMI RenewClean-[10.231.182.152:35971]              |        0 |        0 |           0 |            0 |      1024 |      0 |       44033 |      0 |      0 |         0 
 11427 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |      120363 |      0 |      0 |         0 
 11429 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27445000 | 37532000 | 20583181342 | 633134911658 | 573278208 | 137216 | 17818847075 | 297779 |      0 |         0 
 11431 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   197000 |    43000 |    75036050 |   2333248710 |   6402048 |   5120 |    10985533 | 516594 |      0 |         0 
 11434 Thread 17 - PartitionProcessorThre...41b-bfee-d1a864027d96-0-0 |  1268000 |   480000 |   552750366 |  17044051425 |     36864 |      0 |  1102045240 |      0 |      0 |         0 
 11435 Thread 18 - PartitionProcessorThre...41b-bfee-d1a864027d96-0-1 |  1198000 |   436000 |   516566824 |  15938720527 |         0 |      0 |  1108097259 |      0 |      0 |         0 
 11436 Thread 19 - PartitionProcessorThre...41b-bfee-d1a864027d96-0-2 |  1253000 |   445000 |   536212992 |  16561114773 |         0 |      0 |  1000552662 |      0 |      0 |         0 
 11437 Thread 20 - PartitionProcessorThre...41b-bfee-d1a864027d96-0-3 |  1123000 |   419000 |   487785504 |  15042992761 |         0 |      0 |  1028732355 |      0 |      0 |         0 
 11438 Thread 21 - PartitionProcessorThre...41b-bfee-d1a864027d96-0-4 |  1264000 |   468000 |   548037839 |  16893599081 |      1024 |      0 |  1057863934 |      0 |      0 |         0 
 11439 Thread 22 - PartitionProcessorThre...41b-bfee-d1a864027d96-0-5 |  1267000 |   429000 |   536377808 |  16541371554 |         0 |      0 |   931276801 |      0 |      0 |         0 
 11440 Thread 23 - PartitionProcessorThre...41b-bfee-d1a864027d96-0-6 |  1203000 |   461000 |   527808515 |  16234707027 |         0 |      0 |  1126027398 |      0 |      0 |         0 
