                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 161714 Thread 1 - main                                                |  1005000 |   135000 |    77212126 |   8027267794 |  14801920 |   1024 |    17927724 |      0 |      0 |         0 
 161721 Thread 2 - Reference Handler                                   |     2000 |        0 |      232046 |     16977257 |         0 |      0 |      145508 |      0 |      0 |         0 
 161722 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       44364 |      0 |      0 |         0 
 161723 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       16243 |      0 |      0 |         0 
 161729 Thread 11 - Common-Cleaner                                     |     1000 |     1000 |      320624 |     19420519 |         0 |      0 |      543302 |      0 |      0 |         0 
 161735 Thread 13 - RMI Scheduler(0)                                   |     3000 |        0 |      746957 |     26689101 |      1024 |      0 |       89533 |      0 |      0 |         0 
 161741 Thread 14 - RMI RenewClean-[10.231.182.152:36615]              |     1000 |        0 |       83914 |      7372507 |         0 |      0 |           0 |      0 |      0 |         0 
 161742 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 161746 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 24769000 | 35793000 | 20191388186 | 597687833466 | 625549312 | 106496 | 12110323117 | 162597 |      0 |         0 
 161749 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   244000 |    32000 |    90056093 |   2721447589 |   4872192 |   5120 |    17706501 |  88809 |      0 |         0 
 161754 Thread 18 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-0 |  1069000 |   416000 |   489472403 |  14661316300 |     33792 |      0 |   943054347 |      0 |      0 |         0 
 161755 Thread 19 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-1 |  1104000 |   399000 |   496391278 |  14852193613 |         0 |      0 |   991195806 |      0 |      0 |         0 
 161756 Thread 20 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-2 |  1036000 |   385000 |   470085321 |  14035355078 |         0 |      0 |   996655845 |      0 |      0 |         0 
 161757 Thread 21 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-3 |  1026000 |   403000 |   472990090 |  14116711906 |         0 |      0 |  1074156964 |      0 |      0 |         0 
 161758 Thread 22 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-4 |  1080000 |   389000 |   483460141 |  14508289078 |         0 |      0 |   960446611 |      0 |      0 |         0 
 161759 Thread 23 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-5 |  1065000 |   386000 |   480565082 |  14336972121 |         0 |      0 |   981267622 |      0 |      0 |         0 
 161760 Thread 24 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-6 |  1032000 |   436000 |   488085434 |  14509734347 |      1024 |      0 |  1014695126 |      0 |      0 |         0 
 161761 Thread 25 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-7 |  1026000 |   400000 |   472841207 |  14092751113 |         0 |      0 |   975337062 |      0 |      0 |         0 
 161762 Thread 26 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-8 |  1029000 |   414000 |   478025594 |  14252624746 |         0 |      0 |  1097809567 |      0 |      0 |         0 
 161763 Thread 27 - PartitionProcessorThre...c02-9dd7-3604783d70a2-0-9 |  1040000 |   402000 |   479931543 |  14247695777 |         0 |      0 |  1044608915 |      0 |      0 |         0 
 161764 Thread 28 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-10 |  1062000 |   404000 |   485913231 |  14482259089 |      1024 |      0 |   997234112 |      0 |      0 |         0 
 161765 Thread 29 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-11 |  1081000 |   399000 |   488462586 |  14624098546 |         0 |      0 |  1031158411 |      0 |      0 |         0 
 161766 Thread 30 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-12 |  1067000 |   431000 |   496163516 |  14800476679 |         0 |      0 |   829976541 |      0 |      0 |         0 
 161767 Thread 31 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-13 |  1055000 |   422000 |   488208536 |  14593727496 |      8192 |      0 |   844387475 |      0 |      0 |         0 
 161768 Thread 32 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-14 |  1066000 |   384000 |   479487946 |  14320134183 |      7168 |      0 |  1081528370 |      0 |      0 |         0 
 161769 Thread 33 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-15 |   986000 |   457000 |   480045414 |  14258756687 |         0 |      0 |  1125901948 |      0 |      0 |         0 
 161770 Thread 34 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-16 |  1168000 |   409000 |   524699770 |  15581110062 |         0 |      0 |  1009757237 |      0 |      0 |         0 
 161771 Thread 35 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-17 |  1079000 |   389000 |   486732571 |  14507461593 |         0 |      0 |   961046269 |      0 |      0 |         0 
 161772 Thread 36 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-18 |  1060000 |   376000 |   475802106 |  14187569433 |      8192 |      0 |   978044230 |      0 |      0 |         0 
 161773 Thread 37 - PartitionProcessorThre...02-9dd7-3604783d70a2-0-19 |  1101000 |   425000 |   504661715 |  15077540476 |         0 |      0 |   987172759 |      0 |      0 |         0 
 161776 Thread 38 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-0 |  1023000 |   418000 |   479742610 |  14251431507 |         0 |      0 |   923543062 |      0 |      0 |         0 
 161777 Thread 39 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-1 |  1008000 |   392000 |   467465989 |  13846442589 |         0 |      0 |   914542798 |      0 |      0 |         0 
 161778 Thread 40 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-2 |  1032000 |   426000 |   486817871 |  14419366578 |         0 |      0 |   940684358 |      0 |      0 |         0 
 161779 Thread 41 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-3 |  1043000 |   421000 |   489268864 |  14478948679 |         0 |      0 |   936804935 |      0 |      0 |         0 
 161780 Thread 42 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-4 |  1017000 |   431000 |   483572735 |  14319604863 |         0 |      0 |   904239172 |      0 |      0 |         0 
 161781 Thread 43 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-5 |  1048000 |   409000 |   485681469 |  14409257460 |      1024 |      0 |   886225345 |      0 |      0 |         0 
 161782 Thread 44 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-6 |  1091000 |   418000 |   504120157 |  14923715593 |         0 |      0 |   825544303 |      0 |      0 |         0 
 161785 Thread 45 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-7 |  1046000 |   469000 |   504235594 |  14982503019 |         0 |      0 |   896938332 |      0 |      0 |         0 
 161786 Thread 46 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-8 |   962000 |   408000 |   458018051 |  13549256601 |         0 |      0 |   958116200 |      0 |      0 |         0 
 161787 Thread 47 - PartitionProcessorThre...c02-9dd7-3604783d70a2-1-9 |  1066000 |   398000 |   486119668 |  14478747906 |         0 |      0 |  1078061398 |      0 |      0 |         0 
 161788 Thread 48 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-10 |   999000 |   420000 |   473846516 |  14033809312 |         0 |      0 |   875934675 |      0 |      0 |         0 
 161789 Thread 49 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-11 |  1021000 |   404000 |   473248125 |  14093191812 |         0 |      0 |   989637611 |      0 |      0 |         0 
 161790 Thread 50 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-12 |  1064000 |   430000 |   492993742 |  14773960140 |         0 |      0 |  1063002367 |      0 |      0 |         0 
 161791 Thread 51 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-13 |   976000 |   395000 |   457368157 |  13558898105 |         0 |      0 |   942813091 |      0 |      0 |         0 
 161792 Thread 52 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-14 |  1054000 |   425000 |   492583985 |  14626459519 |         0 |      0 |   911514202 |      0 |      0 |         0 
 161793 Thread 53 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-15 |  1001000 |   380000 |   458791454 |  13657698890 |         0 |      0 |   791404075 |      0 |      0 |         0 
 161794 Thread 54 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-16 |   998000 |   475000 |   490914817 |  14567768714 |         0 |      0 |  1027545160 |      0 |      0 |         0 
 161795 Thread 55 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-17 |  1000000 |   423000 |   474051188 |  14073698125 |         0 |      0 |   952221063 |      0 |      0 |         0 
 161796 Thread 56 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-18 |  1020000 |   382000 |   466697715 |  13865574742 |         0 |      0 |  1100252449 |      0 |      0 |         0 
 161797 Thread 57 - PartitionProcessorThre...02-9dd7-3604783d70a2-1-19 |  1020000 |   426000 |   484297442 |  14301376679 |         0 |      0 |   894535136 |      0 |      0 |         0 
 161798 Thread 58 - PartitionProcessorThre...c02-9dd7-3604783d70a2-2-0 |  1117000 |   449000 |   525739223 |  15487515366 |         0 |      0 |   846078953 |      0 |      0 |         0 
 161799 Thread 59 - PartitionProcessorThre...c02-9dd7-3604783d70a2-2-1 |  1077000 |   401000 |   496560137 |  14616813628 |         0 |      0 |   882024898 |      0 |      0 |         0 
 161800 Thread 60 - PartitionProcessorThre...c02-9dd7-3604783d70a2-2-2 |  1030000 |   398000 |   479169876 |  14122742910 |         0 |      0 |   937705307 |      0 |      0 |         0 
 161801 Thread 61 - PartitionProcessorThre...c02-9dd7-3604783d70a2-2-3 |  1091000 |   431000 |   510830746 |  15052028218 |         0 |      0 |   981465568 |      0 |      0 |         0 
 161802 Thread 62 - PartitionProcessorThre...c02-9dd7-3604783d70a2-2-4 |  1013000 |   460000 |   493358805 |  14567650003 |         0 |      0 |  1007425753 |      0 |      0 |         0 
 161803 Thread 63 - PartitionProcessorThre...c02-9dd7-3604783d70a2-2-5 |  1057000 |   449000 |   504092871 |  14893975308 |         0 |      0 |   967106841 |      0 |      0 |         0 
 161804 Thread 64 - PartitionProcessorThre...c02-9dd7-3604783d70a2-2-6 |  1125000 |   420000 |   519011934 |  15279831948 |         0 |      0 |   941395065 |      0 |      0 |         0 
