                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 20061 Thread 1 - main                                                |   860000 |   123000 |    69469814 |   7543496748 |  34139136 |   1024 |    21494666 |       0 |      0 |         0 
 20083 Thread 2 - Reference Handler                                   |     5000 |        0 |      524277 |     41403546 |         0 |      0 |     1036744 |       0 |      0 |         0 
 20084 Thread 3 - Finalizer                                           |     4000 |     1000 |      372316 |     38707140 |      5120 |      0 |     6557632 |       0 |      0 |         0 
 20085 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 20086 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      548082 |      9757746 |         0 |      0 |           0 |       0 |      0 |         0 
 20099 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |     1192925 |     27307496 |      4096 |      0 |      726217 |       0 |      0 |         0 
 20100 Thread 13 - RMI RenewClean-[10.231.182.152:36903]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |       0 |      0 |         0 
 20101 Thread 14 - GC Daemon                                          |        0 |     1000 |       75871 |      7893246 |         0 |      0 |           0 |       0 |      0 |         0 
 20103 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29954000 | 30659000 | 31489075526 | 590589982568 | 572480512 | 158720 | 23716822140 |  628078 |      0 | 141605200 
 20104 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   243000 |    87000 |   163472249 |   3213819667 |   7169024 |   5120 |    55135359 |  653065 |      0 |  28859914 
 20107 Thread 17 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-0 |  1268000 |   411000 |   880497614 |  16381819454 |     33792 |      0 |  2242131220 |       0 |      0 |   5162151 
 20108 Thread 18 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-1 |  1260000 |   483000 |   905854274 |  17006631337 |         0 |      0 |  2491344808 |       0 |      0 |  21615528 
 20109 Thread 19 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-2 |  1309000 |   402000 |   889155208 |  16693963024 |      2048 |      0 |  2272722197 |       0 |      0 |         0 
 20110 Thread 20 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-3 |  1210000 |   416000 |   854217837 |  15866617696 |         0 |      0 |  2308408055 |       0 |      0 |   4975469 
 20111 Thread 21 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-4 |  1339000 |   396000 |   913794883 |  16931030895 |         0 |      0 |  2409313585 |       0 |      0 |         0 
 20112 Thread 22 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-5 |  1299000 |   450000 |   910930520 |  17067269329 |         0 |      0 |  2462093823 |       0 |      0 |   9494504 
 20113 Thread 23 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-6 |  1299000 |   400000 |   890593532 |  16579298610 |         0 |      0 |  2302807551 |       0 |      0 |         0 
 20114 Thread 24 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-7 |  1185000 |   391000 |   819298880 |  15379012294 |      1024 |      0 |  2123524214 |       0 |      0 |         0 
 20115 Thread 25 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-8 |  1223000 |   392000 |   843425266 |  15758387325 |    117760 |      0 |  2592053046 |       0 |      0 |         0 
 20116 Thread 26 - PartitionProcessorThre...5f8-bbb7-6a053e59eac3-1-9 |  1317000 |   393000 |   895042024 |  16686082130 |         0 |      0 |  2191783956 |       0 |      0 |         0 
 20117 Thread 27 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-10 |  1308000 |   439000 |   907445083 |  17047777946 |         0 |      0 |  2256037654 |       0 |      0 |  21475859 
 20118 Thread 28 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-11 |  1281000 |   446000 |   906456004 |  16852731239 |         0 |      0 |  2327326708 |       0 |      0 |         0 
 20119 Thread 29 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-12 |  1285000 |   382000 |   863584731 |  16266244790 |         0 |      0 |  2248008856 |       0 |      0 |         0 
 20120 Thread 30 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-13 |  1249000 |   437000 |   873291997 |  16452437001 |         0 |      0 |  2302975098 |       0 |      0 |         0 
 20121 Thread 31 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-14 |  1293000 |   402000 |   882983876 |  16539951157 |         0 |      0 |  2549766702 |       0 |      0 |   4734045 
 20122 Thread 32 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-15 |  1216000 |   415000 |   846292778 |  15915188610 |      6144 |      0 |  2201784393 |       0 |      0 |         0 
 20123 Thread 33 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-16 |  1230000 |   435000 |   870074723 |  16247512286 |         0 |      0 |  2171350583 |       0 |      0 |         0 
 20124 Thread 34 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-17 |  1314000 |   398000 |   892356145 |  16706071341 |         0 |      0 |  2044113908 |       0 |      0 |   4878529 
 20125 Thread 35 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-18 |  1289000 |   455000 |   918638622 |  17018734895 |         0 |      0 |  2257235257 |       0 |      0 |         0 
 20126 Thread 36 - PartitionProcessorThre...f8-bbb7-6a053e59eac3-1-19 |  1316000 |   436000 |   915259571 |  17096228876 |         0 |      0 |  2368093163 |       0 |      0 |         0 
