                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 11873 Thread 1 - main                                                |   603000 |    79000 |    42986186 |   5160879557 |  21218304 |   1024 |     2714914 |      0 |      0 |         0 
 11895 Thread 2 - Reference Handler                                   |     6000 |        0 |      856488 |     48692874 |         0 |      0 |      153142 |      0 |      0 |         0 
 11896 Thread 3 - Finalizer                                           |     5000 |     1000 |      562499 |     45967992 |      5120 |      0 |      746653 |      0 |      0 |         0 
 11897 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 11898 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 11908 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28290000 | 32182000 | 18683432724 | 588919523713 | 636684288 | 120832 | 18625488469 |  98230 |      0 |         0 
 11910 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   167000 |    58000 |    68397550 |   2187573382 |   6250496 |   4096 |    33346918 | 313476 |      0 |         0 
 11913 Thread 14 - PartitionProcessorThre...713-ac52-33ea503bd411-0-0 |  1274000 |   396000 |   508329160 |  16268079933 |     61440 |      0 |  1619382525 |      0 |      0 |         0 
 11914 Thread 15 - PartitionProcessorThre...713-ac52-33ea503bd411-0-1 |  1321000 |   452000 |   544318847 |  17290720777 |         0 |      0 |  1480986278 |      0 |      0 |         0 
 11915 Thread 16 - PartitionProcessorThre...713-ac52-33ea503bd411-0-2 |  1246000 |   403000 |   504528731 |  16085613320 |      1024 |      0 |  1327137693 |      0 |      0 |         0 
 11916 Thread 17 - PartitionProcessorThre...713-ac52-33ea503bd411-0-3 |  1259000 |   459000 |   527025598 |  16751896601 |    121856 |      0 |  1567281667 |      0 |      0 |         0 
 11917 Thread 18 - PartitionProcessorThre...713-ac52-33ea503bd411-0-4 |  1216000 |   463000 |   515134473 |  16375365480 |         0 |      0 |  1553455626 |      0 |      0 |         0 
 11918 Thread 19 - PartitionProcessorThre...713-ac52-33ea503bd411-0-5 |  1234000 |   424000 |   507673613 |  16174766480 |      1024 |      0 |  1292005081 |      0 |      0 |         0 
 11919 Thread 20 - PartitionProcessorThre...713-ac52-33ea503bd411-0-6 |  1321000 |   439000 |   540122523 |  17173077128 |         0 |      0 |  1668675824 |      0 |      0 |         0 
 11920 Thread 21 - PartitionProcessorThre...713-ac52-33ea503bd411-0-7 |  1279000 |   465000 |   535928719 |  17014510507 |         0 |      0 |  1379003534 |      0 |      0 |         0 
 11921 Thread 22 - PartitionProcessorThre...713-ac52-33ea503bd411-0-8 |  1294000 |   414000 |   523613961 |  16663996222 |         0 |      0 |  1411861572 |      0 |      0 |         0 
 11922 Thread 23 - PartitionProcessorThre...713-ac52-33ea503bd411-0-9 |  1263000 |   440000 |   523322836 |  16613609773 |         0 |      0 |  1621744889 |      0 |      0 |         0 
