                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 54646 Thread 1 - main                                                |   547000 |   109000 |    39419030 |   4968462174 |  21055488 |   1024 |     8070258 |      0 |      0 |         0 
 54668 Thread 2 - Reference Handler                                   |     4000 |        0 |      528910 |     32848507 |         0 |      0 |     3250790 |      0 |      0 |         0 
 54669 Thread 3 - Finalizer                                           |     7000 |     1000 |      877292 |     63281339 |      5120 |      0 |     3290163 |      0 |      0 |         0 
 54670 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        1048 |      0 |      0 |         0 
 54671 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      306925 |      9755031 |         0 |      0 |           0 |      0 |      0 |         0 
 54680 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29777000 | 32707000 | 18765376840 | 608362367285 | 636357632 | 121856 | 19051747241 | 136741 |      0 |         0 
 54687 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   160000 |    63000 |    66003183 |   2171603390 |   6798336 |   4096 |    32001542 | 888103 |      0 |         0 
 54690 Thread 14 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-0 |  1302000 |   470000 |   532834491 |  17267522047 |     37888 |      0 |  1271619096 |      0 |      0 |         0 
 54691 Thread 15 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-1 |  1291000 |   463000 |   524230898 |  17095648446 |    121856 |      0 |  1292119638 |      0 |      0 |         0 
 54692 Thread 16 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-2 |  1269000 |   474000 |   524709925 |  17000127871 |         0 |      0 |  1478614921 |      0 |      0 |         0 
 54693 Thread 17 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-3 |  1196000 |   473000 |   501760374 |  16283977758 |         0 |      0 |  1419299216 |      0 |      0 |         0 
 54694 Thread 18 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-4 |  1295000 |   425000 |   517282652 |  16782190778 |         0 |      0 |  1317806294 |      0 |      0 |         0 
 54695 Thread 19 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-5 |  1244000 |   443000 |   505960538 |  16454602907 |         0 |      0 |  1365140447 |      0 |      0 |         0 
 54696 Thread 20 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-6 |  1252000 |   453000 |   512603874 |  16634030098 |         0 |      0 |  1433846037 |      0 |      0 |         0 
 54697 Thread 21 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-7 |  1364000 |   456000 |   543713772 |  17756795168 |         0 |      0 |  1299670593 |      0 |      0 |         0 
 54698 Thread 22 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-8 |  1332000 |   427000 |   527356198 |  17159640590 |         0 |      0 |  1440906638 |      0 |      0 |         0 
 54699 Thread 23 - PartitionProcessorThre...ece-aaeb-0c01725c9b59-1-9 |  1367000 |   444000 |   543210640 |  17665402110 |         0 |      0 |  1376580645 |      0 |      0 |         0 
 54700 Thread 24 - PartitionProcessorThre...ce-aaeb-0c01725c9b59-1-10 |  1257000 |   480000 |   523174019 |  16949324399 |         0 |      0 |  1511119520 |      0 |      0 |         0 
