                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 44535 Thread 1 - main                                                |   952000 |   101000 |    70124083 |   7354440604 |  14848000 |   1024 |     9971345 |      0 |      0 |         0 
 44542 Thread 2 - Reference Handler                                   |     1000 |        0 |       80535 |      7240492 |         0 |      0 |       37723 |      0 |      0 |         0 
 44543 Thread 3 - Finalizer                                           |        0 |     2000 |       34804 |     12462539 |      5120 |      0 |        8539 |      0 |      0 |         0 
 44544 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 44550 Thread 11 - Common-Cleaner                                     |     2000 |        0 |      225374 |     17305289 |         0 |      0 |      399497 |      0 |      0 |         0 
 44555 Thread 13 - RMI Scheduler(0)                                   |     3000 |        0 |      713132 |     26689101 |      1024 |      0 |      226321 |      0 |      0 |         0 
 44561 Thread 14 - RMI RenewClean-[10.231.182.152:38342]              |     2000 |        0 |      165578 |     14678398 |         0 |      0 |       11755 |      0 |      0 |         0 
 44562 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |     1275152 |      0 |      0 |         0 
 44566 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 24081000 | 35333000 | 19003132535 | 586443554433 | 626366464 |  98304 | 12704130358 | 183033 |      0 |         0 
 44567 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   185000 |    37000 |    69857116 |   2188364140 |   4029440 |   4096 |    14864707 | 500426 |      0 |         0 
 44570 Thread 18 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-0 |   981000 |   405000 |   445629044 |  13701838297 |         0 |      0 |   957334307 |      0 |      0 |         0 
 44571 Thread 19 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-1 |  1074000 |   392000 |   469664618 |  14490088574 |     33792 |      0 |  1016749628 |      0 |      0 |         0 
 44572 Thread 20 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-2 |  1102000 |   395000 |   480366770 |  14797080581 |         0 |      0 |   983245603 |      0 |      0 |         0 
 44573 Thread 21 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-3 |  1070000 |   424000 |   479111325 |  14773372613 |         0 |      0 |  1017655674 |      0 |      0 |         0 
 44574 Thread 22 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-4 |  1135000 |   399000 |   491522731 |  15165449636 |         0 |      0 |  1030025402 |      0 |      0 |         0 
 44575 Thread 23 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-5 |  1080000 |   449000 |   489197403 |  15116171609 |         0 |      0 |  1097389635 |      0 |      0 |         0 
 44576 Thread 24 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-6 |  1033000 |   437000 |   471341817 |  14533086152 |         0 |      0 |   834223427 |      0 |      0 |         0 
 44577 Thread 25 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-7 |  1013000 |   434000 |   464456399 |  14310598652 |         0 |      0 |  1014633421 |      0 |      0 |         0 
 44578 Thread 26 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-8 |  1045000 |   400000 |   463481665 |  14288305957 |         0 |      0 |   896762350 |      0 |      0 |         0 
 44579 Thread 27 - PartitionProcessorThre...2bf-b984-66c65c3df853-0-9 |  1059000 |   384000 |   462366711 |  14265889289 |      8192 |      0 |   838252926 |      0 |      0 |         0 
 44580 Thread 28 - PartitionProcessorThre...bf-b984-66c65c3df853-0-10 |  1011000 |   363000 |   441078919 |  13585149777 |         0 |      0 |   765691716 |      0 |      0 |         0 
