                                  Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 48837 Thread 1 - main                                                  |   841000 |   152000 |    71701802 |   7635950646 |  34636800 |   1024 |    18397126 |      0 |      0 |         0 
 48859 Thread 2 - Reference Handler                                     |     8000 |     2000 |     1243128 |     81467757 |         0 |      0 |      942349 |      0 |      0 |         0 
 48860 Thread 3 - Finalizer                                             |     5000 |     1000 |      818972 |     48808949 |      5120 |      0 |     1853328 |      0 |      0 |         0 
 48861 Thread 4 - Surrogate Locker Thread (Concurrent GC)               |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 48862 Thread 5 - Signal Dispatcher                                     |     1000 |     1000 |      342425 |     17073453 |         0 |      0 |           0 |      0 |      0 |         0 
 48871 Thread 12 - RMI Scheduler(0)                                     |        0 |     1000 |       94089 |      7763582 |      2048 |      0 |       24182 |      0 |      0 |         0 
 48872 Thread 13 - RMI RenewClean-[10.231.182.152:46797]                |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 48873 Thread 14 - GC Daemon                                            |        0 |        0 |           0 |            0 |         0 |      0 |       19867 |      0 |      0 |         0 
 48875 Thread 15 - DecatonSubscriptionThread-decaton-benchmark          | 35654000 | 53203000 | 27195908879 | 867590196211 | 881220608 | 146432 | 20146140448 | 172083 |      0 |         0 
 48880 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark   |   226000 |    50000 |    83134972 |   2692250030 |   8417280 |   4096 |    22689119 | 191608 |      0 |         0 
 50481 Thread 1205 - PartitionProcessorThre...542-8ecd-7c7a46837ada-1-0 |   113000 |    41000 |    48606511 |   1506465343 |         0 |      0 |    51943768 |      0 |      0 |         0 
 50482 Thread 1206 - PartitionProcessorThre...542-8ecd-7c7a46837ada-1-1 |   113000 |    42000 |    48944413 |   1516307237 |         0 |      0 |    56251415 |      0 |      0 |         0 
 50483 Thread 1207 - PartitionProcessorThre...542-8ecd-7c7a46837ada-1-2 |   121000 |    42000 |    51523620 |   1594755284 |         0 |      0 |    29149135 |      0 |      0 |         0 
 50484 Thread 1208 - PartitionProcessorThre...542-8ecd-7c7a46837ada-1-3 |   107000 |    26000 |    42102925 |   1301380741 |         0 |      0 |    27281149 |      0 |      0 |         0 
 50485 Thread 1209 - PartitionProcessorThre...542-8ecd-7c7a46837ada-1-4 |   134000 |    34000 |    53080577 |   1643565370 |         0 |      0 |    51718802 |      0 |      0 |         0 
 50486 Thread 1210 - PartitionProcessorThre...542-8ecd-7c7a46837ada-1-5 |   123000 |    52000 |    55312112 |   1712080155 |         0 |      0 |    37922324 |      0 |      0 |         0 
 50487 Thread 1211 - PartitionProcessorThre...542-8ecd-7c7a46837ada-1-6 |   113000 |    44000 |    49684558 |   1536084675 |         0 |      0 |    31034148 |      0 |      0 |         0 
 50488 Thread 1212 - PartitionProcessorThre...542-8ecd-7c7a46837ada-1-7 |   143000 |    46000 |    59694815 |   1848958097 |         0 |      0 |    73685187 |      0 |      0 |         0 
