                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 47692 Thread 1 - main                                                |   866000 |   104000 |    70857615 |   7458412002 |  34636800 |   1024 |     5854494 |      0 |      0 |         0 
 47714 Thread 2 - Reference Handler                                   |     6000 |     3000 |     1212374 |     75306726 |         0 |      0 |      245345 |      0 |      0 |         0 
 47715 Thread 3 - Finalizer                                           |     5000 |        0 |      502363 |     40265660 |      5120 |      0 |     1511558 |      0 |      0 |         0 
 47716 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 47717 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       14260 |      0 |      0 |         0 
 47726 Thread 12 - RMI Scheduler(0)                                   |     1000 |        0 |      294710 |      9759867 |      2048 |      0 |       22787 |      0 |      0 |         0 
 47727 Thread 13 - RMI RenewClean-[10.231.182.152:45550]              |     1000 |        0 |       93535 |      7893589 |      1024 |      0 |      425513 |      0 |      0 |         0 
 47728 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 47734 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 24758000 | 35560000 | 17673442129 | 587776905895 | 574298112 | 112640 | 15612764459 | 173647 |      0 |         0 
 47735 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   252000 |    31000 |    82557628 |   2757174206 |   5834752 |   5120 |    29314668 | 323400 |      0 |         0 
 47741 Thread 17 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-0 |  1234000 |   396000 |   472677938 |  15881989537 |     36864 |      0 |  1204117106 |      0 |      0 |         0 
 47742 Thread 18 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-1 |  1219000 |   419000 |   478379145 |  15974685748 |         0 |      0 |  1096848351 |      0 |      0 |         0 
 47743 Thread 19 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-2 |  1181000 |   461000 |   478684223 |  16012894201 |      1024 |      0 |  1112994263 |      0 |      0 |         0 
 47744 Thread 20 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-3 |  1158000 |   452000 |   468642512 |  15700897193 |      4096 |      0 |  1239312942 |      0 |      0 |         0 
 47745 Thread 21 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-4 |  1228000 |   406000 |   477774781 |  15936653713 |      1024 |      0 |  1083501919 |      0 |      0 |         0 
 47746 Thread 22 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-5 |  1133000 |   414000 |   451341180 |  15087896666 |         0 |      0 |  1085682636 |      0 |      0 |         0 
 47747 Thread 23 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-6 |  1246000 |   429000 |   488606434 |  16339015564 |         0 |      0 |  1077382674 |      0 |      0 |         0 
 47748 Thread 24 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-7 |  1194000 |   415000 |   469427016 |  15692777971 |         0 |      0 |  1205293179 |      0 |      0 |         0 
 47749 Thread 25 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-8 |  1227000 |   423000 |   481637629 |  16091100517 |         0 |      0 |  1091246078 |      0 |      0 |         0 
 47750 Thread 26 - PartitionProcessorThre...982-bc48-ed15a83a581b-2-9 |  1198000 |   408000 |   468295785 |  15664412908 |         0 |      0 |  1160997116 |      0 |      0 |         0 
