                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 135116 Thread 1 - main                                                |   696000 |   104000 |    48922588 |   6098658233 |  22117376 |   1024 |     3740884 |       0 |      0 |         0 
 135138 Thread 2 - Reference Handler                                   |     8000 |     1000 |      852949 |     72298515 |         0 |      0 |      970483 |       0 |      0 |         0 
 135139 Thread 3 - Finalizer                                           |     7000 |        0 |     1037859 |     59158566 |      5120 |      0 |     5500491 |       0 |      0 |         0 
 135140 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 135141 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       12342 |       0 |      0 |         0 
 135151 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      612304 |     19515046 |      4096 |      0 |       95404 |       0 |      0 |         0 
 135152 Thread 13 - RMI RenewClean-[10.231.182.152:33702]              |     1000 |        0 |       81472 |      7893246 |      1024 |      0 |           0 |       0 |      0 |         0 
 135153 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 135155 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29981000 | 30384000 | 18227710735 | 587904788417 | 585915392 | 148480 | 18467398697 |  236939 |      0 |         0 
 135156 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   265000 |    62000 |    98831124 |   3186318476 |   5646336 |   6144 |    53317809 | 1224475 |      0 |         0 
 135160 Thread 17 - PartitionProcessorThre...143-bd4d-2243e64eada2-2-0 |  1361000 |   430000 |   535775610 |  17459880415 |     33792 |      0 |  1853583613 |       0 |      0 |         0 
 135161 Thread 18 - PartitionProcessorThre...143-bd4d-2243e64eada2-2-1 |  1384000 |   414000 |   543232746 |  17543410880 |         0 |      0 |  1696436110 |       0 |      0 |         0 
 135162 Thread 19 - PartitionProcessorThre...143-bd4d-2243e64eada2-2-2 |  1363000 |   449000 |   547698852 |  17679613708 |         0 |      0 |  1887035839 |       0 |      0 |         0 
 135163 Thread 20 - PartitionProcessorThre...143-bd4d-2243e64eada2-2-3 |  1328000 |   402000 |   522639606 |  16881496649 |         0 |      0 |  1465351538 |       0 |      0 |         0 
 135164 Thread 21 - PartitionProcessorThre...143-bd4d-2243e64eada2-2-4 |  1328000 |   374000 |   513370219 |  16605585024 |         0 |      0 |  1825274231 |       0 |      0 |         0 
 135165 Thread 22 - PartitionProcessorThre...143-bd4d-2243e64eada2-2-5 |  1331000 |   440000 |   534333157 |  17278201930 |    117760 |      0 |  1793170082 |       0 |      0 |         0 
 135166 Thread 23 - PartitionProcessorThre...143-bd4d-2243e64eada2-2-6 |  1294000 |   423000 |   519307809 |  16753450829 |         0 |      0 |  1815402461 |       0 |      0 |         0 
 135167 Thread 24 - PartitionProcessorThre...143-bd4d-2243e64eada2-2-7 |  1387000 |   419000 |   543565453 |  17621955422 |         0 |      0 |  1687094637 |       0 |      0 |         0 
 135168 Thread 25 - PartitionProcessorThre...143-bd4d-2243e64eada2-2-8 |  1338000 |   408000 |   522825133 |  17029658407 |      7168 |      0 |  1795988378 |       0 |      0 |         0 
