                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 36198 Thread 1 - main                                                |   551000 |    84000 |    52431916 |   4803798232 |  21056512 |   1024 |     3382791 |       0 |      0 |         0 
 36220 Thread 2 - Reference Handler                                   |     8000 |        0 |      982621 |     64056796 |         0 |      0 |     1182093 |       0 |      0 |         0 
 36221 Thread 3 - Finalizer                                           |     5000 |     1000 |      592742 |     46467414 |      5120 |      0 |     1538311 |       0 |      0 |         0 
 36222 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        4673 |       0 |      0 |         0 
 36223 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |     1066296 |      9755031 |         0 |      0 |        6768 |       0 |      0 |         0 
 36232 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26272000 | 29526000 | 56028897608 | 543064588516 | 586215424 | 140288 | 18411399093 |  104752 |      0 |         0 
 36234 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   171000 |    51000 |   222439503 |   2163669159 |   5683200 |   5120 |    28949189 | 5125447 |      0 |         0 
 36237 Thread 14 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-0 |  1159000 |   438000 |  1560364461 |  15573728005 |         0 |      0 |  1534588642 |       0 |      0 |         0 
 36238 Thread 15 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-1 |  1160000 |   402000 |  1526039001 |  15220747098 |     41984 |      0 |  1582057107 |       0 |      0 |         0 
 36239 Thread 16 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-2 |  1116000 |   406000 |  1506637805 |  14837402282 |    121856 |      0 |  1247622217 |       0 |      0 |         0 
 36240 Thread 17 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-3 |  1165000 |   424000 |  1571125739 |  15496064036 |         0 |      0 |  1423951294 |       0 |      0 |         0 
 36241 Thread 18 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-4 |  1165000 |   407000 |  1561793723 |  15332199758 |     35840 |      0 |  1407036573 |       0 |      0 |         0 
 36242 Thread 19 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-5 |  1083000 |   410000 |  1478693591 |  14560276427 |         0 |      0 |  1538402172 |       0 |      0 |         0 
 36243 Thread 20 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-6 |  1126000 |   392000 |  1521884665 |  14806325938 |         0 |      0 |  1411868523 |       0 |      0 |         0 
 36244 Thread 21 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-7 |  1160000 |   402000 |  1561712876 |  15236147536 |         0 |      0 |  1493821499 |       0 |      0 |         0 
 36245 Thread 22 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-8 |  1210000 |   401000 |  1575933559 |  15707628727 |      1024 |      0 |  1367737057 |       0 |      0 |         0 
 36246 Thread 23 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-1-9 |  1166000 |   419000 |  1566890958 |  15461340536 |         0 |      0 |  1453447826 |       0 |      0 |         0 
 36247 Thread 24 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-10 |  1164000 |   417000 |  1574306715 |  15421080985 |         0 |      0 |  1485305696 |       0 |      0 |         0 
 36248 Thread 25 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-11 |  1110000 |   400000 |  1505851712 |  14728646477 |         0 |      0 |  1573609064 |       0 |      0 |         0 
 36249 Thread 26 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-12 |  1270000 |   386000 |  1649223438 |  16152276547 |         0 |      0 |  1424984830 |       0 |      0 |         0 
 36250 Thread 27 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-13 |  1248000 |   448000 |  1665801246 |  16543716110 |         0 |      0 |  1706318439 |       0 |      0 |         0 
 36251 Thread 28 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-14 |  1184000 |   449000 |  1619055606 |  15927717161 |         0 |      0 |  1638473958 |       0 |      0 |         0 
 36252 Thread 29 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-15 |  1149000 |   407000 |  1560501778 |  15178621684 |         0 |      0 |  1646269795 |       0 |      0 |         0 
 36253 Thread 30 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-16 |  1144000 |   437000 |  1577060231 |  15421978407 |         0 |      0 |  1590446211 |       0 |      0 |         0 
 36254 Thread 31 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-17 |  1165000 |   400000 |  1540924743 |  15266614735 |         0 |      0 |  1418789991 |       0 |      0 |         0 
 36255 Thread 32 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-18 |  1243000 |   395000 |  1611590383 |  15977576731 |         0 |      0 |  1545398438 |       0 |      0 |         0 
 36256 Thread 33 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-1-19 |  1186000 |   419000 |  1573887387 |  15657091024 |         0 |      0 |  1408588678 |       0 |      0 |         0 
 36257 Thread 34 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-0 |  1224000 |   447000 |  1681358813 |  16301192606 |         0 |      0 |  1458233528 |       0 |      0 |         0 
 36258 Thread 35 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-1 |  1152000 |   457000 |  1610508571 |  15696446743 |         0 |      0 |  1581281512 |       0 |      0 |         0 
 36259 Thread 36 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-2 |  1226000 |   421000 |  1656547657 |  16067072543 |         0 |      0 |  1594788718 |       0 |      0 |         0 
 36260 Thread 37 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-3 |  1213000 |   462000 |  1684511227 |  16340260563 |         0 |      0 |  1524237224 |       0 |      0 |         0 
 36261 Thread 38 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-4 |  1171000 |   422000 |  1596646856 |  15540091145 |         0 |      0 |  1406438405 |       0 |      0 |         0 
 36262 Thread 39 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-5 |  1162000 |   416000 |  1582641512 |  15394329755 |         0 |      0 |  1345201033 |       0 |      0 |         0 
 36263 Thread 40 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-6 |  1100000 |   422000 |  1546857247 |  14847481208 |         0 |      0 |  1294949398 |       0 |      0 |         0 
 36264 Thread 41 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-7 |  1116000 |   379000 |  1493574388 |  14584570911 |         0 |      0 |  1600752176 |       0 |      0 |         0 
 36265 Thread 42 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-8 |  1166000 |   410000 |  1576970356 |  15374649298 |         0 |      0 |  1635504280 |       0 |      0 |         0 
 36266 Thread 43 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-0-9 |  1110000 |   390000 |  1493374966 |  14633480095 |         0 |      0 |  1316466773 |       0 |      0 |         0 
 36267 Thread 44 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-10 |  1139000 |   416000 |  1555908528 |  15170009454 |         0 |      0 |  1523778028 |       0 |      0 |         0 
 36268 Thread 45 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-11 |  1206000 |   392000 |  1595054868 |  15589384692 |         0 |      0 |  1453595453 |       0 |      0 |         0 
 36269 Thread 46 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-12 |  1205000 |   403000 |  1624709145 |  15686895551 |      3072 |      0 |  1530145418 |       0 |      0 |         0 
 36270 Thread 47 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-13 |  1141000 |   409000 |  1555735719 |  15121151532 |         0 |      0 |  1358372782 |       0 |      0 |         0 
 36271 Thread 48 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-14 |  1121000 |   438000 |  1561647614 |  15208898829 |         0 |      0 |  1321311788 |       0 |      0 |         0 
 36272 Thread 49 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-15 |  1138000 |   434000 |  1579245247 |  15335836126 |         0 |      0 |  1339305792 |       0 |      0 |         0 
 36273 Thread 50 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-16 |  1169000 |   429000 |  1615558247 |  15588985442 |         0 |      0 |  1285850464 |       0 |      0 |         0 
 36274 Thread 51 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-17 |  1147000 |   407000 |  1572097614 |  15159857704 |         0 |      0 |  1438332403 |       0 |      0 |         0 
 36275 Thread 52 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-18 |  1146000 |   415000 |  1583335505 |  15228610364 |  10831872 |      0 |  1498252182 |       0 |      0 |         0 
 36276 Thread 53 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-0-19 |  1139000 |   407000 |  1571181661 |  15081829891 |         0 |      0 |  1628180057 |       0 |      0 |         0 
 36277 Thread 54 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-0 |  1145000 |   436000 |  1605200641 |  15423513356 |         0 |      0 |  1422188601 |       0 |      0 |         0 
 36278 Thread 55 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-1 |  1197000 |   412000 |  1630158204 |  15696991047 |         0 |      0 |  1572452662 |       0 |      0 |         0 
 36279 Thread 56 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-2 |  1173000 |   385000 |  1555489887 |  15199094665 |         0 |      0 |  1460111849 |       0 |      0 |         0 
 36280 Thread 57 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-3 |  1165000 |   368000 |  1538301134 |  14954859259 |         0 |      0 |  1556209993 |       0 |      0 |         0 
 36281 Thread 58 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-4 |  1119000 |   382000 |  1504612153 |  14643189196 |         0 |      0 |  1330301743 |       0 |      0 |         0 
 36282 Thread 59 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-5 |  1171000 |   428000 |  1627567040 |  15598902692 |         0 |      0 |  1315746997 |       0 |      0 |         0 
 36283 Thread 60 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-6 |  1161000 |   448000 |  1627030075 |  15696877649 |         0 |      0 |  1368457518 |       0 |      0 |         0 
 36284 Thread 61 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-7 |  1221000 |   429000 |  1645086340 |  16096573153 |         0 |      0 |  1428003945 |       0 |      0 |         0 
 36285 Thread 62 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-8 |  1199000 |   404000 |  1619069274 |  15638251235 |         0 |      0 |  1284097287 |       0 |      0 |         0 
 36286 Thread 63 - PartitionProcessorThre...86f-870e-a926a0ba2a7f-2-9 |  1108000 |   454000 |  1585239563 |  15238230520 |         0 |      0 |  1429119744 |       0 |      0 |         0 
 36287 Thread 64 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-2-10 |  1212000 |   397000 |  1624236700 |  15696636149 |         0 |      0 |  1500245618 |       0 |      0 |         0 
 36288 Thread 65 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-2-11 |  1149000 |   408000 |  1569626259 |  15189116602 |         0 |      0 |  1250347627 |       0 |      0 |         0 
 36289 Thread 66 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-2-12 |  1196000 |   421000 |  1643216532 |  15774544840 |         0 |      0 |  1404443536 |       0 |      0 |         0 
 36290 Thread 67 - PartitionProcessorThre...6f-870e-a926a0ba2a7f-2-13 |  1193000 |   421000 |  1638729012 |  15745278157 |         0 |      0 |  1446702693 |       0 |      0 |         0 
