                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 29395 Thread 1 - main                                                |   586000 |    79000 |    40981260 |   5046803521 |  21055488 |   1024 |     5816683 |       0 |      0 |         0 
 29417 Thread 2 - Reference Handler                                   |     5000 |     1000 |      704886 |     47819203 |         0 |      0 |     1617813 |       0 |      0 |         0 
 29418 Thread 3 - Finalizer                                           |     6000 |     2000 |      633414 |     60589648 |      5120 |      0 |      669549 |       0 |      0 |         0 
 29419 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 29420 Thread 5 - Signal Dispatcher                                   |     1000 |     1000 |      335230 |     17047320 |         0 |      0 |           0 |       0 |      0 |         0 
 29430 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29884000 | 33249000 | 19057202260 | 614803079167 | 635601920 | 132096 | 19704993760 |   81880 |      0 |         0 
 29431 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   193000 |    46000 |    71234796 |   2329692741 |   7520256 |   5120 |    40114245 |  177729 |      0 |         0 
 29434 Thread 14 - PartitionProcessorThre...6ef-b010-3ea221726385-1-0 |  1294000 |   480000 |   534178067 |  17305620481 |         0 |      0 |  1466853038 |       0 |      0 |         0 
 29435 Thread 15 - PartitionProcessorThre...6ef-b010-3ea221726385-1-1 |  1314000 |   418000 |   517254977 |  16870021118 |    159744 |      0 |  1507336306 |       0 |      0 |         0 
 29436 Thread 16 - PartitionProcessorThre...6ef-b010-3ea221726385-1-2 |  1342000 |   434000 |   536612864 |  17327313653 |         0 |      0 |  1247961431 |       0 |      0 |         0 
 29437 Thread 17 - PartitionProcessorThre...6ef-b010-3ea221726385-1-3 |  1331000 |   459000 |   541127641 |  17464012078 |         0 |      0 |  1378864805 |       0 |      0 |         0 
 29438 Thread 18 - PartitionProcessorThre...6ef-b010-3ea221726385-1-4 |  1344000 |   431000 |   533474231 |  17316917821 |         0 |      0 |  1298670685 |       0 |      0 |         0 
 29439 Thread 19 - PartitionProcessorThre...6ef-b010-3ea221726385-1-5 |  1294000 |   432000 |   520793899 |  16840227344 |         0 |      0 |  1326979871 |       0 |      0 |         0 
 29440 Thread 20 - PartitionProcessorThre...6ef-b010-3ea221726385-1-6 |  1263000 |   450000 |   514083438 |  16712569836 |         0 |      0 |  1432578790 |       0 |      0 |         0 
 29441 Thread 21 - PartitionProcessorThre...6ef-b010-3ea221726385-1-7 |  1278000 |   429000 |   512534391 |  16652548243 |         0 |      0 |  1510462679 |       0 |      0 |         0 
 29442 Thread 22 - PartitionProcessorThre...6ef-b010-3ea221726385-1-8 |  1314000 |   439000 |   528315309 |  17103798270 |         0 |      0 |  1339812856 |       0 |      0 |         0 
 29443 Thread 23 - PartitionProcessorThre...6ef-b010-3ea221726385-1-9 |  1241000 |   458000 |   511627168 |  16572838770 |         0 |      0 |  1257241738 |       0 |      0 |         0 
 29444 Thread 24 - PartitionProcessorThre...ef-b010-3ea221726385-1-10 |  1386000 |   433000 |   548128739 |  17749053500 |         0 |      0 |  1407997356 |       0 |      0 |         0 
 29445 Thread 25 - PartitionProcessorThre...ef-b010-3ea221726385-1-11 |  1311000 |   462000 |   532941235 |  17299018657 |         0 |      0 |  1434850818 |       0 |      0 |         0 
