                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio   | d:swap | d:reclaim 
 26849 Thread 1 - main                                                |   565000 |    73000 |    38718452 |   4833297885 |  21055488 |   1024 |     3078603 |        0 |      0 |         0 
 26871 Thread 2 - Reference Handler                                   |     7000 |        0 |      915363 |     56498238 |         0 |      0 |      493606 |        0 |      0 |         0 
 26872 Thread 3 - Finalizer                                           |     8000 |        0 |      748136 |     61503113 |      5120 |      0 |      654035 |        0 |      0 |         0 
 26873 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |        0 |      0 |         0 
 26874 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        1138 |        0 |      0 |         0 
 26885 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27477000 | 29382000 | 17341065463 | 553426370502 | 585617408 | 139264 | 18328735323 |   292132 |      0 |         0 
 26886 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   177000 |    51000 |    69400612 |   2221696265 |   6227968 |   5120 |    41850703 | 12537807 |      0 |         0 
 26889 Thread 14 - PartitionProcessorThre...e70-a3b8-5c3f41b99e8d-2-0 |  1165000 |   414000 |   479843925 |  15385441700 |     36864 |      0 |  1160027987 |        0 |      0 |         0 
 26890 Thread 15 - PartitionProcessorThre...e70-a3b8-5c3f41b99e8d-2-1 |  1158000 |   418000 |   481115695 |  15371193153 |         0 |      0 |  1317096374 |        0 |      0 |         0 
 26891 Thread 16 - PartitionProcessorThre...e70-a3b8-5c3f41b99e8d-2-2 |  1254000 |   432000 |   515595464 |  16442498813 |         0 |      0 |  1389523804 |        0 |      0 |         0 
 26892 Thread 17 - PartitionProcessorThre...e70-a3b8-5c3f41b99e8d-2-3 |  1186000 |   395000 |   482890652 |  15421438790 |         0 |      0 |  1273149134 |        0 |      0 |         0 
 26893 Thread 18 - PartitionProcessorThre...e70-a3b8-5c3f41b99e8d-2-4 |  1185000 |   405000 |   485507840 |  15506083157 |         0 |      0 |  1347088844 |        0 |      0 |         0 
 26894 Thread 19 - PartitionProcessorThre...e70-a3b8-5c3f41b99e8d-2-5 |  1185000 |   376000 |   474289000 |  15219895907 |         0 |      0 |  1198126787 |        0 |      0 |         0 
 26895 Thread 20 - PartitionProcessorThre...e70-a3b8-5c3f41b99e8d-2-6 |  1160000 |   417000 |   481780207 |  15383489950 |         0 |      0 |  1267612302 |        0 |      0 |         0 
 26896 Thread 21 - PartitionProcessorThre...e70-a3b8-5c3f41b99e8d-2-7 |  1198000 |   441000 |   499699136 |  15983018641 |     17408 |      0 |  1525439148 |        0 |      0 |         0 
 26897 Thread 22 - PartitionProcessorThre...e70-a3b8-5c3f41b99e8d-2-8 |  1174000 |   420000 |   485068914 |  15542032376 |    121856 |      0 |  1410540905 |        0 |      0 |         0 
