                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 53928 Thread 1 - main                                                |   763000 |   113000 |    58638459 |   6721494650 |  34339840 |   1024 |     8138139 |      0 |      0 |         0 
 53950 Thread 2 - Reference Handler                                   |     6000 |     1000 |      663312 |     55750593 |         0 |      0 |     1226879 |      0 |      0 |         0 
 53951 Thread 3 - Finalizer                                           |     5000 |        0 |      529937 |     40788179 |      5120 |      0 |     1126033 |      0 |      0 |         0 
 53952 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        3990 |      0 |      0 |         0 
 53953 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 53962 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      618890 |     19548289 |      4096 |      0 |       80146 |      0 |      0 |         0 
 53963 Thread 13 - RMI RenewClean-[10.231.182.152:45598]              |        0 |     1000 |       83347 |      7828257 |      1024 |      0 |           0 |      0 |      0 |         0 
 53964 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 53966 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 25782000 | 35147000 | 17726353561 | 593743126395 | 573787136 | 135168 | 17901804593 | 267520 |      0 |         0 
 53968 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   244000 |    36000 |    81267984 |   2729039530 |   5865472 |   6144 |    14169472 | 270917 |      0 |         0 
 53971 Thread 17 - PartitionProcessorThre...a4b-8392-8883fe03bb5a-2-0 |  1286000 |   451000 |   504320520 |  16928317370 |     37888 |      0 |  1096717438 |      0 |      0 |         0 
 53972 Thread 18 - PartitionProcessorThre...a4b-8392-8883fe03bb5a-2-1 |  1309000 |   452000 |   511911891 |  17175691245 |         0 |      0 |  1076540610 |      0 |      0 |         0 
 53973 Thread 19 - PartitionProcessorThre...a4b-8392-8883fe03bb5a-2-2 |  1224000 |   446000 |   486832310 |  16294035495 |         0 |      0 |  1127590371 |      0 |      0 |         0 
 53974 Thread 20 - PartitionProcessorThre...a4b-8392-8883fe03bb5a-2-3 |  1292000 |   455000 |   508513024 |  17042288823 |      4096 |      0 |   886883225 |      0 |      0 |         0 
 53975 Thread 21 - PartitionProcessorThre...a4b-8392-8883fe03bb5a-2-4 |  1196000 |   436000 |   476059638 |  15921991101 |  10831872 |      0 |   886685133 |      0 |      0 |         0 
