                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 100709 Thread 1 - main                                                |   858000 |   125000 |    66431349 |   7556778259 |  34331648 |   1024 |     6850594 |       0 |      0 |         0 
 100731 Thread 2 - Reference Handler                                   |     8000 |        0 |      874734 |     66200039 |         0 |      0 |     2389760 |       0 |      0 |         0 
 100732 Thread 3 - Finalizer                                           |     6000 |     1000 |      645175 |     55815527 |      5120 |      0 |     1032745 |       0 |      0 |         0 
 100733 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       26714 |      7163285 |         0 |      0 |       65972 |       0 |      0 |         0 
 100734 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       62857 |       0 |      0 |         0 
 100743 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |      987773 |     37035824 |      4096 |      0 |       21966 |       0 |      0 |         0 
 100744 Thread 13 - RMI RenewClean-[10.231.182.152:37120]              |     1000 |        0 |       82640 |      7893250 |      1024 |      0 |       33294 |       0 |      0 |         0 
 100745 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 100748 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27280000 | 33763000 | 18355194418 | 594857446868 | 623333376 | 132096 | 20734231228 |  540479 |      0 |         0 
 100750 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   223000 |    59000 |    81931089 |   2745808366 |   7651328 |   5120 |    97983634 | 3192167 |      0 |         0 
 100753 Thread 17 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-0 |  1467000 |   479000 |   581267156 |  18970154274 |     41984 |      0 |  1808073169 |       0 |      0 |         0 
 100754 Thread 18 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-1 |  1459000 |   417000 |   560908922 |  18296916392 |         0 |      0 |  1661049750 |       0 |      0 |         0 
 100755 Thread 19 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-2 |  1513000 |   476000 |   593184578 |  19397457200 |         0 |      0 |  1941488990 |       0 |      0 |         0 
 100756 Thread 20 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-3 |  1432000 |   471000 |   571731699 |  18560101040 |         0 |      0 |  1780374110 |       0 |      0 |         0 
 100757 Thread 21 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-4 |  1434000 |   465000 |   570410586 |  18525456778 |         0 |      0 |  1759690845 |       0 |      0 |         0 
 100758 Thread 22 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-5 |  1365000 |   453000 |   545435188 |  17730660161 |         0 |      0 |  2022275123 |       0 |      0 |         0 
 100759 Thread 23 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-6 |  1460000 |   478000 |   580578973 |  18902533883 |         0 |      0 |  1681844254 |       0 |      0 |         0 
 100760 Thread 24 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-7 |  1507000 |   451000 |   588378395 |  19100873790 |         0 |      0 |  1863512173 |       0 |      0 |         0 
 100761 Thread 25 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-8 |  1450000 |   436000 |   566634293 |  18398574575 |         0 |      0 |  1777954539 |       0 |      0 |         0 
 100762 Thread 26 - PartitionProcessorThre...9ca-a469-c2f1aa5da35b-0-9 |  1449000 |   459000 |   572802719 |  18612769372 |         0 |      0 |  1757045169 |       0 |      0 |         0 
 100763 Thread 27 - PartitionProcessorThre...ca-a469-c2f1aa5da35b-0-10 |  1382000 |   459000 |   550765383 |  17956873595 |         0 |      0 |  1682242174 |       0 |      0 |         0 
 100764 Thread 28 - PartitionProcessorThre...ca-a469-c2f1aa5da35b-0-11 |  1403000 |   445000 |   553465079 |  18028362942 |         0 |      0 |  1803044067 |       0 |      0 |         0 
 100765 Thread 29 - PartitionProcessorThre...ca-a469-c2f1aa5da35b-0-12 |  1480000 |   483000 |   586766137 |  19146451875 |         0 |      0 |  2027661043 |       0 |      0 |         0 
 100766 Thread 30 - PartitionProcessorThre...ca-a469-c2f1aa5da35b-0-13 |  1512000 |   482000 |   597886129 |  19452801579 |         0 |      0 |  1972722766 |       0 |      0 |         0 
 100767 Thread 31 - PartitionProcessorThre...ca-a469-c2f1aa5da35b-0-14 |  1481000 |   425000 |   571261945 |  18591037864 |         0 |      0 |  1823646952 |       0 |      0 |         0 
